ID,EN_fluent,EN_disfluent,start_time,end_time,AR_disfluent,CS_disfluent,DE_disfluent,ES_disfluent,FR_disfluent,HI_disfluent,IT_disfluent,ZH_disfluent
sw2005_B_2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",11.233375,21.1425,حسنًا، بالطبع، إنه ـ أنت تعرف ـ، إنه من آخر الأشياء القليلة في العالم اللي ممكن يومًا تحب تعملها ـ أنت تعرف ـ. إلا إذا كان بس ـ أنت تعرف ـ، فعلًا ـ أنت تعرف ـ، و_و_، آه، من أجلهم ـ، آه ـ، أنت تعرف ـ، من أجل مصلحتهم هم.,"
_No, samozřejmě, to je _, _ ty víš _, _ je to jedna z posledních věcí na světě, které bys kdy chtěl udělat _, _ ty víš _. _ Ledaže je to prostě _, _ ty víš _, _ opravdu _, _ ty víš _, _ a, ehm, pro ně _, _ ehm _, _ ty víš _, _ pro jejich vlastní dobro.","_Also_, natürlich, _es_ _ ist_ _, _ _du_ _ weisst _ _ , es ist eines der letzten paar Dinge in der Welt, die du jemals wollen würdest zu tun _ _ , du _ _weisst _ _ . Unless es ist einfach_, _ _ du _ _ weisst _ _ , wirklich_,_ _ du_ _ weisst _ _ and , uh for their _ _ uh du weisst _ _, _für ihr eigenes Wohl.","_Bueno_, claro, es una de las últimas cosas del mundo que querrías hacer, _ya sabes_. A menos que sea solo, _ya sabes_, realmente, _ya sabes_, y, _eh_, por su propio bien, _ya sabes_."," _Well_, bien sûr, _it_ _'s_ _ _you_ _know_ _, c'est une des dernières choses au monde que vous voudriez jamais faire _ _you_ _know_ _ _, _unless_ c'est juste _ _you_ _know_ _ _, vraiment _ _you_ _know_ _ _, _ _you_ _know_ _ _, _and_ _ _uh_ _, pour _their_ _ _, _ _uh_ _ _, _ _you_ _know_ _ _, pour leur propre bien.","खैर, ज़ाहिर है, यह है, तुम्हें पता है, यह दुनिया की उन आख़िरी कुछ चीज़ों में से एक है जिन्हें तुम कभी करना चाहोगे, तुम्हें पता है। जब तक कि यह बस, तुम्हें पता है, सच में, तुम्हें पता है, और, उह, उनके, उह, तुम्हें पता है, उनके अपने भले के लिए न हो।","
-Beh-, certo,- è... sai-... è una delle ultime cose al mondo che vorresti mai fare... -sai-... A meno che non sia solo... sai... davvero... -sai...  per il loro...... sai... per il loro bene.",嗯_，当然，_它__是_的_，__你__知道_，_这是世界上你想做的最后几件事之一_，_你__知道__。_除非只是_，__你__知道__，_真的_，__你___知道_，_和_，uh_，_为了_他们的_，_uh__，_你__知道_，_为了他们自己。
sw2005_B_4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",22.219,34.899,كنتُ سأكون حذرًا جدًا جدًا و ـ آه ـ أنت تعرف ـ، في تفحُّصهم. آه، نحن، كان عند-، وضعنا أمي في دار رعاية. كانت قد أُصيبت بجلطة كبيرة نوعًا ما حوالي ـ آه، حوالي آه، قبل ثمانية أشهر أعتقد.,"
Byl bych velmi, velmi opatrný a _, _ ehm _, _ ty víš _, _ kontroloval bych je. Ehm, my, jsme m-, umístili mou matku do pečovatelského domu. Utrpěla poměrně masivní mrtvici asi _, _ ehm, asi ehm, před osmi měsíci myslím.","Ich wäre sehr sehr vorsichtig_ und _ _ , uh _ _ du _ _weisst _ _ Überprüfen Sie sie. _Uh_, oder, hatte t-, meine Mutter in ein Pflegeheim zu bringen. Sie hatte einen eher massiven Schlaganfall about _ _ , uh about uh , acht Monate her I guess.","Yo tendría mucho, mucho cuidado y, _eh_, _ya sabes_, los investigaría. _Eh_, nosotros tuvimos que ingresar a mi madre en una residencia. Sufrió un derrame cerebral bastante grave hace unos ocho meses, _creo_."," Je serais _très_ _très_ prudent _and_ _ _uh_ _ _you_ _know_ _ _, vérifiant _them_ _out_. _Uh_ notre, _had_ t-, _place_ ma mère dans une maison de retraite. Elle avait _about_ _ _uh_ _ _, un AVC plutôt massif _about_ _ _uh_ _ _uh_, il y a _eight_ _months_ _ago_ _I_ _guess_ _.","मैं बहुत बहुत सावधान रहूँगा और, उह, तुम्हें पता है, उन्हें जाँचते हुए। उह, हमारी, करना प-, मेरी माँ को एक नर्सिंग होम में रखना पड़ा। उन्हें एक काफी बड़ा स्ट्रोक आया था लगभग, उह, लगभग उह, आठ महीने पहले मुझे लगता है।","Starei molto, molto attento -e-, sai-, nel controllarli.  -nostra, ho dov-, sistemare mia madre in una casa di cura. Ha avuto un ictus piuttosto grave -circa, circa,  otto mesi fa, immagino.",我会非常非常小心_和__，__uh__，__你___知道_，_检查它们。_uh_，我们的，有t-，把我母亲安置在养老院。她中风_大约__，__uh_，大约_uh_，八个月前_我__猜_。
sw2005_B_8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",45.73775,75.57275,لذا، كنت مرتاحًا جدًا ـ أنت تعرف ـ، في القيام بذلك عندما وصل الأمر لمرحلة كان علينا أن نفعلها. لكن هناك، حسنًا، حصلت لي مناسبة مع حماتي التي كانت قد سقطت و_كانت_ تحتاج أن تكون ـ أنت تعرف ـ، لم تعد قادرة على الاعتناء بنفسها، فكانت محصورة في دار رعاية لفترة، وكانت تجربة ليست جيدة جدًا حقًا. آه، كان لا بد من فعل ذلك على عَجَل. أعني ـ، لم يكن لدينا ـ أنت تعرف ـ، مثل ستة أشهر لنتفقد كل هذه الأماكن. وكان حقًا ليس ـ، ليس جيدًا جدًا، آه، الوضع.,"
Takže jsem se cítil velmi komfortně _, _ ty víš _, _ s tím to udělat, když to dospělo do bodu, že jsme to museli udělat. Ale je tu, no, měl jsem zkušenost s mou tchyní, která upadla a musela být _, _ ty víš _, _ už se o sebe nemohla starat, byla na nějakou dobu umístěna do pečovatelského domu, což opravdu nebyla moc dobrá zkušenost. Ehm, muselo se to udělat ve spěchu. T edy _, _ neměli jsme _, _ ty víš _, _ jako šest měsíců na to, abychom si všechna ta zařízení prověřili. A opravdu to nebyla _, _ nebyla moc dobrá, ehm, zkušenost.","Also, ich war sehr bequem _ _ you know _ _ , es zu tun, als es zu dem Punkt kam, dass wir es tun mussten. Aber da ist, well, ich hatte eine Gelegenheit für meine Schwiegermutter die gefallen war und needed to be _ _ you know _ _ konnte sich nicht mehr um sich selbst kümmern, war für eine Weile in ein Pflegeheim eingesperrt das war wirklich nicht eine sehr gute Erfahrung. Uh, es musste in Eile getan werden. I mean _ _ , wir hatten nicht _ _ you know _ _ wie sechs Monate um all diese Orte auszuchecken. Und es war wirklich not _ _ not sehr gut, uh, handeln.","Así que me sentí muy cómodo al hacerlo cuando llegó el momento de hacerlo. Pero hay algo, _bueno_, tuve una ocasión con mi suegra, que se había caído y necesitaba, _ya sabes_, ya no podía cuidar de sí misma, estuvo ingresada en una residencia durante un tiempo y realmente no fue una experiencia muy buena. _Eh_, había que hacerlo con prisa. Quiero decir, no teníamos, _ya sabes_, _como_ seis meses para visitar todos esos sitios. Y realmente no fue, no fue muy buena, _eh_, experiencia.","Alors, j'étais très à l'aise _you know_ en le faisant quand il est arrivé au point que nous avions à le faire. Mais il y a, _well_, j'avais une occasion pour ma belle-mère qui était tombée et _needed to be_ _you know_ _could_ not prendre soin d'elle-même plus, était confinée à une maison de soins infirmiers pour un moment qui était vraiment pas une très bonne expérience. _Uh_, il avait à être fait en hâte. _I mean_ _we_ n'avions pas _you know_ _like_ six mois pour vérifier tous ces endroits. Et c'était vraiment _not_ _not_ très bon, _uh_, deal.","तो, मैं बहुत सहज था, तुम्हें पता है, इसे करने में जब बात उस मोड़ पर आ गई कि हमें यह करना ही था। लेकिन वहाँ है, खैर, मुझे अपनी सासू माँ के लिए एक मौका पड़ा था जो गिर गई थीं और जिन्हें ज़रूरत थी, तुम्हें पता है, खुद का ख्याल नहीं रख सकती थीं अब, कुछ समय के लिए एक नर्सिंग होम में सीमित थीं जो वास्तव में बहुत अच्छा अनुभव नहीं था। उह, इसे जल्दी में करना पड़ा। मेरा मतलब है, हमारे पास नहीं था, तुम्हें पता है, जैसे छह महीने इन सभी जगहों की जाँच करने के लिए। और यह वास्तव में नहीं, बहुत अच्छा नहीं, उह, सौदा था।","Quindi, ero molto a mio agio, -sai-, nel farlo quando siamo arrivati al punto in cui dovevamo farlo. Ma c'è, beh, ho avuto un caso con mia suocera che era caduta e aveva bisogno di essere, sai, non poteva più badare a se stessa, è stata confinata in una casa di cura per un po', il che non è stata davvero una bella esperienza. Ehm, bisognava fare in fretta. -Voglio dire-, non avevamo, sai, tipo sei mesi per controllare tutti questi posti. E non è stata davvero non, -non- una bella, - faccenda.",所以，我很舒服_，__你___知道_，_，_当我们不得不这样做的时候。但是，_好吧_，我有一个机会让我的岳母，她摔倒了，_需要___成为_，_你___知道_，_不能再照顾自己了，被关在养老院一段时间，这真的不是一次很好的经历。_uh_，它必須匆忙完成。_我__意思是__，_我们没有_，_你___知道_，_喜欢_六个月来检查所有这些地方。这真的_不是__，_不是很好，_uh_，成交。
sw2005_B_14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",88.623375,98.993375,أنت تعرف ـ، هل كان هناك شيء آخر كان يمكننا فعله ـ أنت تعرف ـ، في تفقد كل الأماكن التي، آه، قد تكون متاحة. بالطبع ـ أنت تعرف ـ، ليست هناك واحدة في كل زاوية، خصوصًا ـ أنت تعرف ـ، المناطق الأصغر، البلدات الأصغر.,"
_Ty víš _, _ je něco jiného, co jsme mohli udělat _, _ ty víš _, _ při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě _, _ ty víš _, _ není jedno na každém rohu, zejména _, _ ty víš _, _ v menších oblastech, menších městech.","Du weisst _ _ , ist da etwas anderes, was wir hätten tun können _ _ you know _ _ in dem Auschecken all der Orte die, uh, vielleicht verfügbar sein könnten. Natürlich _ _ you know _ _ gibt es nicht eins an jeder Ecke, besonders _ _ you know _ _ kleinere Gegenden, kleinere Städte.","_Sabes_, ¿hay algo más que podríamos haber hecho, _sabes_, al revisar todos los lugares que, _eh_, podrían estar disponibles? Por supuesto, _sabes_, no hay uno en cada esquina, especialmente, _sabes_, en áreas más pequeñas, pueblos más pequeños."," _You_ _know_ _ _est-il quelque chose d'autre que nous aurions pu faire _ _you_ _know_ _ _en vérifiant tous les endroits que, _uh_ pourraient être disponibles. De _course_ _ _you_ _know_ _ _il n'y en a pas à chaque coin, surtout _ _you_ _know_ _ _dans les zones plus petites, les petites villes.","तुम्हें पता है, क्या कुछ और है जो हम कर सकते थे, तुम्हें पता है, उन सभी जगहों की जाँच करने में जो, उह, उपलब्ध हो सकती हैं। बेशक, तुम्हें पता है, हर कोने पर एक नहीं होती है, खासकर, तुम्हें पता है, छोटे क्षेत्रों, छोटे शहरों में।","
-Sai-, c'è qualcos'altro che avremmo potuto fare, -sa-i, nel controllare tutti i posti che, potrebbero essere disponibili. Certo, -sai-, non ce n'è una ad ogni angolo, soprattutto, sai, in zone più piccole, città più piccole.",你__知道__，_我们还能做什么吗_，__你__知道_，_检查所有可能可用的地方，_呃_。当然_，__你___知道__，_不是每个角落都有，特别是_，__你___知道_，_较小的地区，较小的城镇。
sw2005_A_19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",99.452375,117.5195,إمم-هم ـ. نعم ـ. على الأرجح أصعب شيء في ـ، في عائلتي، آه، جدتي، كان لا بد من وضعها في دار رعاية و، أم، كانت تستخدم المشّاية لـ ـ، لـ فترة طويلة نوعًا ما، ربما حوالي ستة إلى تسعة أشهر. و، أم، تعثرت وسقطت و، آه، أخيرًا، آه، كانت لديها مرض باركنسون،,"_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,
Aha _. _ Jo _. _ Pravděpodobně nejtěžší věc v _, _ v mé rodině, ehm, moje babička, musela být umístěna do pečovatelského domu a, ehm, používala chodítko po _, _ po poměrně dlouhou dobu, pravděpodobně asi šest až devět měsíců. A, ehm, upadla a, ehm, nakonec, ehm, měla Parkinsonovu chorobu,
Aha _. _ Jo _. _ Pravděpodobně nejtěžší věc v _, _ v mé rodině, ehm, moje babička, musela být umístěna do pečovatelského domu a, ehm, používala chodítko po _, _ po poměrně dlouhou dobu, pravděpodobně asi šest až devět měsíců. A, ehm, upadla a, ehm, nakonec, ehm, měla Parkinsonovu chorobu,","_Uh-huh _ _ Yeah _ _ , Wahrscheinlich das härteste Ding in _ _ in meiner Familie, uh, meine Großmutter, sie musste in ein Pflegeheim getan werden und, um, sie hatte den Rollator benutzt for _ _ für ziemlich einige Zeit, wahrscheinlich ungefähr sechs bis neun Monate. Und, um, sie hatte einen Sturz und, uh, schließlich, uh, sie hatte Parkinsons Krankheit.","_Ajá_. _Sí_. Probablemente lo más difícil _en_, en mi familia, _eh_, mi abuela, tuvieron que ingresarla en una residencia y, _eh_, había estado usando el andador durante, bastante tiempo, probablemente entre seis y nueve meses. Y, _eh_, se cayó y, _eh_, finalmente, _eh_, tenía la enfermedad de Parkinson."," _Uh-huh_. _ _Oui_ _. _ _Probablement la chose la plus difficile _dans_ _ _ma famille, _uh_, ma
grand-mère, elle a dû être placée dans une maison de retraite et, _um_, elle avait utilisé le déambulateur _pendant_ _ _assez longtemps, probablement environ six à neuf mois. Et, _um_, elle a fait une chute et, _uh_, finalement, _uh_, elle avait la maladie de Parkinson,","अह-हूँ। हाँ। शायद सबसे कठिन चीज़, मेरे परिवार में, उह, मेरी दादी, उन्हें एक नर्सिंग होम में रखना पड़ा था और, अम, उन्होंने काफी समय से वॉकर का उपयोग किया था, शायद लगभग छह से नौ महीने। और, अम, वह गिर गई थीं और, उह, आखिरकार, उह, उन्हें पार्किंसंस रोग था,"," Sì. Probabilmente la cosa più difficile nella, nella mia famiglia, ehm, mia nonna, è dovuta essere messa in una casa di cura e, ehm, aveva usato il deambulatore  -per, per-  un bel po' di tempo, probabilmente da sei a nove mesi circa. E, ,è caduta e, e alla fine,  aveva il morbo di Parkinson,",_uh_嗯_ _。_ _耶_ _。_可能是_在__中最困难的事情，_在我的家庭，_呃_，我的祖母，她不得不被送进养老院，_嗯_，她用助行器_for_ _，_很长时间了，大概六到九个月。而且，_嗯_，她摔倒了，_呃_，最后，_呃_，她得了帕金森病，
sw2005_A_29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",137.30675,140.5965,أعني ـ، هي حاو- ـ، كان لديها ـ، كان لديها أطفال في كل أنحاء الولايات المتحدة,"
_T_edy _, _ ona za- _, _ ona měla _, _ měla děti po celých Spojených státech","_I__ mean _ _ , sie tr- _ sie hatte _ _ sie hatte Kinder überall quer durch die Vereinigten Staaten","
_Quiero decir_, _ella_... _ella tenía_... _tenía_ hijos por todo Estados Unidos.","_I__moyen__ _elle__tr__ _ _elle__avait__ _, _elle avait des enfants partout aux États-Unis.","मेरा मतलब है, उनके, उनके पास, उनके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।","Voglio dire, lei ha ---- tr-,----  lei aveva, aveva figli in tutti gli Stati Uniti.","Uh_ _uh_ _, _ _ uh_ _uh_ _, _ _uh_ _uh_ _, _ 她在美国各地都有孩子"
sw2005_A_37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",156.53075,168.79675,نعم ـ. أعني ـ، لشخصٍ هو ـ أنت تعرف ـ، طوال معظم حياتها كان ـ، كان، آه، ليس فقط مجرد أنها كانت تملك مزرعة، بل كان لديها عشرة أطفال، كانت تملك مزرعة، وتدير كل شيء لأن زوجها كان بعيدًا في مناجم الفحم.,"
_Jo_. _ T edy _, _ pro někoho, kdo je _, _ ty víš _, _ po většinu svého života měl _, _ měl, ehm, nejen že prostě měl farmu, ale měl deset dětí, měl farmu, řídil všechno, protože její manžel byl pryč v uhelných dolech.","Yeah _ _ I mean _ _ , für jemand der is _ _ you know _ _ für den meisten Teil ihres Lebens has _ _ has, uh, nicht nur bloß hatte eine Farm sondern hatte zehn Kinder hatte eine Farm, lief alles weil ihr Ehemann weg war in den Kohleminen.","_Sí_. _Quiero decir_, para alguien que, _ya sabes_, durante la mayor parte de su vida no solo ha tenido una granja, sino que ha tenido diez hijos y ha dirigido todo porque su marido estaba lejos, en las minas de carbón."," Ouais, je veux dire, pour quelqu'un qui est, _you know_, pour la plupart de sa vie a, _uh_, non seulement simplement eu une ferme mais avait dix enfants, avait une ferme, dirigeait tout parce que son mari était parti dans les mines de charbon.","हाँ। मेरा मतलब है, किसी ऐसे व्यक्ति के लिए जो, तुम्हें पता है, अपने अधिकांश जीवन के लिए, उह, न केवल एक खेत था बल्कि उसके दस बच्चे थे, एक खेत था, सब कुछ चलाया क्योंकि उसका पति कोयले की खदानों में दूर रहता था।","----Sì. Voglio dire,---- per qualcuno che---- è, sai---, per la maggior parte della sua vita---ha--- ha, non solo semplicemente avuto una fattoria ma avuto dieci figli avuto una fattoria, gestiva tutto perché suo marito era via nelle miniere di carbone.","_是的_ _。_ _uh___uh_ _, _对于一个_uh__, _ _uh_ uh_ _, _在他们生命中的大部分时间里_uh_ _, _ uh,_uh_, 不仅有一个农场，而且有十个孩子有一个农场，经营一切，因为她丈夫不在煤矿里。"
sw2005_A_47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",186.606,193.37225,أعتقد أن هم ـ، كانوا لديهم قدر كبير من، أم، كل الإخوة والأخوات اجتمعوا وفعليًا عقدوا اجتماعًا.,"Myslím, že oni _, _ měli velkou míru, ehm, všichni bratři a sestry se dali dohromady a skutečně měli konferenci.","Ich denke dass they _ _ they hatten eine große Menge von, um, alle die Brüder und Schwestern kamen zusammen und sie hatten tatsächlich eine Konferenz.","Creo que _ellos_, tenían una gran cantidad de, _um_, todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.","Je pense que _they_ _,_ _they_ avaient un grand nombre de, _um_, tous les frères et sœurs se sont réunis et ils ont effectivement tenu une conférence.","मुझे लगता है कि उन्होंने, उनके पास बहुत सारा, अम, सभी भाई-बहन एक साथ आए और उन्होंने वास्तव में एक सम्मेलन (कॉन्फ्रेंस) किया।","Penso che ---loro, loro avessero un sacco di,---tutti i fratelli e le sorelle si siano riuniti e abbiano effettivamente tenuto una conferenza.",我认为_他们__，_他们有很多，_嗯_，所有的兄弟姐妹都聚在一起，他们实际上有一个会议。
sw2005_A_55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",213.32875,221.04875,أنت تعرف ـ، سواء كان الأمر مجرد ـ أنت تعرف ـ، إعطاء المال أو كان فعليًا المشاركة في الكثير من اتخاذ القرار ـ أنت تعرف ـ، مثل إيجاد دار رعاية مناسبة.,"Ty víš _, _ zda to bylo jen _, _ ty víš _, _ dávání peněz nebo zda to skutečně znamenalo účast na mnoha, rozhodovacích procesech _, _ ty víš _, _ jako hledání vhodného pečovatelského domu.",You know _ _ ob es nur war _ _ you know _ _ Geld geben oder ob es tatsächlich war teilnehmen an viel von der Entscheidungsfindung _ _ you know _ _ wie ein richtiges Pflegeheim finden.,"_Ya sabes_, si solo era, _ya sabes_, dar dinero o si realmente participabas en muchas de las decisiones, _ya sabes_, _como_ encontrar una residencia adecuada.", Vous savez si c'était juste vous savez donner de l'argent ou si c'était en fait prendre part à beaucoup de prises de décision vous savez comme trouver une maison de retraite appropriée.,"तुम्हें पता है, चाहे वह सिर्फ, तुम्हें पता है, पैसे देना हो या वास्तव में निर्णय लेने की प्रक्रिया में बड़ी भूमिका निभाना हो, तुम्हें पता है, जैसे कि एक उचित नर्सिंग होम ढूँढना।","---Sai---, che si trattasse solo di, ---sai---, dare soldi o che si trattasse effettivamente di partecipare a gran parte delle decisioni, ---sai---, ---tipo---- trovare una casa di cura adeguata.",_你__知道__，_是否只是_，__你___知道_，_给钱，还是它实际上参与了很多，决策_，_你___知道_，_就像找到一家合适的养老院。
sw2005_A_65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",226.51275,235.260875,إذًا ـ، إذًا، أعني ـ، هو، أعني ـ، أنا ـ أنا ـ أنا ـ أنا حا- ـ، أنا ـ، أتمنى حقًا أنه إذا حدث شيء مثل ذلك فإن أطفالي سيفعلون شيئًا مثل، ذلك من أجلي.,"Tak _, _ tak, J edy _, _ to, J edy _, _ já _, _ já _, _ já _, _ já přá- _, _ já _, _ já si opravdu přeji, aby kdyby se něco takového mělo stát, moje děti udělaly něco takového, pro mě.","So _ _ so, I mean _ _ it, I mean _ _ I _ _ I _ _ I _ _ I har- _ I _ _ I truly wünsche dass wenn so etwas wie das passieren würde dass meine Kinder so etwas wie das für mich tun würden.","_Entonces_, _entonces, _quiero decir_ _que_, _quiero decir_ _que_, _yo_, _yo_, _yo_, _yo_, _yo_, _yo_, _yo_, _yo_, _ realmente deseo que si algo así llegara a suceder, mis hijos hicieran algo así, eso por mí.","Donc, _so_, je _mean_, ça, je _mean_, _uh_, je souhaite vraiment que si quelque chose comme ça devait arriver que mes enfants feraient quelque chose comme, ça pour moi.","तो, तो, मेरा मतलब है, यह, मेरा मतलब है, मैं, मैं, मैं, मैं, मैं सच में चाहता हूँ कि अगर ऐसा कुछ होता है, तो मेरे बच्चे मेरे लिए वैसा ही कुछ करें।","---Quindi, quindi, voglio dire, è, voglio dire, io, io, io, io ho-, io,---- vorrei davvero che se dovesse accadere qualcosa del genere, i miei figli facessero qualcosa ---tipo, quello--- per me.","_uh_ _, _ uh,_uh_ _uh_ _, _ uh,_uh_ _ uh_ _, _ _ uh_ _, _uh_ _, _ _ _, _ uh_ _, _ _ _uh__uh_, _ _ _uh_, _ 我真的希望如果发生这样的事情，我的孩子会为我做这样的事情。"
