file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.","当然了, 这, 这绝对是你世界上最不想做的事情之一 除非这真的, 然后, 为了他们, 为了他们自己的好。",", por supuesto, es, es una de las últimas cosas en el mundo que querrías hacer. A menos que sea realmente y, para su, para su propio bien.",", बेशक, यह, यह दुनिया की आखिरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे। जब तक कि यह सचमुच और, उनके, उनके अपने भले के लिए न हो।",", bien sûr, c'est, c'est l'une des dernières choses au monde que vous voudriez jamais faire À moins que ce ne soit vraiment et, pour leur, pour leur propre bien.",", natürlich, es ist, es ist eines der letzten Dinge auf der Welt, die man jemals tun wollen würde. Es sei denn, es ist nur wirklich und, zu ihrem, zu ihrem eigenen Besten.","Certo, è, è una delle ultime cose al mondo che vorresti mai fare. A meno che non sia proprio... e, per il loro, per il loro proprio bene.","No, samozřejmě, je to, je to jedna z posledních věcí na světě, které bys kdy chtěl udělat. Leda že by to bylo opravdu a, pro jejich, pro jejich vlastní dobro.",، بالطبع، إنه، إنه من آخر الأشياء القليلة في العالم التي قد ترغب في فعلها أبداً. إلا إذا كان حقاً و، لمصلحتهم، لمصلحتهم الخاصة.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心，而且，调查它们，我们，不得不，把我妈妈安置在养老院。她大约，大约，八个月前得了相当严重的中风。,"Sería muy muy cuidadoso y, revisándolos, nuestro, tuve qu-, internar a mi madre en un asilo de ancianos. Ella tuvo un derrame cerebral bastante masivo hace, hace, ocho meses.","मैं बहुत-बहुत सावधान रहा और, उनकी जाँच करते हुए, हमारा, पड़-, मेरी माँ को नर्सिंग होम में रखना पड़ा। उन्हें एक काफी बड़ा स्ट्रोक आया था लगभग, लगभग, आठ महीने पहले।","Je serais très très prudent et, en les vérifiant, notre, j'ai d-, placer ma mère dans une maison de retraite. Elle a eu un AVC plutôt massif il y a environ, environ, huit mois.","Ich wäre sehr, sehr vorsichtig und, sie mir ansehend, unser, musste, meine Mutter in einem Pflegeheim unterbringen. Sie hatte einen ziemlich massiven Schlaganfall vor ungefähr, ungefähr, acht Monaten.","Sarei molto molto cauto e, verificandoli, nostro, ho dov- mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto massiccio circa, circa, otto mesi fa.","Byl bych velmi velmi opatrný a, kontrolovat je, naše, musel jse-, umístit moji matku do domova důchodců. Měla poměrně masivní mrtvici před, před, osmi měsíci.",سأكون حذراً جداً جداً و، التدقيق فيهم، لنا، كان علـ، أن أضع أمي في دار رعاية المسنين. لقد أصيبت بجلطة دماغية كبيرة جداً حوالي، حوالي، ثمانية أشهر مضت.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当到了我们不得不做的时候，我做起来很自在。但是，有，我有一个情况，关于我岳母，她摔倒了，然后需要，她再也不能照顾自己了，被送进了一家养老院一段时间，那真的不是一个很好的经历，必须赶紧做。我们没有六个月的时间去把所有这些地方都考察一遍。而且那真的不是，不是很好，嗯，一个状况。,"Así que, me sentía muy cómoda al hacerlo cuando llegó el momento en que tuvimos que hacerlo. Pero hay, tuve una ocasión con mi suegra que se había caído y necesitaba ser, ya no podía cuidarse a sí misma, estuvo confinada en un hogar de ancianos por un tiempo que realmente no fue una muy buena experiencia, tuvo que hacerse deprisa. No teníamos seis meses para revisar todos estos lugares. Y realmente no fue, no muy bueno, el asunto.","तो, मैं इसे करने में बहुत सहज था जब बात इस मुकाम पर आ गई कि हमें यह करना पड़ा। लेकिन है, मेरी सास के साथ एक मामला था जो गिर गई थीं और जरूरत थी कि, अब अपना ध्यान नहीं रख सकती थीं, कुछ समय के लिए एक नर्सिंग होम तक सीमित हो गई थीं जो वास्तव में बहुत अच्छा अनुभव नहीं था, इसे जल्दी में करना पड़ा। हमारे पास इन सभी जगहों की जांच करने के लिए छह महीने नहीं थे। और यह वास्तव में नहीं था, बहुत अच्छा नहीं था, सौदा।","Alors, j'étais très à l'aise de le faire quand il a fallu le faire. Mais il y a, j'ai eu le cas de ma belle-mère qui était tombée et qui devait être, ne pouvait plus s'occuper d'elle-même, a été placée dans une maison de retraite pendant un certain temps, ce qui n'était vraiment pas une très bonne expérience, il a fallu le faire en urgence. Nous n'avions pas six mois pour vérifier tous ces établissements. Et ce n'était vraiment pas, pas très bon, l'affaire.","Also, ich fühlte mich sehr wohl dabei es zu tun, als es an den Punkt kam, dass wir es tun mussten. Aber da war, ich hatte einen Fall mit meiner Schwiegermutter, die gefallen war und musste, sich nicht mehr um sich selbst kümmern konnte, für eine Weile in einem Pflegeheim untergebracht wurde, was wirklich keine sehr gute Erfahrung war, es musste schnell gehen. Wir hatten keine sechs Monate Zeit, all diese Einrichtungen zu prüfen. Und es war wirklich nicht, nicht sehr gut, die Sache.","Allora, mi sentivo molto a mio agio nel farlo quando si è arrivati al punto che dovevamo farlo. Ma c'è, ho avuto un'occasione per mia suocera che era caduta e aveva bisogno di essere, non poteva più prendersi cura di sé, è stata confinata in una casa di riposo per un po' che non è stata davvero una bella esperienza, ha dovuto essere fatto in fretta. Non avevamo sei mesi per controllare tutti questi posti. E non è stato davvero, non molto buono, un affare.","Takže, cítila jsem se velmi v pohodě to dělat, když se dostalo k tomu bodu, že jsme to museli udělat. Ale, ehm, e, stalo se mi s mojí tchýní, která spadla a potřebovala být, e, už se o sebe nemohla starat, byla na nějakou dobu umístěna do domova důchodců, což opravdu nebyla moc dobrá zkušenost, muselo se to udělat ve spěchu. Neměli jsme šest měsíců na to, abychom všechna tato místa prověřili. A nebylo to opravdu ne, ne moc dobrá, záležitost.",حسناً، كنت مرتاحاً جداً في فعل ذلك عندما وصل الأمر إلى النقطة التي كان علينا أن نفعلها. لكن هناك، كان لدي حالة لـ حماتي التي سقطت واحتجت أن، لم تستطع الاعتناء بنفسها بعد الآن، تم حجزها في دار رعاية للمسنين لفترة لم تكن في الحقيقة تجربة جيدة جداً، كان لا بد من فعلها على عجل. لم يكن لدينا ستة أشهر لنتحقق من كل هذه الأماكن. ولم يكن الأمر في الحقيقة ليس، ليس جيداً جداً، صفقة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",在查看所有可能有的地方时，我们还有没有其他可以做的事情呢？当然了，不是每个街角都有，尤其是比较小的区域、比较小的城镇。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que, podrían estar disponibles? Por supuesto, no hay uno en cada esquina, especialmente en áreas más pequeñas, pueblos más pequeños.","क्या कुछ और था जो हम कर सकते थे, उन सभी जगहों की जाँच करने में जो शायद उपलब्ध हों? ज़ाहिर है, हर कोने पर एक नहीं मिलता, खासकर छोटे इलाकों, छोटे कस्बों में।","Y a-t-il autre chose que nous aurions pu faire en vérifiant tous les endroits qui, pourraient être disponibles ? Bien sûr, il n'y en a pas un à chaque coin de rue, surtout dans les zones plus petites, les petites villes.","Hätten wir etwas anderes machen können beim Überprüfen all der Orte, die vielleicht verfügbar wären. Natürlich gibt es keine an jeder Ecke, besonders kleinere Gebiete, kleinere Städte.","C'è qualcos'altro che avremmo potuto fare nel controllare tutti i posti che, potrebbero essere disponibili. Certo, non ce n'è uno ad ogni angolo, soprattutto in zone più piccole, paesi più piccoli.","Mohli jsme udělat něco jiného při prověřování všech míst, která by mohla být k dispozici? Samozřejmě, že není na každém rohu, zejména v menších oblastech, menších městech.",هل كان هناك شيء آخر كان بإمكاننا فعله أثناء استكشافنا لجميع الأماكن التي قد تكون متاحة؟ بالطبع، لا يوجد موقع في كل زاوية، خاصة في المناطق والبلدات الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",可能是最难的在，在我的家人身上，我的奶奶，她不得不被送进养老院，她用了助行器，用了，用了一段时间了，大概六到九个月。还有，她摔倒了，还有，最后，她得了帕金森病，,"Probablemente lo más difícil en, en mi familia, mi abuela, ella tuvo que ser puesta en un hogar de ancianos y, ella había usado el andador por, por bastante tiempo, probablemente unos seis a nueve meses. Y, ella tuvo una caída y, finalmente, ella tenía la enfermedad de Parkinson,","शायद सबसे मुश्किल बात मेरे, मेरे परिवार में, मेरी दादी को, उन्हें नर्सिंग होम में डालना पड़ा और, उन्होंने वॉकर का इस्तेमाल किया था, के लिए, के लिए काफी समय तक, शायद लगभग छह से नौ महीने तक। और, वो गिर गई थीं और, आखिर में, उन्हें पार्किंसंस की बीमारी थी,","Probablement la chose la plus difficile dans, dans ma famille, ma grand-mère, elle a dû être placée dans une maison de retraite et, elle avait utilisé le déambulateur pendant, pendant un bon moment, probablement environ six à neuf mois. Et, elle est tombée et, finalement, elle avait la maladie de Parkinson,","Wahrscheinlich das Schwerste in, in meiner Familie, meine Großmutter, sie musste in ein Pflegeheim und, sie hatte den Rollator schon, schon ziemlich lange benutzt, wahrscheinlich so sechs bis neun Monate. Und, sie hatte einen Sturz und, schließlich, sie hatte Parkinson,","Probabilmente la cosa più difficile nella, nella mia famiglia, mia nonna, ha dovuto essere messa in una casa di riposo e, aveva usato il deambulatore per, per un bel po' di tempo, probabilmente circa sei-nove mesi. E, ha avuto una caduta e, infine, aveva il morbo di Parkinson,","Pravděpodobně nejtěžší věc v, v mé rodině, moje babička, musela být umístěna do domova důchodců a, používala chodítko už, už poměrně dlouho, pravděpodobně asi šest až devět měsíců. A, upadla a, nakonec, měla Parkinsonovu nemoc,",ربما أصعب شيء في، في عائلتي، جدتي، اضطرت أن توضع في دار رعاية المسنين و، كانت تستخدم المشاية لـ، لفترة طويلة نوعًا ما، ربما حوالي ستة إلى تسعة أشهر. و، سقطت و، وأخيرًا، كانت مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她，她有，她有孩子遍布全美国。,"Ella tr-, ella tenía, ella tenía hijos por todo Estados Unidos.","वह, वह थी, उसके बच्चे थे पूरे संयुक्त राज्य अमेरिका में।","Elle euh, elle avait, elle avait des enfants partout aux États-Unis.","Sie tr-, sie hatte, sie hatte Kinder überall in den Vereinigten Staaten.","Lei tr-, lei aveva, lei aveva figli in tutti gli Stati Uniti.","Ona t-, měla, měla děti po celých Spojených státech.",هي تـ-، هي كان عندها، هي كان عندها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",对于一个人来说，嗯，她，在她生命中的大部分时间，有，有，不仅仅只是有一个农场，而且有十个孩子，还有一个农场，她操持着一切，因为她丈夫在煤矿里工作。,"Para alguien que es, durante la mayor parte de su vida ha, ha, no solo ha tenido una granja sino que ha tenido diez hijos, ha tenido una granja, llevaba todo porque su marido no estaba en las minas de carbón.","किसी ऐसे व्यक्ति के लिए जो, *उम्म*, अपनी अधिकांश ज़िंदगी में *था*, *था*, सिर्फ़ एक खेत ही नहीं था बल्कि दस बच्चे थे, *उम्म*, एक खेत भी था, सब कुछ संभालती थी क्योंकि उसका पति कोयले की खदानों में दूर था।","Pour quelqu'un qui est, pendant la plus grande partie de sa vie a, a, n'a pas juste eu une ferme, mais a eu dix enfants, a eu une ferme, gérait tout parce que son mari était loin dans les mines de charbon.","Für jemanden, der ist, für den größten Teil ihres Lebens hat, hat, hat, nicht nur bloß einen Bauernhof hatte, sondern zehn Kinder hatte, einen Bauernhof hatte, alles führte, weil ihr Mann in den Kohlengruben weg war.","Per qualcuno che è, per la maggior parte della sua vita ha, ha, non solo aveva una fattoria ma aveva dieci figli, aveva una fattoria, gestiva tutto perché suo marito era via nelle miniere di carbone.","Pro někoho, kdo je, po většinu svého života měl, měl, neměl jen tak obyčejně farmu, ale měl deset dětí, měl farmu, řídil všechno, protože její manžel byl pryč v uhelných dolech.",لشخصٍ هو، لمعظم حياتها كان، كان، لم تكن تملك مجرد مزرعة، بل كان لديها عشرة أطفال، كان لديها مزرعة، أدارت كل شيء لأن زوجها كان غائباً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们，他们有很多，呃，所有的兄弟姐妹都聚在一起，他们还真开了一个会。,"Creo que ellos, ellos tuvieron una gran cantidad de, todos los hermanos y hermanas se juntaron y de hecho tuvieron una conferencia.","मुझे लगता है कि वे, वे उनके पास काफी कुछ... सारे भाई-बहन साथ आए और उन्होंने असल में एक कॉन्फ़्रेंस की।","Je pense qu'ils, ils ont eu beaucoup de, tous les frères et sœurs se sont réunis et ils ont même eu une conférence.","Ich denke, dass sie, sie hatten eine ganze Menge von, alle Brüder und Schwestern kamen zusammen und sie hatten tatsächlich eine Konferenz.","Penso che loro, loro hanno avuto un bel po' di, tutti i fratelli e le sorelle si sono riuniti e in realtà hanno tenuto una conferenza.","Myslím, že oni, oni měli hodně, všichni bratři a sestry se sešli a oni opravdu měli konferenci.",أعتقد أنهم، هم كان لديهم الكثير من، أممم، اجتمع جميع الإخوة والأخوات ولقد أقاموا بالفعل مؤتمرًا.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论是仅仅给钱，还是实际参与了很多的决策，比如找到一个合适的养老院。,"Ya fuera que solo diera dinero o que en realidad participara en gran parte de la toma de decisiones, como encontrar un hogar de ancianos adecuado.","चाहे वह सिर्फ पैसे देना था या चाहे वह असल में बहुत, सारे फैसले लेने में हिस्सा लेना था, जैसे एक सही नर्सिंग होम ढूँढना।","que ce soit simplement donner de l'argent ou que ce soit en fait participer à beaucoup, de la prise de décision comme trouver une maison de retraite appropriée.","Ob es nur darum ging, Geld zu geben, oder ob man tatsächlich an einem Großteil der Entscheidungsfindung teilnahm, wie zum Beispiel die Suche nach einem geeigneten Pflegeheim.","Che fosse solo dare soldi o che fosse effettivamente prendere parte a gran parte del processo decisionale, come trovare una casa di riposo adeguata.","Jestli to bylo jen dávání peněz, nebo jestli se skutečně hodně podílel na, ehm, na tom rozhodování, jako je například nalezení správného domova pro seniory.",سواء كان مجرد إعطاء المال أو ما إذا كان يشارك فعليًا في الكثير من عملية صنع القرار، مثل العثور على دار مسنين مناسبة.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以，所以，呃，我，我、我、我、我真、我、我真的希望，如果发生那样的事情，我的孩子们也能为我做、做那样的事情。,"Así que, así que, e- yo, yo, yo, yo verda-, yo, yo de verdad desearía que si algo así llegara a pasar, que mis hijos hicieran algo así, así para mí.","तो, तो, यह, मैं, मैं, मैं, मैं हर-, मैं, मैं सच में चाहता हूँ कि अगर कुछ ऐसा होता कि मेरे बच्चे कुछ वैसा करते, मेरे लिए।","Alors, alors, ça, je, je, je, je har-, je, je souhaite vraiment que si quelque chose comme ça devait arriver que mes enfants fassent quelque chose comme ça, ça pour moi.","Also, also, es, ich, ich, ich, ich h-, ich, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, dass meine Kinder so etwas, äh, für mich tun würden.","Allora, allora, io, io, io, io ar-, io, io desidero davvero che se una cosa del genere dovesse accadere, i miei figli farebbero qualcosa del genere, questo per me.","Tak, tak, to, já, já, já, já, ehm, já, já, opravdu si přeju, aby, kdyby se něco takového stalo, aby mé děti pro mě udělaly něco takového.",يعني، يعني، هو، أنا، أنا، أنا، أنا، حـ، حـ، أنا، أنا أتمنى حقًا لو أن شيئًا كهذا حدث، أن يقوم أولادي بشيء كهذا، كهذا من أجلي.
