file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",嗯，这当然是你世界上最不愿做的事情之一，除非这真的是，呃，呃，为了他们好。,"Bueno, claro, es una de las últimas cosas en el mundo que jamás querrías hacer, a menos que sea realmente, eh, eh, por su propio bien.","खैर, बेशक, यह दुनिया में उन आखिरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे। जब तक कि यह सचमुच, अह, अह उनके अपने भले के लिए न हो।","Bon, bien sûr, c'est l'une des dernières choses au monde qu'on voudrait jamais faire. À moins que ce ne soit juste vraiment, euh, euh pour leur propre bien.","Nun ja, natürlich, es ist eines der letzten paar Dinge auf der Welt, die man jemals tun wollen würde. Es sei denn, es ist wirklich nur, äh, äh zu ihrem eigenen Besten.","Beh, certo, è una delle ultime cose al mondo che vorresti mai fare. A meno che non sia proprio, ehm, ehm per il loro bene.","No, samozřejmě, je to jedna z posledních věcí na světě, co byste kdy chtěli dělat. Pokud to není prostě fakt, ehm, ehm pro jejich vlastní dobro.",حسناً، بالطبع، هذا من آخر الأمور القليلة في العالم التي قد ترغب في فعلها أبداً، إلا إذا كان الأمر حقاً، إيه، إيه لمصلحتهم الخاصة.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地，呃，查验它们。呃，我...我们...不得不...把我妈妈送进了养老院。她得了相当严重的中风，呃，大概，呃，八个月前。,"Sería muy muy cuidadoso eh al revisarlos. Eh, nues-, tuve qu-, eh, internar a mi madre en una residencia de ancianos. Ella tuvo un derrame cerebral bastante masivo eh, hace uh, ocho meses.","मैं बहुत बहुत सावधान रहूँगा अह उनकी जाँच करते हुए। अह, हम-, हमें अपनी माँ को नर्सिंग होम में रखना पड़ा। उन्हें काफी गंभीर दौरा पड़ा था, अह, लगभग अह, आठ महीने पहले।","Je serais très très prudent, euh, en les vérifiant. Euh, nous avons dû, euh, placer ma mère dans une maison de retraite. Elle a eu un accident vasculaire cérébral assez massif, euh, il y a environ euh, huit mois.","Ich wäre sehr sehr vorsichtig, äh, beim Überprüfen. Äh, unser, hatte, ähm, zu-, meine Mutter in ein Pflegeheim bringen. Sie hatte einen ziemlich massiven Schlaganfall, äh, vor ungefähr, äh, acht Monaten.","Sarei molto molto attento, ehm, a controllarli. Ehm, no-, abbiamo dovut-, mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto massiccio, ehm, circa, ehm, otto mesi fa.","Byl bych velmi, velmi opatrný, ehm, při jejich prověřování. Ehm, naše, musel-, umístit mou matku do domova důchodců. Měla poměrně masivní mrtvici, ehm, asi ehm, před osmi měsíci.",سأكون حذرًا جدًا جدًا أه عند التدقيق بهم. أه، لنا، كان علينا أن نـ، نضع والدتي في دار رعاية المسنين. أصابتها سكتة دماغية ضخمة جدًا نوعًا ما، أه، منذ حوالي أه، ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",那么，当我们不得不做的时候，我做起来很自在。但是，呃，怎么说呢，我婆婆呢，就发生了一件事，她摔倒了，无法再照顾自己了，被送进了一家养老院一段时间，那真的不是一个很好的经历。呃，这事必须很仓促地做。我们没有六个月那么长的时间来考察所有这些地方。而且那真的不是一个很好的，呃，安排。,"Entonces, me sentía muy cómoda al hacerlo cuando llegó el momento en que tuvimos que hacerlo. Pero, uhm, bueno, tuve una ocasión con mi suegra, que se había caído y ya no podía cuidarse a sí misma. Fue internada en un hogar de ancianos por un tiempo, que realmente no fue una muy buena experiencia. Uhm, tuvo que hacerse deprisa. No teníamos como seis meses para revisar todos esos lugares. Y no fue realmente una muy buena, uhm, situación.","तो, मैं इसे करने में बहुत सहज थी जब बात इस मोड़ पर आ गई कि हमें यह करना पड़ा। लेकिन, उह... खैर, मेरी सास के साथ एक स्थिति आई थी, जो गिर गई थीं और अब अपना ख्याल नहीं रख सकती थीं। उन्हें कुछ समय के लिए एक नर्सिंग होम में रहना पड़ा, जो वास्तव में बहुत अच्छा अनुभव नहीं था। उह, इसे जल्दी में करना पड़ा था। हमारे पास इन सभी जगहों को जांचने के लिए छह महीने जैसा समय नहीं था। और यह वास्तव में बहुत अच्छी नहीं थी, उह, बात।","Alors, j'étais très à l'aise de le faire quand on est arrivé au point où on a dû le faire. Mais il y a, euh, j'ai eu le cas de ma belle-mère qui était tombée et ne pouvait plus s'occuper d'elle-même, a été confinée dans une maison de retraite pendant un certain temps, ce qui n'était vraiment pas une très bonne expérience. Euh, il fallait le faire en vitesse. On n'avait pas genre six mois pour vérifier tous ces endroits. Et ce n'était vraiment pas très bon, euh, affaire.","Also, ich war sehr wohl dabei es zu tun, als es an den Punkt kam, dass wir es tun mussten. Aber es gibt, nun ja, ich hatte einen Fall bei meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte, für eine Weile in einem Pflegeheim untergebracht war, was wirklich keine sehr gute Erfahrung war. Äh, es musste schnell gehen. Wir hatten nicht so sechs Monate, um all diese Orte zu überprüfen. Und es war wirklich keine sehr gute, äh, Angelegenheit.","Quindi, ero molto a mio agio nel farlo quando si è arrivati al punto che dovevamo farlo. Ma c'è stato, beh, il caso di mia suocera che era caduta e non poteva più prendersi cura di sé, ed è stata ricoverata in una casa di riposo per un po', e quella non è stata davvero una bella esperienza. Ehm, doveva essere fatto di fretta. Non avevamo tipo sei mesi per controllare tutti questi posti. E non è stato davvero un granché, ehm, come soluzione.","Takže, cítila jsem se s tím velmi v pohodě, když to došlo do bodu, že jsme to museli udělat. Ale je, no, měla jsem takovou situaci s mojí tchýní, která upadla a už se o sebe nemohla starat, byla na nějakou dobu umístěna do pečovatelského domu, což opravdu nebyla moc dobrá zkušenost. Eh, muselo se to udělat rychle. Neměli jsme třeba šest měsíců na to, abychom zkontrolovali všechna tato místa. A nebylo to opravdu moc dobré, eh, řešení.",لذلك، كنت مرتاحًا جدًا في القيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا فيها القيام بذلك. لكن، حسنًا، كانت لدي مناسبة تخص حماتي التي سقطت ولم تعد تستطيع الاعتناء بنفسها بعد الآن، وتم حجزها في دار رعاية للمسنين لبعض الوقت، وهذه لم تكن تجربة جيدة جدًا في الواقع. آه، كان يجب أن يتم ذلك على عجل. لم يكن لدينا حوالي ستة أشهر لتفقد كل هذه الأماكن. ولم يكن الأمر جيدًا جدًا في الواقع، آه، صفقة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",我们本可以在查看所有可能有的地方时，呃，做些什么别的吗？当然不是每个街角都有，尤其是在小地方、小城镇。,"¿Pudimos haber hecho algo más al revisar todos los lugares que, eh, podrían estar disponibles? Claro que no hay uno en cada esquina, especialmente en áreas más pequeñas, pueblos más pequeños.","क्या हम कुछ और कर सकते थे उन सभी जगहों को देखने में जो, उह, उपलब्ध हो सकती हैं। बेशक हर कोने पर एक नहीं है, खासकर छोटे इलाकों में, छोटे कस्बों में।","Est-ce qu'on aurait pu faire autre chose en vérifiant tous les endroits qui, euh, pourraient être disponibles. Bien sûr, il n'y en a pas un à chaque coin de rue, surtout les petites zones, les petites villes.","Gibt es noch etwas, das wir hätten tun können, um alle Orte zu überprüfen, die, äh, vielleicht verfügbar sind? Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","C'è qualcos'altro che avremmo potuto fare nel controllare tutti i posti che, uh, potrebbero essere disponibili. Certo, non ce n'è uno ad ogni angolo, specialmente in aree più piccole, paesi più piccoli.","Mohli jsme udělat ještě něco jiného při prověřování všech míst, která, eh, by mohla být k dispozici. Samozřejmě, že není jeden na každém rohu, zvláště v menších oblastech, menších městech.",هل هناك شيء آخر كان بإمكاننا فعله في التحقق من جميع الأماكن التي، آه، قد تكون متاحة. بالطبع ليس هناك واحد في كل زاوية، خاصة المناطق الأصغر، المدن الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",嗯哼。对。可能在我们家最难的事情，呃，我奶奶，她不得不被送进养老院，然后，嗯，她已经用了助行器相当长一段时间了，可能大约六到九个月。然后，嗯，她摔倒了，然后，呃，最终，呃，她得了帕金森病，,"Ajá. Sí. Probablemente lo más difícil en mi familia, uh, mi abuela, tuvo que ser internada en un asilo de ancianos y, um, había usado el andador por bastante tiempo, probablemente unos seis a nueve meses. Y, um, tuvo una caída y, uh, finalmente, uh, ella tenía la enfermedad de Parkinson,","उह-हुह। हाँ। शायद मेरे परिवार में सबसे मुश्किल बात, उह, मेरी दादी को एक नर्सिंग होम में डालना पड़ा था और, उम्, उन्होंने वॉकर का काफी समय से इस्तेमाल किया था, शायद छह से नौ महीने तक। और, उम्, वह गिर गई थीं और, उह, आखिरकार, उह, उन्हें पार्किंसंस रोग था,","Mmm-hmm. Ouais. Probablement la chose la plus difficile dans ma famille, euh, ma grand-mère, elle a dû être placée dans une maison de retraite et, euh, elle avait utilisé la marchette pendant un certain temps, probablement environ six à neuf mois. Et, euh, elle a fait une chute et, euh, finalement, euh, elle avait la maladie de Parkinson,","Aha. Ja. Das wahrscheinlich Schwierigste in meiner Familie, äh, meine Großmutter, die musste ins Pflegeheim gebracht werden und, ähm, sie hatte den Rollator schon geraume Zeit benutzt, wahrscheinlich so sechs bis neun Monate lang. Und, ähm, sie hatte einen Sturz und, äh, schließlich, äh, sie hatte Parkinson.","Ah-ah. Sì. Probabilmente la cosa più difficile nella mia famiglia, ehm, mia nonna, ha dovuto essere messa in una casa di cura e, ehm, aveva usato il deambulatore per parecchio tempo, probabilmente per circa sei o nove mesi. E, ehm, ha avuto una caduta e, ehm, alla fine, ehm, aveva il morbo di Parkinson,","Aha. Jo. Asi nejtěžší věc v mé rodině, eh, moje babička, museli ji dát do domova důchodců a, ehm, používala chodítko už docela dlouho, asi tak šest až devět měsíců. A, ehm, spadla a, eh, nakonec, eh, měla Parkinsonovu chorobu,",أها. إيه. ربما أصعب شيء في عائلتي، إه، جدتي، اضطررنا لوضعها في دار رعاية مسنين و، امم، كانت تستخدم المشاية لفترة طويلة، ربما حوالي ستة إلى تسعة أشهر. و، امم، سقطت و، إه، أخيرًا، إه، كانت مصابة بمرض باركنسون،
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她在美国各地都有孩子。,Ella tenía hijos por todos los Estados Unidos.,उसके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।,Elle avait des enfants aux quatre coins des États-Unis.,Sie hatte Kinder überall in den Vereinigten Staaten.,Lei aveva figli in tutti gli Stati Uniti.,Měla děti po celých Spojených státech.,كان لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",喔。对于一个在她大半辈子，呃，不只是仅仅拥有一座农场，而是有十个孩子，有座农场，打理着一切，因为她的丈夫在煤矿里工作的人。,"Sí. Para alguien que, durante la mayor parte de su vida, ha, eh, no solo simplemente tuvo una granja sino que tuvo diez hijos, tuvo una granja, lo manejaba todo porque su esposo estaba lejos en las minas de carbón.","हाँ। किसी ऐसे व्यक्ति के लिए जिसने अपने जीवन के अधिकांश समय तक, उह, सिर्फ़ एक फ़ार्म ही नहीं था बल्कि दस बच्चे थे, एक फ़ार्म था, सब कुछ चलाया क्योंकि उसका पति कोयले की खदानों में दूर रहता था।","Oui. Pour quelqu'un qui, pendant la majeure partie de sa vie, a, euh, non seulement eu une ferme, mais a eu dix enfants a eu une ferme, gérait tout parce que son mari était absent dans les mines de charbon.","Ja. Für jemanden, die den Großteil ihres Lebens hat, äh, nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder hatte, einen Bauernhof hatte, alles leitete, weil ihr Mann in den Kohlebergwerken weg war.","Sì. per qualcuno che per la maggior parte della sua vita ha, ehm, non si è limitata ad avere una fattoria, ma ha avuto dieci figli, ha avuto una fattoria, gestiva tutto perché suo marito era via nelle miniere di carbone.","Jo. Pro někoho, kdo po většinu svého života měla, ehm, nejenže měla farmu, ale měla deset dětí, měla farmu, řídila všechno, protože její manžel byl pryč v uhelných dolech.",أجل. لشخصٍ ما، لمعظم حياتها كانت، إيه، لم تكن مجرد تملك مزرعة، بل كان لديها عشرة أطفال، كانت تملك مزرعة، كانت تدير كل شيء لأن زوجها كان بعيداً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们举行了一个，嗯，所有的兄弟姐妹都聚在一起，而且他们真的开了一个会。,"Creo que tuvieron mucho de, eh, todos los hermanos y hermanas se juntaron y de hecho tuvieron una conferencia.","मुझे लगता है कि उनके पास बहुत कुछ था, उम्म, सभी भाई-बहन इकट्ठा हुए और उन्होंने असल में एक कांफ्रेंस की।","Je pense qu'ils avaient beaucoup de, euh, tous les frères et sœurs se sont réunis et ils ont effectivement eu une conférence.","Ich denke, dass sie eine ganze Menge von, ähm, alle Brüder und Schwestern zusammengekommen sind und sie tatsächlich eine Konferenz hatten.","Penso che avessero un sacco di, ehm, tutti i fratelli e le sorelle si sono riuniti e di fatto hanno tenuto una conferenza.","Myslím, že měli spoustu, ehm, všichni bratři a sestry se sešli a vlastně měli konferenci.",أعتقد أنهم كان لديهم قدر كبير من، أم، جميع الإخوة والأخوات تجمعوا وأقاموا مؤتمرًا بالفعل.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论是仅仅给钱，还是真正参与了许多决策，比如寻找一个合适的养老院。,"si era solo dar dinero o si era realmente participar en mucho, de la toma de decisiones como encontrar un hogar de ancianos adecuado.","चाहे वह सिर्फ पैसे देना था या चाहे वह असल में बहुत, अह, निर्णय लेने में हिस्सा ले रहा था, जैसे एक सही नर्सिंग होम ढूँढना।","que ce soit juste donner de l'argent ou que ce soit en fait participer à beaucoup, de la prise de décision comme trouver une maison de retraite appropriée.","ob es nur darum ging, Geld zu geben, oder ob man tatsächlich viel an der Entscheidungsfindung teilgenommen hat, wie zum Beispiel bei der Suche nach einem geeigneten Pflegeheim.","che si trattasse solo di dare soldi o che si trattasse effettivamente di prendere parte a buona parte del processo decisionale, come trovare una casa di riposo adeguata.","Zda to bylo jen dávání peněz, nebo zda to bylo skutečné podílení se na spoustě — rozhodování, jako například nalezení vhodného domova pro seniory.",سواء كان مجرد إعطاء المال أو كان يشارك فعليًا في الكثير من عملية اتخاذ القرار، مثل العثور على دار رعاية مناسبة.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以，它，我真心希望如果那样的事情发生的话，我的孩子们会为我做像，那样的事情。,"Así que, lo, de verdad desearía que si algo así llegara a pasar, mis hijos hicieran algo como, eso por mí.","तो, मैं सच में चाहती हूँ कि अगर ऐसा कुछ हो जाए, कि मेरे बच्चे मेरे लिए कुछ ऐसा... वैसा करें।","Euh, ce, je souhaite sincèrement que si une chose pareille devait arriver, que mes enfants fassent quelque chose comme, ça pour moi.","Also, es, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, dass meine Kinder so etwas, das für mich tun würden.","Allora, ehm, desidero davvero che se qualcosa del genere dovesse accadere, i miei figli farebbero qualcosa del genere, ehm, per me.","Takže, to, já si skutečně přeju, že kdyby se něco takového stalo, aby moje děti udělaly něco takového, ehm, takového pro mě.",حسنًا، إنه، أتمنى حقًا أن لو حدث شيء كهذا، أن يفعل أطفالي شيئًا كهذا، ذلك لي.
