file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",当然，你知道，这是世界上你最不想做的事情之一，你知道。除非这只是，你知道，真的，你知道，你知道，为了他们自己好。,"Por supuesto, sabes, es una de las últimas cosas en el mundo que querrías hacer, sabes. A menos que sea solo, sabes, realmente, sabes, sabes, por su propio bien.","ज़ाहिर है, आपको पता है, ये दुनिया की उन आख़िरी कुछ चीज़ों में से है जो आप कभी करना चाहेंगे, आपको पता है। जब तक कि ये बस, आपको पता है, सच में, आपको पता है, आपको पता है, उनके अपने भले के लिए न हो।",", bien sûr, vous savez, c'est une des dernières choses au monde que vous voudriez jamais faire, vous savez. À moins que ce soit juste, vous savez, vraiment, vous savez, vous savez, pour leur propre bien.",", natürlich, weißt du, es ist eines der letzten Dinge auf der Welt, die du jemals tun wollen würdest, weißt du. Es sei denn, es ist einfach, weißt du, wirklich, weißt du, weißt du, zu ihrem eigenen Besten.",", naturalmente, sai, è una delle ultime cose al mondo che vorresti mai fare, sai. A meno che non sia solo, sai, veramente, sai, sai, per il loro bene.",", samozřejmě, víte, je to jedna z posledních věcí na světě, co byste kdy chtěli udělat, víte. Pokud to není prostě, víte, opravdu, víte, víte, pro jejich vlastní dobro.",طبعاً، يعني، هي من آخر الأشياء القليلة في العالم التي قد ترغب في فعلها على الإطلاق، يعني. إلا إذا كان الأمر مجرد، يعني، فعلاً، يعني، يعني، لمصلحتهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我呢，会非常非常小心，就是，去考察它们。我们...... 得...... 把我妈妈送进养老院。她呢，得了相当严重的中风，大概...... 八个月前吧，我想。,"Yo sería muy muy cuidadoso, sabes, revisándolos, nuestro, tuve qu-, poner a mi madre en una residencia de ancianos. Ella tuvo un derrame cerebral bastante masivo, como, hace ocho meses supongo.","मैं बहुत-बहुत सावधान रहूँगा, आप जानते हैं, उनकी जाँच करते हुए, उम्, पड़... मेरी माँ को एक नर्सिंग होम में रखना पड़ा। उन्हें एक काफी बड़ा स्ट्रोक हुआ था, लगभग, आठ महीने पहले मुझे लगता है।","Je serais très très prudent, vous savez, en les vérifiant, notre, j'ai d-, placer ma mère dans une maison de retraite. Elle a fait un AVC plutôt massif, euh, il y a huit mois, je suppose.","Ich wäre sehr, sehr vorsichtig, wissen Sie, wenn ich sie mir anschaue, unser, musste m-, meine Mutter in einem Pflegeheim unterbringen. Sie hatte einen ziemlich massiven Schlaganfall, ungefähr, vor acht Monaten, schätze ich.","Sarei molto molto attento, sai, controllandoli, nostr-, ho dovut-, mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto massiccio, circa, otto mesi fa credo.","Byl bych velmi, velmi opatrný, víš, při jejich prověřování, naše, musel j-, umístit svou matku do domova důchodců. Měla poměrně masivní mrtvici, asi, před osmi měsíci, myslím.",سأكون حذرًا جدًا جدًا، كما تعلم، أدقق فيهم، أمّ، ا-اضطررت أن أضع والدتي في دار رعاية للمسنين. أصيبت بجلطة دماغية ضخمة نوعًا ما، حوالي، قبل ثمانية أشهر أعتقد.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，呃，在不得不做的时候，做起来我很自在。但是，呃，我有过一次经历，我的岳母摔倒了，呃，她不能再照顾自己了，住进了一家养老院一段时间，那真不是一个很好的经历，必须仓促进行。我的意思是，我们没有，呃，六个月的时间去考察所有这些地方。而且这真的不是很好，这事儿。,"Así que, yo estaba muy cómoda, sabes, haciéndolo cuando llegó el momento en que tuvimos que hacerlo. Pero hay, uhm, tuve una ocasión por mi suegra que se cayó y, sabes, ya no podía cuidarse sola, estuvo confinada en un hogar de ancianos por un tiempo que realmente no fue una muy buena experiencia, tuvo que hacerse deprisa. Quiero decir, no teníamos, sabes, seis meses para revisar todos estos lugares. Y la verdad no fue muy bueno, la cosa.","तो, मैं बहुत सहज था, आप जानते हैं, इसे करने में जब बात उस मुकाम पर आ गई कि हमें इसे करना पड़ा। पर, वहाँ... मेरी सास के साथ एक वाकया हुआ जो गिर गई थीं और, आप जानते हैं, अब अपना ख्याल नहीं रख सकती थीं, उन्हें कुछ समय के लिए एक नर्सिंग होम में रहना पड़ा जो वास्तव में बहुत अच्छा अनुभव नहीं था, इसे जल्दी में करना पड़ा था। मेरा मतलब है, हमारे पास नहीं थे, आप जानते हैं, इन सभी जगहों की जाँच करने के लिए छह महीने। और यह वास्तव में बहुत अच्छा नहीं था, सौदा।","Donc, j'étais très à l'aise, vous savez, à le faire quand on est arrivé au point où on devait le faire. Mais il y a, j'ai eu le cas de ma belle-mère qui était tombée et, vous savez, ne pouvait plus prendre soin d'elle-même, a été confinée dans une maison de retraite pendant un certain temps, ce qui n'a vraiment pas été une très bonne expérience, ça a dû être fait à la hâte. Je veux dire, on n'avait pas, vous savez, six mois pour vérifier tous ces endroits. Et ce n'était vraiment pas très bien, l'affaire.","Also, ich war sehr, ähm, damit einverstanden, wissen Sie, es zu tun, als es so weit war, dass wir es tun mussten. Aber da, äh, ich hatte den Fall mit meiner Schwiegermutter, die hingefallen war und, wissen Sie, sich nicht mehr um sich selbst kümmern konnte, für eine Weile in einem Pflegeheim untergebracht war, was wirklich keine sehr gute Erfahrung war, es musste schnell gehen. Ich meine, wir hatten nicht, äh, wissen Sie, sechs Monate Zeit, um all diese Plätze auszuchecken. Und es war wirklich kein sehr guter, äh, Deal.","Quindi, ero molto a mio agio, sai, a farlo quando si è arrivati al punto che dovevamo farlo. Ma c'è, ho avuto un'occasione per mia suocera che era caduta e, sai, non poteva più prendersi cura di sé stessa, è stata ricoverata in una casa di riposo per un po' che non è stata una buona esperienza, doveva essere fatto di fretta. Voglio dire, non avevamo, sai, sei mesi per controllare tutti questi posti. E non è stata davvero una gran bella faccenda.","Takže, bylo mi to velmi příjemné, víte, to udělat, když už to došlo do bodu, kdy jsme to museli udělat. Ale, uh, měli jsme případ s mojí tchyní, která spadla a, víte, už se o sebe nemohla starat, byla na nějakou dobu odkázána do domova důchodců, což opravdu nebyla moc dobrá zkušenost, muselo se to udělat ve spěchu. Myslím, neměli jsme, víte, šest měsíců na to, abychom všechna tato místa zkontrolovali. A nebylo to opravdu moc dobré, prostě.",لذا، كنت مرتاحًا جدًا، تعرف، في فعل ذلك عندما وصل الأمر إلى النقطة التي كان علينا فعلها. لكن هناك، كان لدي موقف لحماتي التي سقطت وتعرف، لم تعد تستطيع الاعتناء بنفسها، تم حجزها في دار رعاية للمسنين لبعض الوقت وهذه لم تكن تجربة جيدة جدًا في الحقيقة، كان يجب أن يتم ذلك بسرعة. أعني، لم يكن لدينا، تعرف، ستة أشهر للتأكد من كل هذه الأماكن. ولم يكن الأمر جيدًا جدًا في الحقيقة، صفقة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",嗯，我们是不是还能做点别的呢，你知道，在查看所有可能有的地方。当然，你看，又不是每个街角都有的，尤其是，呃，比较小的区域，比较小的城镇。,"Sabes, ¿pudimos haber hecho algo más?, sabes, al revisar todos los lugares que podrían estar disponibles. Claro, sabes, no hay uno en cada esquina, especialmente, sabes, áreas más pequeñas, pueblos más pequeños.","आपको पता है, क्या हम कुछ और कर सकते थे, आपको पता है, उन सभी जगहों की पड़ताल करते हुए जो उपलब्ध हो सकती थीं। बेशक, आपको पता है, हर कोने पर एक नहीं है, ख़ासकर, आपको पता है, छोटे इलाक़ों, छोटे शहरों में।","Vous savez, est-ce qu'il y a quelque chose d'autre que nous aurions pu faire, vous savez, en vérifiant tous les endroits qui, pourraient être disponibles. Bien sûr, vous savez, il n'y en a pas un à chaque coin de rue, surtout, vous savez, les zones plus petites, les petites villes.","Weißt du, gibt es noch etwas anderes, das wir hätten tun können, weißt du, beim Überprüfen all der Orte, die, verfügbar sein könnten. Natürlich, weißt du, gibt es nicht an jeder Ecke eine, besonders, weißt du, kleinere Gebiete, kleinere Städte.","Sai, c'è qualcos'altro che avremmo potuto fare, sai, nel controllare tutti i posti che, potrebbero essere disponibili. Certo, sai, non ce n'è uno ad ogni angolo, specialmente, sai, zone più piccole, città più piccole.","Víš, je něco jiného, co jsme mohli udělat, víš, při prověřování všech míst, která, by mohla být k dispozici. Samozřejmě, víš, není to na každém rohu, zvláště, víš, menší oblasti, menší města.",تعرف، هل كان فيه شيء تاني كان ممكن نعمله، تعرف، في فحص كل الأماكن اللي، ممكن تكون متاحة. طبعاً، تعرف، ما في واحد على كل زاوية، خصوصاً، تعرف، المناطق الأصغر، المدن الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",可能是对我们家来说最难的事情，我的奶奶，她不得不被送进养老院，嗯，她已经用助行器有一段时间了，大概有六到九个月左右。然后，她摔倒了，最后，她得了帕金森病。,"Probablemente lo más difícil en mi familia, mi abuela, ella tuvo que ser internada en una residencia de ancianos y, ella había usado el andador por bastante tiempo, probablemente unos seis a nueve meses. Y, ella tuvo una caída y, finalmente, ella tenía la enfermedad de Parkinson,","शायद मेरे परिवार में जो सबसे मुश्किल बात थी, मेरी दादी, उन्हें नर्सिंग होम में भर्ती कराना पड़ा था। और, वो वॉकर का इस्तेमाल काफी समय से कर रही थीं, शायद लगभग छह से नौ महीने से। और, वो गिर गई थीं, और, आखिरकार, उन्हें पार्किंसंस की बीमारी थी,","Probablement la chose la plus difficile dans ma famille, ma grand-mère, elle a dû être placée en maison de retraite et, elle avait utilisé le déambulateur pendant un certain temps, probablement environ six à neuf mois. Et, elle a fait une chute et, finalement, elle avait la maladie de Parkinson,","Wahrscheinlich das Schwerste in meiner Familie, meine Großmutter, sie musste in ein Pflegeheim gebracht werden und, sie hatte den Rollator schon eine ganze Weile benutzt, wahrscheinlich so sechs bis neun Monate. Und, sie hatte einen Sturz und, schließlich, hatte sie die Parkinson-Krankheit,","Probabilmente la cosa più difficile nella mia famiglia, mia nonna, è dovuta essere messa in una casa di riposo e, aveva usato il deambulatore per parecchio tempo, probabilmente circa sei-nove mesi. E, è caduta e, alla fine, aveva il morbo di Parkinson,","Asi nejtěžší věc v naší rodině, moje babička, musela jít do domova důchodců a, používala chodítko už docela dlouho, asi tak šest až devět měsíců. A, upadla a, nakonec, měla Parkinsonovu chorobu,",ربما أصعب شيء في عائلتي، جدتي، اضطرت أن توضع في دار رعاية المسنين و، كانت تستخدم المشاية لفترة طويلة، ربما حوالي ستة إلى تسعة أشهر. و، سقطت و، أخيراً، كانت مصابة بمرض باركنسون،
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",我是说，她在美国各地都有孩子。,"Quiero decir, ella tenía hijos por todo Estados Unidos.","मेरा मतलब है, उसके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।","Je veux dire, elle avait des enfants partout aux États-Unis.","Ich meine, sie hatte Kinder überall in den Vereinigten Staaten.","Cioè, aveva figli in tutti gli Stati Uniti.","Chci říct, měla děti po celých Spojených státech.",يعني، كان عندها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",呃，就是说，对于一个，你知道的，她大半辈子，呃，不仅仅是，呃，有个农场，而是有十个孩子，呃，还有个农场，她操持着一切，因为她丈夫在煤矿里。,"O sea, para alguien que, sabes, durante la mayor parte de su vida ha, no solo simplemente tuvo una granja, sino que tuvo diez hijos, tuvo una granja, manejaba todo porque su esposo estaba fuera en las minas de carbón.","मेरा मतलब है, किसी ऐसे व्यक्ति के लिए जो, उह, अपनी जिंदगी के ज़्यादातर हिस्से में, उह, जिसने सिर्फ एक खेत ही नहीं रखा था, बल्कि दस बच्चे थे, उह, एक खेत था, सब कुछ चलाती थी क्योंकि उसका पति कोयले की खदानों में बाहर था।","Je veux dire, pour quelqu'un qui, vous savez, pendant la majeure partie de sa vie a, non seulement eu une ferme, mais a eu dix enfants a eu une ferme, gérait tout parce que son mari était absent dans les mines de charbon.","Ich meine, für jemanden, der, weißt du, die meiste Zeit ihres Lebens hat, nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder hatte, einen Bauernhof hatte, sich um alles kümmerte, weil ihr Mann in den Kohlengruben war.","Cioè, per qualcuno che sai, per la maggior parte della sua vita ha, non solo aveva una fattoria, ma aveva dieci figli aveva una fattoria, gestiva tutto perché suo marito era via nelle miniere di carbone.","Jako, pro někoho, kdo, víte, po většinu svého života měla, nejen že jen měla farmu, ale měla deset dětí, měla farmu, vedla všechno, protože její manžel byl pryč v uhelných dolech.",أعني، لشخصٍ، كما تعلم، لمعظم حياتها، لم تكن تملك مجرد مزرعة فحسب، بل كان لديها عشرة أطفال، كانت تملك مزرعة، وأدارت كل شيء لأن زوجها كان بعيداً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们有很多的... 呃... 所有的兄弟姐妹都聚在一起了，他们实际上开了一个会议。,"Creo que tuvieron mucho de, todos los hermanos y hermanas se juntaron y de hecho tuvieron una conferencia.","मुझे लगता है कि उनके पास बहुत कुछ था, मतलब, सभी भाई-बहन एक साथ मिले और उन्होंने असल में एक कॉन्फ़्रेंस की।","Je pense qu'ils ont eu beaucoup de, euh, tous les frères et sœurs se sont réunis et ils ont en fait eu une conférence.","Ich denke, dass sie vieles von, alle Brüder und Schwestern zusammenkamen und sie tatsächlich eine Konferenz hatten.","Penso che abbiano avuto un sacco di, tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente tenuto una conferenza.","Myslím, že měli hodně, všichni sourozenci se sešli a skutečně uspořádali konferenci.",أعتقد أنهم كان لديهم الكثير من، كل الإخوة والأخوات اجتمعوا وفعلاً عقدوا مؤتمراً.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",你知道，无论是只是，嗯，给钱，还是实际参与了很多，呃，的决策，嗯，比如找一个合适的养老院。,"Sabes, ya sea que fuera solo, sabes, dar dinero o si realmente participaba mucho en la toma de decisiones, sabes, como encontrar un hogar de ancianos adecuado.","आपको पता है, चाहे वह सिर्फ, आपको पता है, पैसे देना था या चाहे वह असल में बहुत सारे, निर्णय लेने में भाग लेना था, आपको पता है, जैसे एक उचित नर्सिंग होम ढूँढना।","Vous savez, que ce soit juste, vous savez, donner de l'argent ou que ce soit en fait prendre part à beaucoup, de la prise de décision, vous savez, comme trouver une maison de retraite appropriée.","Weißt du, ob es einfach nur, weißt du, Geld zu geben war oder ob es tatsächlich darum ging, sich an einem Großteil der Entscheidungsfindung zu beteiligen, weißt du, wie zum Beispiel ein geeignetes Pflegeheim zu finden.","Sai, se fosse solo, uhm, dare soldi o se fosse proprio prendere parte a, uhm, a gran parte del processo decisionale, sai, no?, come trovare una casa di cura adeguata.","Víte, jestli to bylo prostě, ehm, dávání peněz, nebo jestli se skutečně podíleli na spoustě, ehm, toho rozhodování, víte, jako třeba najít vhodný domov pro seniory.",تعرف، سواء كان فقط، تعرف، إعطاء المال أو سواء كان بالفعل يشارك في كثير، من اتخاذ القرارات، تعرف، مثل إيجاد دار رعاية مناسبة للمسنين.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以呢，我是说，呃，这个，我是说，我真心希望如果发生像那样的事情，我的孩子们会为我做像那种，嗯，那种事情。,"Pues, quiero decir, esto, quiero decir, realmente desearía que si algo así sucediera, mis hijos hicieran algo así por mí.","तो, मतलब, ये, मतलब, मैं सच में चाहता हूँ कि अगर ऐसा कुछ होता, तो मेरे बच्चे मेरे लिए ऐसा कुछ करें।","Donc, je veux dire, ça, je veux dire, je souhaite vraiment que si quelque chose comme ça devait arriver, que mes enfants fassent quelque chose comme, ça pour moi.","Also, ich meine, es, ich meine, ich wünschte mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas, äh, das für mich tun würden.","Allora, cioè, cioè, vorrei davvero che se succedesse una cosa del genere i miei figli facessero qualcosa del genere per me.","Takže, jako, ehm, jako, si opravdu přeju, že kdyby se něco takového stalo, že by moje děti udělaly něco takového, ehm, pro mě.",فـ، أقصد، إيه، أقصد، أتمنى بصدق لو حصل شيء زي كذا إنه أولادي يعملوا شيء زي كذا عشاني.
