file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",嗯，当然，这大概是世上你最不愿意做的事情之一了，除非真的是，嗯，为了他们好。,"Bueno, claro, es, es una de las últimas cosas en el mundo que uno querría hacer. A menos que sea simplemente realmente... y, eh... para su, eh... para su propio bien.","खैर, बेशक, यह दुनिया के उन आख़िरी कामों में से है जो आप कभी नहीं करना चाहेंगे। जब तक कि यह वाकई में ही, और, उह, उनके, उह, उनके अपने भले के लिए न हो।","Bien sûr, c'est une des dernières choses au monde que tu voudrais jamais faire. À moins que ce soit vraiment, et euh, pour leur, euh, pour leur propre bien.","Nun, natürlich, es ist, es ist eines der letzten Dinge auf der Welt, die man jemals tun möchte. Es sei denn, es ist wirklich und, äh, für ihr, äh, für ihr eigenes Wohl.","Beh, certo, è una delle ultime cose al mondo che vorresti mai fare. A meno che non sia proprio e, uhm, per il loro, uhm, per il loro stesso bene.","No, samozřejmě, je to, je to jedna z posledních pár věcí na světě, kterou by člověk kdy chtěl dělat. Pokud to není jenom opravdu... a, ehm, pro jejich, ehm, pro jejich vlastní dobro.",بالطبع، إنه من آخر الأشياء القليلة في العالم التي قد ترغب في فعلها على الإطلاق. إلا إذا كان الأمر حقاً، أه، لمصلحتهم الخاصة.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地去考察它们。呃，我们不得不把我妈妈送进了养老院。她大约八个月前中了一次相当严重的中风。,"Tendría muchísimo cuidado y los investigaría bien. Eh, tuvimos que internar a mi madre en una residencia de ancianos. Ella sufrió un derrame cerebral bastante masivo hace unos, eh, ocho meses.",मैं बहुत-बहुत सावधान रहूँगा और उनकी जाँच करूँगा। हमें अपनी माँ को एक नर्सिंग होम में रखना पड़ा। उन्हें लगभग आठ महीने पहले एक काफी बड़ा दौरा पड़ा था।,"Je ferais très, très attention et je ferais des vérifications. J'ai dû placer ma mère dans une maison de retraite. Elle a eu un AVC assez massif il y a environ huit mois.","Ich würde sehr, sehr vorsichtig sein und sie genau prüfen. Äh, wir mussten meine Mutter in einem Pflegeheim unterbringen. Sie hatte einen ziemlich massiven Schlaganfall vor etwa acht Monaten.","Sarei molto, molto cauto/a e mi informerei bene su di loro. Ho dovuto mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto grave circa otto mesi fa.","Byl bych velmi, velmi opatrný a prověřil bych je. Musel jsem umístit svou matku do domova důchodců. Měla poměrně masivní mrtvici asi před osmi měsíci.",سأكون في غاية الحذر وأتحقق منهم. لقد اضطررنا لوضع أمي في دار رعاية المسنين. أصيبت بسكتة دماغية شديدة للغاية قبل حوالي ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",那么，当到了我们不得不做的时候，我做起来是很放心的。不过呢，我岳母/婆婆有一次摔倒了，之后就不能再照顾自己了，所以被送去了一个养老院住了一段时间。那段经历真的不是很好。嗯，这件事得赶紧办。我们当时没有像六个月那么长的时间来仔细考察所有的这些地方。而且那真的不是个好安排。,"Aquí tienes la traducción al español:

Así que me sentía muy cómodo haciéndolo cuando llegó el punto en que tuvimos que hacerlo. Pero, bueno, tuve una situación con mi suegra, que se había caído y ya no podía valerse por sí misma. Fue internada en una residencia de ancianos por un tiempo, lo cual realmente no fue una muy buena experiencia. Eh, tuvo que hacerse de prisa. No teníamos como seis meses para investigar todos esos lugares. Y la verdad es que no fue, eh, un muy buen trato.","तो, मैं इसे करने में बहुत सहज था जब बात उस मुकाम पर आ गई कि हमें यह करना पड़ा। लेकिन, ठीक है, मेरे पास मेरी सास के लिए एक अवसर था जो गिर गई थीं और उन्हें देखभाल की ज़रूरत थी, वे अब अपनी देखभाल नहीं कर पा रही थीं, कुछ समय के लिए उन्हें एक नर्सिंग होम में भर्ती कराया गया था जो वास्तव में बहुत अच्छा अनुभव नहीं था। इसे जल्दी में करना पड़ा था। हमारे पास इन सभी जगहों की जाँच करने के लिए छह महीने का समय नहीं था। और यह वास्तव में बहुत अच्छा सौदा नहीं था।","Alors, je me sentais très à l'aise de le faire quand il a fallu le faire. Mais, bon, j'ai eu le cas de ma belle-mère qui était tombée et ne pouvait plus s'occuper d'elle-même. Elle a été placée en EHPAD pendant un certain temps, ce qui n'a vraiment pas été une très bonne expérience. Euh, ça a dû être fait à la va-vite. On n'avait pas six mois pour visiter tous ces établissements. Et ce n'était vraiment pas, pas une très bonne, euh, affaire.","Also, ich hatte keine Bedenken, es zu tun, als es so weit war. Aber es gab, nun ja, einen Fall mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte. Sie wurde für eine Weile in einem Pflegeheim untergebracht, was wirklich keine sehr gute Erfahrung war. Ähm, es musste schnell gehen. Wir hatten keine sechs Monate Zeit, um all diese Heime anzuschauen. Und es war wirklich keine sehr gute Sache.","Allora, mi sentivo molto a mio agio nel farlo quando si è arrivati al punto che dovevamo farlo. Ma, beh, ho avuto un caso con mia suocera che era caduta e aveva bisogno di aiuto, non poteva più prendersi cura di sé, ed è stata ricoverata in una casa di riposo per un po', e quella non è stata davvero una bella esperienza. Eh, doveva essere fatto in fretta; non avevamo tipo sei mesi per controllare tutti questi posti. E non è stata davvero una, uh, una cosa molto buona.","Takže jsem s tím neměl problém, když došlo na to, že jsme to museli udělat. Ale pak jsem měl, no, zkušenost s mojí tchýní, která upadla a už se o sebe nemohla postarat. Takže byla na nějakou dobu umístěna do domova pro seniory, což opravdu nebyla moc dobrá zkušenost. Ehm, muselo se to udělat ve spěchu. Neměli jsme třeba šest měsíců na to, abychom prověřili všechna tato zařízení. A opravdu to nebyla moc dobrá, ehm, záležitost.",لذا، شعرت براحة كبيرة في القيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا أن نفعله فيها. ولكن، حسنًا، كان لدي موقف مع حماتي التي سقطت وأصبحت غير قادرة على رعاية نفسها بعد ذلك، فتم وضعها في دار رعاية للمسنين لفترة، ولم تكن تلك تجربة جيدة جدًا حقًا. كان يجب أن يتم الأمر على عجل. لم يكن لدينا ما يقرب من ستة أشهر لنتفقد كل هذه الأماكن. ولم يكن الوضع جيدًا جدًا حقًا.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",我们在考察所有可能有的地方时，是否还能做些别的呢？当然，不是每个街角都有一个，尤其是在小区域，小城镇。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que, uh, pudieran estar disponibles? Claro que no hay uno en cada esquina, especialmente en áreas más pequeñas, pueblos más pequeños.","क्या हम उन सभी संभावित जगहों को ढूँढने के लिए कुछ और कर सकते थे, जो उपलब्ध हो सकती थीं? बेशक, हर कोने पर एक नहीं होती, खासकर छोटे इलाकों, छोटे कस्बों में।","Y a-t-il autre chose que nous aurions pu faire en vérifiant tous les endroits qui, euh, pourraient être disponibles ? Bien sûr, il n'y en a pas un à chaque coin de rue, surtout dans les petites zones, les petites villes.","Hätten wir noch etwas anderes tun können, um all die Orte zu prüfen, die es geben könnte? Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","C'è qualcos'altro che avremmo potuto fare nel verificare tutti i posti che potrebbero essere disponibili? Certo, non ce n'è uno ad ogni angolo, specialmente nelle zone più piccole, nei paesi più piccoli.","Co víc jsme mohli udělat při prověřování všech míst, která by mohla být k dispozici? Samozřejmě, že takové místo není na každém rohu, zvláště v menších oblastech, menších městech.",هل كان هناك شيء آخر يمكننا فعله عند فحص جميع الأماكن التي قد تكون متاحة؟ بالطبع، لا يوجد واحد في كل زاوية، خاصة في المناطق والمدن الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",嗯，對。對我們家來說，最困難的事情之一，可能就是我奶奶她當時不得不被送進養老院。而且，她已經使用助行器相當長一段時間了，大概有六到九個月了吧。後來她跌倒了，最終，她得了帕金森病。,"Ajá. Sí. Probablemente lo más difícil en, en mi familia, eh, mi abuela, tuvieron que ingresarla en una residencia de mayores y, um, ella había usado el andador por, por bastante tiempo, probablemente unos seis a nueve meses. Y, um, ella tuvo una caída y, eh, finalmente, eh, ella tenía la enfermedad de Parkinson,","हाँ। शायद मेरे परिवार में सबसे मुश्किल बात यह थी कि मेरे परिवार में मेरी दादी को नर्सिंग होम में रखना पड़ा। और, उन्होंने काफी समय से, शायद छह से नौ महीने तक वॉकर का इस्तेमाल किया था। और, वह एक बार गिर गईं, और, आखिरकार, उन्हें पार्किंसंस रोग था,","Oui, oui. La chose probablement la plus difficile dans ma famille, euh, ma grand-mère, elle a dû être placée en maison de retraite et, euhm, elle utilisait un déambulateur depuis un certain temps, probablement six à neuf mois. Et, euhm, elle a fait une chute et, euh, finalement, euh, elle avait la maladie de Parkinson,","Ja. Wahrscheinlich das Schwerste in meiner Familie war, dass meine Großmutter in ein Pflegeheim gebracht werden musste. Und sie hatte den Rollator schon seit Längerem benutzt, wahrscheinlich seit etwa sechs bis neun Monaten. Und dann ist sie gestürzt, und schließlich hatte sie Parkinson,","Ah-ah. Sì. Probabilmente la cosa più difficile nella mia famiglia, uh, mia nonna, ha dovuto essere messa in una casa di riposo e, ehm, aveva usato il deambulatore per, per un bel po' di tempo, probabilmente circa sei o nove mesi. E, ehm, ha avuto una caduta e, uh, alla fine, uh, aveva la malattia di Parkinson,","Mhm. Jo. Asi to nejtěžší v mojí rodině – uh, moje babička musela jít do domova pro seniory a, um, používala chodítko už delší dobu, asi šest až devět měsíců. A, um, spadla a, uh, nakonec, uh, měla Parkinsonovu chorobu.",أها، نعم. ربما أصعب شيء في عائلتي، آه، جدتي، اضطررنا لوضعها في دار رعاية المسنين. وكانت، آه، تستخدم المشاية لفترة طويلة جدًا، ربما حوالي ستة إلى تسعة أشهر. وبعدين، آه، سقطت، وأخيرًا، آه، كانت مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她的孩子遍布美国各地。,Ella tenía hijos por todos los Estados Unidos.,उसके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।,Elle avait des enfants partout aux États-Unis.,Sie hatte Kinder quer durch die Vereinigten Staaten.,Lei aveva figli in tutti gli Stati Uniti.,Měla děti po celých Spojených státech.,أنجبت أطفالاً في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",嗯，对于一个人来说，她大半辈子不仅经营着农场，还养育了十个孩子。她操持着家里的一切，因为她丈夫当时在煤矿工作。,"Sí. Para alguien que, durante la mayor parte de su vida, no solo simplemente tenía una granja, sino que además tenía diez hijos, se ocupaba de la granja y llevaba todo, porque su esposo estaba fuera en las minas de carbón.","हाँ। एक ऐसे व्यक्ति के लिए जिसने अपनी ज़िंदगी के ज़्यादातर हिस्से में, न सिर्फ़ एक फ़ार्म संभाला, बल्कि दस बच्चों की परवरिश भी की और सारा कामकाज अकेले चलाया, क्योंकि उसका पति कोयले की खदानों में काम करने की वजह से घर से दूर रहता था।","Oui. Pour quelqu'un qui, pendant la majeure partie de sa vie, non seulement avait une ferme et élevait dix enfants, mais s'occupait de tout parce que son mari était absent dans les mines de charbon.","Ja. Für jemanden, die die meiste Zeit ihres Lebens nicht nur einen Bauernhof führte, sondern zehn Kinder hatte und alles managen musste, weil ihr Mann in den Kohlebergwerken arbeitete.","Sì. Per qualcuno che, per la maggior parte della sua vita, non aveva solo una fattoria, ma aveva anche dieci figli e gestiva tutto perché suo marito era via nelle miniere di carbone.","Takže pro někoho, kdo po většinu svého života nejenom že měla farmu, ale především měla deset dětí a musela k tomu vést celou farmu a starat se o všechno, protože její manžel byl pryč v uhelných dolech.",نعم. لامرأةٍ كانت، لمعظم حياتها، لم تكن مجرد صاحبة مزرعة، بل كانت أماً لعشرة أطفال وتدير كل شيء بنفسها، لأن زوجها كان يعمل بعيداً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们，嗯，所有的兄弟姐妹都聚在一起了，而且他们真的开了一个大会。,Creo que todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.,"मुझे लगता है कि वे, उनके पास बहुत कुछ था, उम... सभी भाई-बहन एक साथ आए और उन्होंने वास्तव में एक सम्मेलन आयोजित किया।","Je pense qu'ils, euh, tous les frères et sœurs se sont réunis et ils ont effectivement tenu une conférence.","Ich denke, dass sie, ähm, alle Brüder und Schwestern zusammenkamen und sie tatsächlich eine Konferenz veranstalteten.","Penso che loro, uhm... tutti i fratelli e le sorelle si siano riuniti e abbiano effettivamente tenuto una conferenza.","Myslím, že se všichni bratři a sestry sešli a skutečně měli konferenci.",أعتقد أنهم، جميع الإخوة والأخوات، اجتمعوا وبالفعل عقدوا مؤتمرًا.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",仅仅是给钱，还是实际上参与了很多决策，比如寻找一个合适的养老院。,"Si era solo dar dinero o si era realmente participar en gran parte de la toma de decisiones, como encontrar un asilo de ancianos adecuado.","चाहे वह सिर्फ पैसे देना था या फिर असल में निर्णय लेने के कई कामों में हिस्सा लेना था, जैसे कि एक उचित वृद्धाश्रम खोजना।","que ce soit simplement de donner de l'argent ou que ce soit réellement de prendre part à une grande partie de la prise de décision, comme trouver une maison de retraite adaptée.","Ob es nur darum ging, Geld zu geben, oder ob es tatsächlich um die Beteiligung an einem Großteil der Entscheidungsfindung ging, wie zum Beispiel der Suche nach einem geeigneten Pflegeheim.","che fosse solo dare denaro o che fosse effettivamente partecipare a gran parte del processo decisionale, come trovare una casa di riposo adeguata.","Ať už šlo jen o poskytnutí peněz, nebo o skutečné zapojení do podstatné části rozhodování, například při hledání vhodného domova pro seniory.",سواء كان الأمر مجرد إعطاء المال، أو كان يشارك فعلاً في الكثير من اتخاذ القرارات، مثل إيجاد دار رعاية مناسبة للمسنين.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",我真心希望，如果发生那样的事情，我的孩子们也会那样为我做。,"Realmente deseo que, si algo así llegara a suceder, mis hijos hicieran algo así por mí.","मैं सच में चाहता/चाहती हूँ कि अगर ऐसा कुछ होता, तो मेरे बच्चे मेरे लिए ऐसा कुछ करते।","Je souhaite vraiment que si une chose pareille devait arriver, mes enfants fassent quelque chose comme ça pour moi.","Ich würde mir wirklich wünschen, dass, falls so etwas passieren sollte, meine Kinder so etwas für mich tun würden.","Mi auguro davvero che se dovesse succedere qualcosa del genere, i miei figli farebbero una cosa del genere per me.","Opravdu bych si přál, aby, kdyby se něco takového stalo, moje děti pro mě udělaly něco takového.",أتمنى حقًا لو حدث شيء كهذا أن يفعل أولادي شيئًا كهذا لي.
