file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",当然，这可以说是世界上你最不愿意做的事情之一了。除非它，嗯，真的是为了他们好。,"Claro, es de las últimas cosas en el mundo que uno querría hacer, ¿sabes? A menos que sea, sabes, realmente, eh, y por su propio bien.","बेशक, यह, मतलब, दुनिया की उन आख़िरी कुछ चीज़ों में से है जिसे कोई कभी नहीं करना चाहेगा, समझे? जब तक कि यह सिर्फ़, तुम जानते हो, वाकई में, और उनके, मतलब, उनके अपने भले के लिए न हो।","Bien sûr, c'est, vous savez, c'est une des dernières choses au monde que l'on voudrait faire, jamais. À moins que ce ne soit vraiment, vraiment, et pour leur, euh... pour leur propre bien.","Natürlich ist es, wissen Sie, es ist eines der letzten Dinge auf der Welt, die man jemals tun möchte, wissen Sie. Es sei denn, es ist eben, wissen Sie, wirklich, wissen Sie, und, zu ihrem, wissen Sie, zu ihrem eigenen Besten.","Certo, è, sai, è una delle ultime cose al mondo che vorresti mai fare, sai. A meno che non sia proprio, sai, davvero, e per il loro, sai, per il loro bene.","Samozřejmě, je to jedna z posledních věcí na světě, co bys vůbec kdy chtěl dělat. Ledaže by to bylo prostě, víš, opravdu, a pro jejich vlastní dobro.",طبعًا، هذا آخر شيء قد ترغب في فعله على الإطلاق. إلا إذا كان الأمر حقًا، ولصالحهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地去考察（这些地方）。我们家啊，当时也是不得不把我母亲送进养老院。她大概八个月前得了相当严重的大面积中风。,"Yo tendría mucho, mucho cuidado y, sabes, los investigaría bien. Tuve que poner a mi madre en una residencia de ancianos. Ella sufrió un derrame cerebral bastante masivo hace unos ocho meses, supongo.","मैं बहुत, बहुत सावधान रहता और उनकी (अच्छे से) जाँच-पड़ताल करता। मुझे अपनी माँ को एक नर्सिंग होम में रखना पड़ा था। उन्हें लगभग आठ महीने पहले एक काफी गंभीर स्ट्रोक आया था, मुझे लगता है।","Je ferais très très attention et, vous savez, je me renseignerais bien. Nous avons dû placer ma mère dans une maison de retraite. Elle a eu un AVC plutôt massif il y a environ huit mois, je suppose.","Ich wäre sehr, sehr vorsichtig und würde sie mir genau ansehen. Ich musste meine Mutter in einem Pflegeheim unterbringen. Sie hatte vor etwa acht Monaten einen ziemlich massiven Schlaganfall, glaube ich.","Sarei molto molto attento e, sai, li valuterei bene. Abbiamo dovuto mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto grave circa otto mesi fa, credo.","Byl bych velmi, velmi opatrný a, víte, prověřoval bych je, naše, musel jsem, umístit moji matku do domova důchodců. Utrpěla poměrně rozsáhlou mrtvici zhruba, zhruba před osmi měsíci, myslím.",سأكون حذرًا جدًا جدًا، وأقوم بالتدقيق فيهم جيدًا. أنا اضطررت لوضع والدتي في دار لرعاية المسنين. لقد أصيبت بجلطة دماغية شديدة نوعًا ما قبل حوالي ثمانية أشهر، على ما أظن.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当到了我们不得不做的时候，我当时是比较放心的。但是有一次，我的岳母摔倒了，她已经不能自理了，需要住进养老院一段时间。那段经历其实不是很好，当时办得很仓促。我们当时没有六个月的时间去考察所有这些地方。整体来说，那不是一个很好的安排。,"Así que, me sentía muy cómoda, ya sabes, al hacerlo cuando llegó el momento en que tuvimos que hacerlo. Pero tuve una situación con mi suegra, que se había caído y necesitaba, ya sabes, ya no podía cuidarse sola, estuvo internada en una residencia de ancianos por un tiempo, lo cual realmente no fue una muy buena experiencia, tuvo que hacerse deprisa. Quiero decir, no teníamos, ya sabes, seis meses para revisar todos esos lugares. Y realmente no fue una muy buena situación.","खैर, जब ऐसी नौबत आ गई कि हमें यह करना ही था, तो मुझे इसे करने में बहुत सहज महसूस हुआ। लेकिन, मेरी सास के साथ एक बार ऐसा हुआ, वह गिर गई थीं और अब अपनी देखभाल नहीं कर पा रही थीं। उन्हें कुछ समय के लिए एक नर्सिंग होम में रखना पड़ा, और वह अनुभव सच में बहुत अच्छा नहीं था। यह सब जल्दबाजी में करना पड़ा था। कहने का मतलब है कि हमारे पास इन सभी जगहों की जांच-पड़ताल करने के लिए छह महीने का समय नहीं था। और यह सच में कोई बहुत अच्छी बात नहीं थी।","Donc, j'étais très à l'aise, vous savez, de le faire quand il a fallu le faire. Mais j'ai eu une situation avec ma belle-mère qui était tombée et qui, vous savez, ne pouvait plus s'occuper d'elle-même. Elle a été placée en maison de retraite pour un certain temps, ce qui n'a vraiment pas été une très bonne expérience. Il a fallu faire ça en urgence. Je veux dire, nous n'avions pas, vous savez, six mois pour visiter tous ces endroits. Et ce n'était vraiment pas, pas très bien, cette histoire.","Also, ich war sehr gelassen dabei, als es so weit war, dass wir es tun mussten. Aber es gab dann den Fall mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte und dann für eine Weile in ein Pflegeheim kam. Das war wirklich keine gute Erfahrung. Es musste schnell gehen. Ich meine, wir hatten ja nicht sechs Monate Zeit, um uns all diese Orte anzusehen. Und das war wirklich keine gute Sache.","Quindi, mi sentivo molto a mio agio, sai, nel farlo quando si è arrivati al punto che dovevamo farlo. Ma è capitato con mia suocera, che era caduta e non poteva più prendersi cura di sé, per cui è stata ricoverata in una casa di riposo per un po'. Quella non è stata davvero una bella esperienza, e dovevamo agire in fretta. Voglio dire, non avevamo, sai, sei mesi per controllare tutti questi posti. E non è stata davvero una buona, insomma, non è stata una buona esperienza.","Takže jsem s tím byl/a naprosto v pohodě, víte, když došlo na to, že jsme to museli udělat. Ale pak nastal případ mé tchyně, která spadla a už se o sebe nemohla postarat, víte. Takže musela být na nějakou dobu umístěna do domova pro seniory. Což ale opravdu nebyla moc dobrá zkušenost, muselo se to udělat narychlo. Chci říct, neměli jsme, víte, šest měsíců na to, abychom všechna ta místa prověřili. A nebylo to opravdu, nebylo to moc dobrá záležitost.",لذلك، كنت مرتاحًا جدًا للقيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا فعلها. لكن، حدث أن كان لدي موقف يتعلق بحماتي التي سقطت ولم تعد تستطيع الاعتناء بنفسها، وتم إيداعها في دار لرعاية المسنين لفترة. لم تكن تلك تجربة جيدة جدًا على الإطلاق، فقد كان يجب أن يتم الأمر على عجل. أعني، لم يكن لدينا ستة أشهر لنتحقق من كل هذه الأماكن. ولم يكن الوضع جيدًا جدًا في الحقيقة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",你知道，我们还能不能再多做点什么，去看看所有可能有的地方呢？当然了，你知道的，这种地方不是随处可见的，尤其是在那些小地方、小城镇。,"Sabes, ¿hay algo más que pudimos haber hecho, sabes, al revisar todos los lugares que podrían estar disponibles? Claro, sabes, no hay uno en cada esquina, especialmente, sabes, en zonas más pequeñas, en pueblos más pequeños.","क्या हम कुछ और कर सकते थे, उन सभी जगहों की पड़ताल करने में जो उपलब्ध हो सकती थीं? निश्चित रूप से, हर कोने पर एक नहीं होता, खासकर छोटे इलाकों में, छोटे शहरों में।","Alors, est-ce qu'il y a autre chose qu'on aurait pu faire, en faisant le tour de tous les endroits qui pourraient être disponibles ? Bien sûr, il n'y en a pas un à chaque coin de rue, surtout dans les zones et les villes plus petites.","Weißt du, hätten wir nicht noch etwas anderes tun können, bei der Überprüfung all der Orte, die verfügbar sein könnten? Natürlich gibt es nicht an jeder Ecke einen, besonders halt in kleineren Gegenden, kleineren Städten.","Sai, c'è qualcos'altro che avremmo potuto fare, sai, nel controllare tutti i posti che potrebbero essere disponibili? Certo, sai, non ce n'è uno ad ogni angolo, specialmente, sai, in aree più piccole, in città più piccole.","Víš, je něco jiného, co jsme mohli udělat při prověřování všech míst, která by mohla být k dispozici? Samozřejmě, že jich není na každém rohu, obzvláště v menších oblastech, v menších městech.",يعني، هل كان بإمكاننا فعل شيء آخر، في بحثنا عن كل الأماكن التي قد تكون متاحة؟ طبعاً، ليس هناك واحد في كل زاوية، خاصةً في المناطق الأصغر والمدن الصغيرة.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",对我家来说，也许最难的一件事就是我奶奶，她不得不被送进养老院。她使用助行器已经有一段时间了，大概有六到九个月。后来她摔了一跤，最终她患上了帕金森病。,"Probablemente lo más difícil para mi familia fue que mi abuela tuvo que ser ingresada en una residencia de ancianos. Ella ya había estado usando un andador por bastante tiempo, probablemente unos seis a nueve meses. Tuvo una caída y, finalmente, se le diagnosticó la enfermedad de Parkinson.","मेरे परिवार में शायद सबसे मुश्किल बात यह थी कि मेरी दादी को नर्सिंग होम में भर्ती करना पड़ा। और, वह लगभग छह से नौ महीने से वॉकर का इस्तेमाल कर रही थीं। और, वह गिर गईं और, अंततः, उन्हें पार्किंसन की बीमारी थी।","Ce qui a été probablement le plus difficile au sein de ma famille, c'est que ma grand-mère a dû être placée en maison de retraite. Elle utilisait un déambulateur depuis un certain temps, probablement depuis six à neuf mois. Puis elle a fait une chute et, finalement, elle avait la maladie de Parkinson.","Wahrscheinlich das Schwerste in, in meiner Familie: Meine Großmutter musste in ein Pflegeheim. Und sie hatte den Rollator schon seit geraumer Zeit benutzt, wahrscheinlich etwa sechs bis neun Monate lang. Und sie ist gestürzt und schließlich hatte sie Parkinson.","Probabilmente la cosa più difficile nella mia famiglia è stata quando mia nonna ha dovuto essere messa in una casa di riposo. Lei usava il deambulatore già da parecchio tempo, probabilmente da circa sei a nove mesi. Poi è caduta e, alla fine, aveva il morbo di Parkinson.","Pravděpodobně nejtěžší věc v mé rodině, moje babička, musela jít do domova pro seniory. Chodítko používala už docela dlouho, asi tak šest až devět měsíců. A pak spadla a nakonec měla Parkinsonovu chorobu.",لعلّ من أصعب الأمور في عائلتي، كان يتعلق بجدتي، حيث اضطررنا لوضعها في دار رعاية المسنين. وكانت قد استخدمت المشاية لفترة لا بأس بها من الوقت، ربما حوالي ستة إلى تسعة أشهر. ثم سقطت، وفي النهاية، تبيّن أنها مصابة بداء باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她在美国各地都有孩子。,"O sea, ella tuvo hijos por todo Estados Unidos.","मेरा मतलब है, उसके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।","Je veux dire, elle avait des enfants partout aux États-Unis.","Ich meine, sie hatte Kinder überall in den Vereinigten Staaten.","Cioè, lei aveva figli in tutti gli Stati Uniti.",Prostě měla děti po celých Spojených státech.,أعني، كانت لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",我的意思是，一个人，她大半辈子，不仅仅是打理一个农场，更是要抚养十个孩子。所有的事情都是她一个人在操持，因为她丈夫在煤矿工作，常年不在家。,"O sea, para alguien que, la mayor parte de su vida, no solo *simplemente* tuvo una granja, sino que tuvo diez hijos, se ocupaba de la granja y lo manejaba todo porque su marido estaba fuera en las minas de carbón.","मेरा मतलब है, किसी ऐसे व्यक्ति के लिए जिसने अपनी ज़िंदगी का ज़्यादातर हिस्सा, न केवल एक खेत चलाया, बल्कि दस बच्चे पाले, खेत का भी सारा काम देखा और सब कुछ संभाला, क्योंकि उनके पति कोयला खदानों में दूर काम करते थे।","Je veux dire, pour quelqu'un qui, pendant la majeure partie de sa vie, non seulement avait une ferme mais aussi dix enfants, et qui gérait tout parce que son mari était absent dans les mines de charbon.","Ich meine, für jemanden, der die meiste Zeit seines Lebens nicht nur einfach einen Bauernhof besaß, sondern zehn Kinder hatte und zugleich den gesamten Hof führte und sich um alles kümmerte, weil ihr Mann im Bergbau war.","Cioè, per una persona che, per la maggior parte della sua vita, non ha solo avuto una fattoria, ma ha avuto dieci figli e ha dovuto gestire tutto, perché suo marito era via nelle miniere di carbone.","Prostě pro někoho, kdo po většinu svého života, víte, neměla jenom farmu, ale s deseti dětmi musela obhospodařovat farmu, a starala se o všechno, protože její manžel byl pryč v uhelných dolech.",أعني، بالنسبة لشخصٍ قضت معظم حياتها، كما تعلم، لم يكن لديها مجرد مزرعة، بل كان لديها عشرة أطفال، وكانت تدير المزرعة وتتولى مسؤولية كل شيء، لأن زوجها كان غائباً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们，所有的兄弟姐妹都聚在一起，而且他们实际上开了一个会。,"Creo que ellos, eh, todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.","मुझे लगता है कि वे, उन्होंने काफी कुछ किया, सभी भाई-बहन इकट्ठे हुए और उन्होंने वास्तव में एक सम्मेलन किया।","Je pense qu'ils, tous les frères et sœurs se sont réunis et ils ont effectivement tenu une conférence.","Ich denke, dass sie – sie hatten viel zu tun – alle Brüder und Schwestern kamen zusammen und hatten tatsächlich eine Konferenz.

(Alternatively, omitting the hesitation for a smoother translation):
Ich denke, dass alle Geschwister zusammenkamen und tatsächlich eine Konferenz abhielten/hatten.","Penso che loro, abbiano avuto un bel po' di... tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente tenuto una conferenza.","Myslím, že se všichni bratři a sestry sešli a vlastně uspořádali konferenci.",أعتقد أن كل الإخوة والأخوات اجتمعوا وعقدوا بالفعل مؤتمرًا.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论是仅仅给钱，还是实际参与到很多决策中，比如说寻找一个合适的养老院。,"Ya sabes, ya sea que fuera solo, sabes, dar dinero o si en realidad era participar mucho en la toma de decisiones, sabes, como encontrar un hogar de ancianos adecuado.","चाहे वो सिर्फ़ पैसे देना हो, या फिर असल में कई सारे फ़ैसलों में हिस्सा लेना हो, जैसे कि एक सही नर्सिंग होम ढूँढना।","Vous savez, que ce soit juste, euh, donner de l'argent, ou que ce soit réellement prendre part à une grande partie des décisions, vous savez, comme trouver une maison de retraite appropriée.","Also, ob es nur darum ging, Geld zu spenden, oder ob man tatsächlich an einem Großteil der Entscheidungsfindung teilgenommen hat, zum Beispiel ein passendes Pflegeheim zu finden.","Sai, sia che si trattasse solo, sai, di dare denaro, sia che si trattasse effettivamente di prendere parte a molte delle decisioni, sai, come trovare una casa di riposo adeguata.","Víte, jestli šlo jen o dávání peněz, anebo jestli to bylo skutečně o podílení se na spoustě rozhodování, třeba jako najít vhodný domov pro seniory.",سواء كان الأمر مجرد تقديم المال، أو كان يتعلق بالمشاركة الفعلية في الكثير من عملية صنع القرار، مثل إيجاد دار رعاية مناسبة.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",嗯，我的意思是，我，我真的，我真心希望，如果发生那样的事情，我的孩子们也能为我做同样的事。,"Pues, pues, quiero decir, yo... yo de verdad deseo que si algo así sucediera, mis hijos harían algo así por mí.","तो, तो, मतलब, मैं, मतलब, मैं, मैं, मैं, मैं सच में चाहता हूँ कि अगर ऐसा कुछ होता, तो मेरे बच्चे मेरे लिए कुछ ऐसा ही करें।","Alors, euh, enfin, je... je... je... je... je souhaite vraiment que si quelque chose comme ça devait arriver, mes enfants fassent une chose pareille pour moi.","So, so, ich meine, ich, ich, ich meine, ich, ich, ich, ich ha-, ich, ich wünschte mir wirklich, dass, wenn so etwas passieren sollte, meine Kinder so etwas für mich tun würden.","Allora, allora, cioè, io... cioè, io... io... io vorrei davvero che, se succedesse qualcosa del genere, i miei figli facessero qualcosa del genere per me.","No, no, chci říct, já... já... já... upřímně si přeji, aby, kdyby se něco takového stalo, aby moje děti udělaly něco takového pro mě.",يعني، أتمنى بصدق لو حدث شيء كهذا، أن يقوم أولادي بشيء مماثل من أجلي.
