file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gemini-2.5-flash,ES_gemini-2.5-flash,HI_gemini-2.5-flash,FR_gemini-2.5-flash,DE_gemini-2.5-flash,IT_gemini-2.5-flash,CZ_gemini-2.5-flash,AR_gemini-2.5-flash
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",嗯，当然，这是你在世界上最不愿意做的事情之一，除非这真的只是，呃，呃，为了他们自己好。,"Bueno, por supuesto, es una de las últimas cosas en el mundo que querrías hacer. A menos que sea realmente, uh, uh por su propio bien.","खैर, ज़ाहिर है, यह दुनिया की उन आखिरी चीज़ों में से एक है जो आप कभी करना चाहेंगे, जब तक कि यह सचमुच उनके अपने भले के लिए न हो।","Bon, bien sûr, c'est l'une des dernières choses au monde que l'on voudrait faire. À moins que ce ne soit juste vraiment, euh, euh pour leur propre bien.","Nun, natürlich ist es eines der letzten Dinge auf der Welt überhaupt, die man am allerwenigsten tun möchte. Es sei denn, es ist einfach wirklich, äh, äh zu ihrem eigenen Wohl.","Certo, è una delle ultime cose al mondo che vorresti mai fare. A meno che non sia davvero, uh, uh per il loro bene.","No, samozřejmě, je to jedna z posledních věcí na světě, co bys kdy chtěl dělat. Ledaže by to bylo prostě opravdu pro jejich vlastní dobro.",بالطبع، إنه أحد آخر الأشياء القليلة في العالم التي قد ترغب في فعلها على الإطلاق، إلا إذا كان ذلك حقاً لمصلحتهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地考察他们。嗯，我们不得不把我妈妈送进了养老院。她大约八个月前得了一次相当严重的中风。,"Estaría muy, muy cuidadoso al revisarlos. Tuve que poner a mi madre en una residencia de ancianos. Tuvo un derrame cerebral bastante masivo hace unos ocho meses.","उनकी जाँच करते समय मुझे बहुत-बहुत सावधान रहना होगा। अह, हमें अपनी माँ को एक नर्सिंग होम में रखना पड़ा। उन्हें करीब आठ महीने पहले एक भीषण स्ट्रोक आया था।","Je ferais très, très attention, euh, en les vérifiant. Euh, notre, j'ai dû placer ma mère dans une maison de retraite. Elle a eu un AVC assez massif, euh, il y a environ huit mois.","Ich wäre sehr, sehr vorsichtig, äh, bei der Begutachtung. Äh, wir mussten meine Mutter in einem Pflegeheim unterbringen. Sie hatte einen ziemlich massiven Schlaganfall, äh, vor ungefähr, äh, acht Monaten.","Sarei molto, molto attento nel valutarli. Abbiamo dovuto mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto massiccio circa otto mesi fa.","Byl bych velmi, velmi opatrný při jejich prověřování. Ehm, museli jsme umístit mou matku do domova důchodců. Dostala poměrně masivní mrtvici, ehm, asi před osmi měsíci.",سأكون حذرًا للغاية عند فحصهم. اضطررنا لوضع والدتي في دار رعاية المسنين. لقد أصيبت بجلطة دماغية كبيرة جدًا، قبل حوالي ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当事情发展到我们必须要做的时候，我做起来觉得很自在。但是，我曾经有一次经历，我的婆婆摔倒了，再也不能照顾自己了，所以她被送到养老院住了一段时间，那真不是一个很好的经历。嗯，这件事必须仓促完成。我们没有像六个月那么长的时间去考察所有这些地方。而且那确实不是一个很好的，呃，结果。,"Así que me sentía muy cómodo al hacerlo cuando llegó el momento en que tuvimos que hacerlo. Pero, bueno, me ocurrió una situación con mi suegra, que se había caído y ya no podía valerse por sí misma, y fue internada en un asilo de ancianos por un tiempo, lo cual no fue una muy buena experiencia. Eh, tuvo que hacerse deprisa. No tuvimos como seis meses para investigar todos esos lugares. Y la verdad es que no fue una muy buena, eh, situación.","तो, मैं इसे करने में बहुत सहज था जब बात उस मुकाम पर आ गई कि हमें इसे करना ही था। लेकिन, असल में, मेरी सास के साथ एक ऐसी स्थिति बनी थी कि वे गिर गई थीं और अब अपनी देखभाल नहीं कर सकती थीं, तो उन्हें कुछ समय के लिए एक नर्सिंग होम में रहना पड़ा था। वह अनुभव वास्तव में बहुत अच्छा नहीं था। अह, यह सब कुछ जल्दी में करना पड़ा था। हमारे पास इन सभी जगहों की जाँच करने के लिए छह महीने जैसा समय नहीं था। और यह वास्तव में बहुत अच्छी बात नहीं थी।","Voici la traduction en français :

Donc, j'étais très à l'aise de le faire quand le moment est venu / quand il a fallu le faire. Mais bon, ma belle-mère est tombée et ne pouvait plus prendre soin d'elle-même. Elle a été placée en maison de retraite pour un temps, et ça n'a vraiment pas été une très bonne expérience. Euh, ça a dû se faire dans l'urgence. On n'avait pas six mois pour visiter tous ces établissements. Et ce n'était vraiment pas un très bon, euh, arrangement.","Also, ich habe mich sehr wohl dabei gefühlt, als es so weit war, dass wir es tun mussten. Aber es gab, nun ja, einen Fall mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte. Sie wurde für eine Weile in ein Pflegeheim eingewiesen, was wirklich keine sehr gute Erfahrung war. Äh, es musste schnell gehen. Wir hatten nicht etwa sechs Monate Zeit, um all diese Heime zu überprüfen. Und es war wirklich keine sehr gute Sache.","Dunque, ero abbastanza tranquillo nel farlo, una volta giunto il momento. Però, mi è capitato con mia suocera: era caduta e non poteva più badare a sé stessa, ed è stata ricoverata per un periodo in una casa di riposo che, in realtà, non è stata affatto una buona esperienza. Eh, doveva essere fatto in fretta. Non avevamo sei mesi per controllare tutti questi posti. E non è stata davvero una buona soluzione.","Takže s tím jsem neměl problém, když už došlo na to, že jsme to museli udělat. Ale, no, měl jsem zkušenost s tchýní, která upadla a už se o sebe nemohla starat, a tak byla na nějakou dobu umístěna do domova pro seniory, což opravdu nebyla moc dobrá zkušenost. Ehm, muselo se to udělat ve spěchu. Neměli jsme třeba šest měsíců na to, abychom všechna ta místa prověřili. A nebyla to opravdu moc dobrá, ehm, záležitost.",لذا، كنتُ مرتاحًا جدًا للقيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا فيها القيام به. لكن، حدث أن حماتي سقطت ولم تعد تستطيع الاعتناء بنفسها، وتم إيداعها في دار لرعاية المسنين لفترة، والتي لم تكن تجربة جيدة إطلاقًا. كان يجب القيام بذلك على عجل، ولم يكن لدينا متسع من الوقت، كستة أشهر، لتفقد كل هذه الأماكن. ولم يكن هذا ترتيبًا جيدًا جدًا حقًا.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",我们在排查所有可能有的地方时，还有没有其他我们可以做的事情？当然，它不可能遍布每个角落，尤其是在较小的区域和城镇。,"¿Pudimos haber hecho algo más al revisar todos los lugares que pudieran estar disponibles? Por supuesto, no hay uno en cada esquina, sobre todo en zonas y pueblos más pequeños.","क्या हम उन सभी संभावित उपलब्ध जगहों की पड़ताल करने के लिए कुछ और कर सकते थे? ज़ाहिर है, हर कोने पर एक नहीं है, ख़ासकर छोटे इलाकों, छोटे कस्बों में।","Aurions-nous pu faire autre chose en vérifiant tous les endroits qui, euh, pourraient être disponibles ? Bien sûr, il n'y en a pas à chaque coin de rue, surtout dans les petites régions, les petites villes.","Hätten wir noch etwas tun können, um all die Orte zu überprüfen, die, äh, verfügbar sein könnten? Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gebieten, kleineren Städten.","C'è qualcos'altro che avremmo potuto fare nel controllare tutti i posti che, uh, potrebbero essere disponibili? Certo, non ce n'è uno su ogni angolo, specialmente nelle aree più piccole, nelle città più piccole.","Mohli jsme udělat něco jiného při prověřování všech míst, která, ehm, by mohla být k dispozici. Samozřejmě, že takové není na každém rohu, zejména v menších oblastech, menších městech.",هل كان بإمكاننا فعل شيء آخر للتحقق من جميع الأماكن التي قد تكون متاحة؟ بالطبع، لا يوجد واحد في كل زاوية، خاصة في المناطق والبلدات الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",嗯，對。可能對我們家來說最難的一件事，就是我奶奶她不得不被送進養老院。她使用助行器已經有一段時間了，大概有六到九個月。然後她摔了一跤，最後呢，她得了帕金森病。,"Ajá. Sí. Probablemente lo más duro en mi familia, eh, mi abuela, tuvo que ser internada en una residencia de ancianos y, ehm, había usado el andador por bastante tiempo, probablemente unos seis o nueve meses. Y, ehm, tuvo una caída y, eh, finalmente, eh, ella tenía la enfermedad de Parkinson,","हाँ। शायद मेरे परिवार के लिए सबसे कठिन बात यह थी कि मेरी दादी को नर्सिंग होम में भर्ती करना पड़ा। और, उम, उन्होंने काफी समय से वॉकर का इस्तेमाल किया था, शायद छह से नौ महीने तक। और, उम, वह गिर गईं और, अह, आखिरकार, उन्हें पार्किंसंस की बीमारी थी,","Hmm hmm. Oui. Probablement la chose la plus difficile dans ma famille, euh, ma grand-mère, elle a dû être placée dans une maison de retraite et, euh, elle utilisait une marchette depuis un certain temps, probablement six à neuf mois. Et, euh, elle a fait une chute et, euh, finalement, euh, elle avait la maladie de Parkinson,","Ja. Wahrscheinlich das Schwerste in meiner Familie: Äh, meine Großmutter, sie musste in ein Pflegeheim gebracht werden. Und ähm, sie hatte den Rollator schon seit einiger Zeit benutzt, wahrscheinlich ungefähr sechs bis neun Monate. Und ähm, sie ist gestürzt und äh, schließlich äh, sie hatte Parkinson.","Mmm-hm. Sì. Probabilmente la cosa più difficile nella mia famiglia, ehm, mia nonna, ha dovuto essere ricoverata in una casa di riposo e, ehm, aveva usato il deambulatore per un bel po' di tempo, probabilmente circa sei-nove mesi. E, ehm, è caduta e, ehm, alla fine, ehm, aveva il morbo di Parkinson,","Ano. Asi nejtěžší věc v naší rodině bylo, když moji babičku museli umístit do domova pro seniory. Už poměrně dlouho, asi šest až devět měsíců, používala chodítko. A pak upadla a nakonec měla Parkinsonovu chorobu,",نعم. ربما أصعب شيء حدث في عائلتي، هو أن جدتي كان لا بد من وضعها في دار رعاية المسنين. وقد كانت تستخدم المشاية لفترة طويلة، ربما لمدة تتراوح بين ستة وتسعة أشهر. ثم سقطت، وأخيرًا، كانت مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她在美国各地都有孩子。,Ella tuvo hijos por todo Estados Unidos.,उसके बच्चे पूरे संयुक्त राज्य अमेरिका में थे।,Elle avait des enfants partout aux États-Unis.,Sie hatte Kinder überall in den Vereinigten Staaten.,Aveva figli in tutti gli Stati Uniti.,Měla děti po celých Spojených státech.,كان لديها أطفالٌ في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",嗯，对于一个在她人生的大部分时间里，不仅仅是有一个农场，而是有了十个孩子，同时还要经营着农场，所有事情都由她操持，因为她丈夫在煤矿里工作。,"Sí. Para alguien que durante la mayor parte de su vida ha, eh, no solo simplemente tenido una granja, sino que, con diez hijos, también tenía que ocuparse de la granja. Llevaba todo porque su marido estaba fuera, en las minas de carbón.","हाँ। किसी ऐसे व्यक्ति के लिए जिसने अपने जीवन का अधिकांश समय न केवल एक खेत ही संभाला, बल्कि दस बच्चों के साथ-साथ खेत की भी पूरी जिम्मेदारी संभाली, सब कुछ चलाया क्योंकि उसका पति कोयला खदानों में दूर रहता था।","Oui. Pour quelqu'un qui, pendant la majeure partie de sa vie, non seulement exploitait une ferme et élevait dix enfants, mais gérait aussi absolument tout, parce que son mari était parti travailler dans les mines de charbon.","Ja. Für jemanden, der fast ihr ganzes Leben lang, äh, nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder und den Hof zu versorgen hatte und alles am Laufen hielt, weil ihr Mann in den Kohleminen war.","Sì. Per qualcuno che per la maggior parte della sua vita non si è limitata ad avere una fattoria, ma ha avuto dieci figli, e mandava avanti la fattoria e si occupava di tutto, perché suo marito era via nelle miniere di carbone.","Jo. Pro někoho, kdo po většinu svého života, ehm, nejenže měla jen farmu, ale měla deset dětí a k tomu i farmu, vedla všechno, protože její manžel byl pryč v uhelných dolech.",نعم. بالنسبة لامرأةٍ، لمعظم حياتها، لم تكن مجرد تملك مزرعة فحسب، بل كان لديها عشرة أطفال، وأدارت كل شيء لأن زوجها كان بعيداً في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得所有的兄弟姐妹都聚到了一起，他们还真的开了一个会议。,Creo que todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.,"मुझे लगता है कि, उम, सभी भाई-बहन इकट्ठे हुए और उन्होंने वास्तव में एक सम्मेलन आयोजित किया।","Je pense qu'ils avaient beaucoup de, euh, tous les frères et sœurs se sont réunis et ils ont en fait tenu une conférence.","Ich denke, dass es ein großes Ereignis war, dass alle Brüder und Schwestern zusammenkamen und sie tatsächlich eine Konferenz abhielten.","Credo che avessero molto da fare, ehm, tutti i fratelli e le sorelle si siano riuniti e abbiano effettivamente tenuto una conferenza.","Myslím, že se všichni bratři a sestry sešli a skutečně uspořádali konferenci.",أعتقد أنهم كان لديهم الكثير، مِمْ، اجتمع جميع الإخوة والأخوات معًا وعقدوا مؤتمرًا بالفعل.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",是仅仅出钱，还是真的参与了许多决策，比如寻找一个合适的养老院。,"Ya fuera solo dar dinero o ya fuera realmente participar en gran parte de la toma de decisiones, como encontrar una residencia de ancianos adecuada.","चाहे वह सिर्फ पैसे देना हो या फिर निर्णय लेने की प्रक्रिया में काफी हद तक हिस्सा लेना हो, जैसे कि एक सही नर्सिंग होम ढूँढना।","Qu'il s'agisse de simplement donner de l'argent ou de prendre réellement part à une grande partie des prises de décision, comme trouver une maison de retraite appropriée.","Ob es nur darum ging, Geld zu geben, oder ob es tatsächlich darum ging, an einem Großteil der Entscheidungsfindung teilzunehmen, wie zum Beispiel bei der Suche nach einem passenden Pflegeheim.","Se si trattasse solo di dare soldi o se si trattasse in realtà di partecipare a molte delle decisioni, come trovare una casa di riposo adeguata.","Ať už šlo jen o dávání peněz, nebo ať už šlo skutečně o účast ve velké míře na rozhodování, jako je například hledání vhodného domova pro seniory.",سواء كان الأمر مجرد تقديم المال، أو المشاركة الفعلية في الكثير من عملية صنع القرار، مثل إيجاد دار رعاية مناسبة للمسنين.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",我真的希望，万一发生那样的情况，我的孩子们会为我那么做。,"Pues, realmente deseo que si algo así sucediera, mis hijos hicieran algo así/lo mismo por mí.","तो, मेरी यह दिली इच्छा है कि अगर ऐसा कुछ हो जाए कि मेरे बच्चे मेरे लिए वैसा ही कुछ करें।","Je souhaite vraiment que si quelque chose comme ça devait arriver, mes enfants fassent la même chose pour moi.","Also, ich wünsche mir wirklich, dass, sollte so etwas passieren, meine Kinder so etwas für mich tun würden.","Vorrei davvero che, se succedesse qualcosa del genere, i miei figli facessero qualcosa del genere per me.","Opravdu si přeji, aby, kdyby se něco takového stalo, mi mé děti udělaly něco takového.",أتمنى بصدق أنه لو حدث شيء كهذا، أن يقوم أولادي بمثل هذا من أجلي.
