file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gpt52,ES_gpt52,HI_gpt52,FR_gpt52,DE_gpt52,IT_gpt52,CZ_gpt52,AR_gpt52
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",当然了，这、这当然是世界上你最不想做的最后几件事之一——除非这真的就是为他们、为他们自己好。,", por supuesto, es, es una de las últimas cosas en el mundo que querrías hacer a menos que sea simplemente realmente y, por su, por su propio bien.","बिल्कुल, यह, यह दुनिया में उन आख़िरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे—जब तक कि यह बस सच में और, उनके, उनके अपने भले के लिए न हो।","Bien sûr, c’est, c’est l’une des toutes dernières choses au monde que tu voudrais jamais faire. À moins que ce ne soit juste vraiment et, pour leur, pour leur propre bien.","Ja, natürlich, es ist, es ist eines der letzten Dinge auf der Welt, die man jemals tun wollen würde, außer wenn es einfach wirklich und, zu ihrem, zu ihrem eigenen Wohl ist.","Certo, è, è una delle ultime cose al mondo che vorresti mai fare, a meno che non sia proprio, ehm, e, per il loro, per il loro bene.","Samozřejmě, je to, je to jedna z posledních věcí na světě, co bys kdy chtěl dělat. Ledaže je to prostě opravdu a, pro jejich, pro jejich vlastní dobro.",طبعًا، إنه، إنه واحد من آخر الأشياء القليلة في العالم اللي ممكن تِبغى تسويها أبدًا، إلا إذا كان بس فعلًا و، ولأجلهم، لأجل مصلحتهم هم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心，而且，去核实一下，我们，曾经有 t-，把我母亲送进养老院。她在大概，大概，八个月前中风得挺严重的。,"Yo sería muy, muy cuidadoso y, al revisarlos, nuestra, ten-... poner a mi madre en un asilo de ancianos. Ella tuvo un derrame cerebral bastante masivo hace, hace, unos ocho meses.","मैं बहुत-बहुत सावधान रहूँगा और, उन्हें देख-परखकर, हम, ह- मेरी माँ को एक नर्सिंग होम में रखेंगे। उन्हें एक काफ़ी बड़ा स्ट्रोक हुआ था, लगभग, लगभग, आठ महीने पहले।","Je ferais très très attention et, en les, en les vérifiant, notre, j’avais t-, placé ma mère dans une maison de retraite. Elle a eu un AVC plutôt massif il y a environ, environ, huit mois.","Ich wäre sehr, sehr vorsichtig und, äh, wenn man sich das anschaut, unser, hat t-, meine Mutter in ein Pflegeheim zu stecken. Sie hatte vor, vor ungefähr acht Monaten einen ziemlich massiven Schlaganfall.","Sarei molto molto prudente e, controllandoli, il nostro, avevo t-, mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto massiccio circa, circa, otto mesi fa.","Byl bych velmi, velmi opatrný a, když si to ověřuju, naše, měl t-, umístit svoji matku do domova pro seniory. Měla docela masivní mrtvici asi, asi, před osmi měsíci.",كنتُ سأكون حذرًا جدًا جدًا و، وأنا أتحقّق منهم، نحن، كان عندي ت-، أضع أمي في دار رعاية للمسنّين. لقد تعرّضت لسكتة دماغية كبيرة نوعًا ما قبل، قبل، حوالي ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当事情到了我们必须做的时候，我做这件事就很从容、很自在。但是，有、我有一次是为了我岳母，她摔倒了，而且需要——已经不能再照顾自己了，于是就被安排在一家养老院里待了一阵子，那真的是、不是一个很好的经历；这件事必须得很匆忙地做。我们没有六个月的时间去把这些地方都一一考察一遍。而且那真的不、不是一个很好的、事儿。,"Así que, me sentía muy cómodo haciéndolo cuando llegó el punto en que teníamos que hacerlo. Pero hay, tuve una ocasión con mi suegra que se había caído y necesitaba que la, ya no podía cuidarse sola, la confinaron en un hogar de ancianos por un tiempo y eso realmente no fue una muy buena experiencia, tuvo que hacerse a la carrera. No teníamos seis meses para revisar todos estos lugares. Y realmente no, no fue un trato muy bueno.","तो, जब बात उस मुकाम तक पहुँची कि हमें ये करना ही था, तब मैं इसे करने में बहुत सहज था। लेकिन, एक, मेरे पास अपनी सास के लिए एक मौका आया, जो गिर गई थीं और उन्हें, अब अपना ख़्याल खुद नहीं रख सकती थीं, उन्हें कुछ समय के लिए एक नर्सिंग होम में रखा गया, और वो सच में बहुत अच्छा अनुभव नहीं था, ये जल्दी-जल्दी में करना पड़ा। हमारे पास छह महीने नहीं थे कि हम इन सारी जगहों को जाँच-परख लें। और ये सच में, इतना, इतना भी अच्छा नहीं था, सौदा।","Donc, j’étais très à l’aise à le faire quand on en est arrivé au point où on devait le faire. Mais il y a, j’ai eu une occasion avec ma belle-mère qui était tombée et qui avait besoin d’être, elle ne pouvait plus s’occuper d’elle-même, elle a été placée dans une maison de retraite pendant un moment, et ça n’a vraiment pas été une très bonne expérience, il a fallu le faire dans l’urgence. On n’avait pas six mois pour aller vérifier tous ces endroits. Et c’était vraiment pas, pas un très bon, truc.","Also, ich habe mich sehr wohl dabei gefühlt, als es zu dem Punkt kam, dass wir es machen mussten. Aber da ist, ich hatte einen Anlass wegen meiner Schwiegermutter, die gestürzt war und gepflegt werden musste, sich nicht mehr selbst versorgen konnte, war für eine Weile in ein Pflegeheim eingewiesen, und das war wirklich keine sehr gute Erfahrung, es musste in Eile gemacht werden. Wir hatten nicht sechs Monate, um uns all diese Orte anzuschauen. Und es war wirklich nicht, nicht ein sehr guter, äh, Deal.","Quindi, ehm, mi sentivo molto a mio agio nel farlo quando si è arrivati al punto che dovevamo farlo. Però c’è, ho avuto un’occasione con mia suocera che era caduta e aveva bisogno di essere, non poteva più prendersi cura di sé stessa, è stata confinata in una casa di cura per un po’, ed è stata davvero non una esperienza molto buona, doveva essere fatto di fretta. Non avevamo sei mesi per controllare tutti questi posti. E non era davvero, non era molto buono, ecco.","Takže jsem s tím byla hodně v pohodě, když to došlo do bodu, že jsme to museli udělat. Ale je, já jsem měla zkušenost s mojí tchyní, která spadla a potřebovala být, už se o sebe nemohla starat, byla na nějakou dobu umístěná v domově pro seniory, a to opravdu nebyla moc dobrá zkušenost, muselo se to udělat narychlo. Neměli jsme šest měsíců na to, abychom všechny tyhle místa obešli a prověřili. A opravdu to nebylo, nebylo to moc dobrý, jako, deal.",لذلك، كنتُ مرتاحًا جدًا في القيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا أن نفعله فيها. لكن هناك، كانت لديّ حالة مع حماتي التي كانت قد سقطت وكانت بحاجة إلى أن، لم تعد تستطيع الاعتناء بنفسها بعد الآن، فكانت محصورة في دار رعاية لفترة من الوقت، وكان ذلك في الحقيقة ليس تجربة جيدة جدًا، وكان لا بدّ من القيام به على عجل. لم يكن لدينا ستة أشهر لنتفقد كل هذه الأماكن. وكان الأمر في الحقيقة ليس، ليس صفقة جيدة جدًا.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",在把所有可能有空位的地方都查看一遍的时候，我们是不是还能做点别的什么呢？当然啦，不可能每个街角都有一个，尤其是在比较小的地区、比较小的城镇。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que, podrían estar disponibles? Por supuesto que no hay uno en cada esquina, especialmente en áreas más pequeñas, pueblos más pequeños.","क्या कुछ और है जो हम कर सकते थे, उह, उन सभी जगहों को चेक करने में जो, शायद उपलब्ध हों। बेशक हर कोने पर तो एक नहीं होता, खासकर छोटे इलाकों में, छोटे शहरों में।","Y a-t-il quelque chose d’autre que nous aurions pu faire en vérifiant tous les endroits qui, euh, pourraient être disponibles. Bien sûr, il n’y en a pas à chaque coin de rue, surtout dans les plus petites zones, les petites villes.","Gibt es noch etwas anderes, das wir hätten tun können, äh, indem wir all die Orte überprüft haben, die, ähm, verfügbar sein könnten. Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","C’è qualcos’altro che avremmo potuto fare nel controllare tutti i posti che, potrebbero essere disponibili. Certo non ce n’è uno a ogni angolo, soprattutto nelle aree più piccole, nelle cittadine più piccole.","Je ještě něco dalšího, co jsme mohli udělat při prověřování všech těch míst, která by, mohla být k dispozici. Samozřejmě není jedno na každém rohu, zvlášť v menších oblastech, menších městech.",هل هناك شيء آخر كان يمكننا أن نفعله في، أم، في التحقّق من كل الأماكن التي، قد تكون متاحة. طبعًا ليس هناك واحد عند كل زاوية، خصوصًا في المناطق الأصغر، البلدات الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",可能在、在我家里，最难的一件事是，我奶奶，她不得不被送进养老院，然后，她用助行器用、用了挺长一段时间，大概有六到九个月吧。然后，她摔了一跤，最后，呃，她得了帕金森病，,"Probablemente la cosa más difícil en, en mi familia, mi abuela, ella tuvo que ser ingresada en un hogar de ancianos y, ella había estado usando el andador por, por bastante tiempo, probablemente como de seis a nueve meses. Y, ella se cayó y, finalmente, ella tenía la enfermedad de Parkinson,","शायद मेरे परिवार में सबसे मुश्किल चीज़, मेरी दादी, उन्हें एक नर्सिंग होम में रखना पड़ा और, वह वॉकर का इस्तेमाल, इस्तेमाल काफ़ी समय से कर रही थीं, शायद करीब छह से नौ महीने। और, वह गिर गईं और, आखिरकार, उन्हें पार्किंसन की बीमारी थी,","Probablement la chose la plus difficile dans, dans ma famille, c’est que ma grand-mère, elle a dû être placée dans une maison de retraite et, elle avait utilisé le déambulateur pendant, pendant assez longtemps, probablement environ six à neuf mois. Et, elle est tombée et, finalement, elle avait la maladie de Parkinson,","Wahrscheinlich das Schwierigste in, in meiner Familie: meine Großmutter, sie musste in ein Pflegeheim gebracht werden und, sie hatte den Rollator schon seit, seit ziemlich langer Zeit benutzt, wahrscheinlich so etwa sechs bis neun Monate. Und, sie ist gestürzt und, schließlich hatte sie Parkinson.","Probabilmente la cosa più difficile nella, nella mia famiglia, mia nonna, lei ha dovuto essere messa in una casa di cura e, lei usava il deambulatore da, da parecchio tempo, probabilmente da circa sei a nove mesi. E, lei è caduta e, finalmente, lei aveva il morbo di Parkinson,","Pravděpodobně nejtěžší věc v, v mojí rodině byla, že moje babička, musela být umístěna do domova pro seniory a, používala chodítko už, už docela dlouhou dobu, pravděpodobně asi šest až devět měsíců. A, upadla a, nakonec, měla Parkinsonovu nemoc,",ربما أصعب شيء في، في عائلتي، جدّتي، كان لازم تنحطّ في دار رعاية، و، كانت تستخدم المشّاية لِـ، لِـ فترة لا بأس بها، على الأرجح حوالي ستة إلى تسعة أشهر. و، تعرّضت لسقطة و، أخيرًا، كان عندها مرض باركنسون،
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她 tr-，她有，她有孩子，遍布美国各地。,"ella tr-, ella tenía, ella tenía hijos por todo Estados Unidos","वो त—, उसके थे, उसके थे बच्चे पूरे संयुक्त राज्य अमेरिका में फैले हुए।","elle tr-, elle avait, elle avait des enfants partout aux États-Unis","sie hat-, sie hatte, sie hatte Kinder überall in den Vereinigten Staaten","lei tr-, lei aveva, lei aveva figli in tutti gli Stati Uniti","ona tr-, ona měla, ona měla děti po celých Spojených státech",هي تـ-، كان لديها، كان لديها أطفال في جميع أنحاء الولايات المتحدة
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",对于一个人来说，呃，她在她人生的大部分时间里都、都，不只是仅仅有个农场，而是有十个孩子、有个农场，什么都在打理，因为她丈夫在外面的煤矿工作。,"Para alguien que, durante la mayor parte de su vida ha, ha, no solo meramente tuvo una granja sino que tuvo diez hijos, tuvo una granja, llevaba todo porque su marido estaba fuera en las minas de carbón.","किसी ऐसे व्यक्ति के लिए जो, अपनी ज़िंदगी के ज़्यादातर हिस्से में, ने, ने, सिर्फ़ यूँ ही एक खेत रखा हो ऐसा नहीं, बल्कि उसके दस बच्चे थे, एक खेत था, और सब कुछ चलाती थी क्योंकि उसका पति कोयले की खदानों में दूर रहता था।","Pour quelqu’un qui est, pendant la majeure partie de sa vie a, a, pas simplement eu une ferme mais a eu dix enfants, avait une ferme, gérait tout parce que son mari était parti dans les mines de charbon.","Für jemanden, der, für den größten Teil ihres Lebens, hat, hat, nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder hatte, einen Bauernhof hatte, alles geführt hat, weil ihr Mann in den Kohleminen weg war.","Per qualcuno che, per la maggior parte della sua vita ha, ha, non solo semplicemente aveva una fattoria ma aveva dieci figli aveva una fattoria, gestiva tutto perché suo marito era via nelle miniere di carbone.","Pro někoho, kdo po většinu svého života, měl, měl, nejenom prostě měl farmu, ale měl deset dětí, měl farmu, řídil všechno, protože její manžel byl pryč v uhelných dolech.",بالنسبة لشخصٍ كان، طوال معظم حياتها كان، كان، لا يقتصر الأمر على أنها كانت تملك مزرعة فحسب، بل كان لديها عشرة أطفال وكان لديها مزرعة، وكانت تدير كل شيء لأن زوجها كان بعيدًا في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们、他们有很多的……所有的兄弟姐妹都聚在一起，他们实际上还开了一个会议。,"Creo que ellos, ellos tenían una gran cantidad de, todos los hermanos y hermanas se reunieron y en realidad tuvieron una conferencia.","मुझे लगता है कि वे, वे लोग बहुत ज़्यादा, सारे भाई-बहन इकट्ठे हुए और उन्होंने सच में एक कॉन्फ़्रेंस की।","Je pense qu’ils, qu’ils ont eu beaucoup de, tous les frères et sœurs se sont réunis et ils ont en fait tenu une conférence.","Ich denke, dass sie, sie eine ganze Menge von, alle Brüder und Schwestern sind zusammengekommen und sie haben tatsächlich eine Konferenz gehabt.","Penso che loro, loro avessero un bel po’ di, tutti i fratelli e le sorelle si sono riuniti e in realtà hanno avuto una conferenza.","Myslím, že oni, oni měli docela hodně, všichni bratři a sestry se sešli a oni vlastně měli konferenci.",أعتقد أنهم، أنهم كان لديهم قدر كبير من، جميع الإخوة والأخوات اجتمعوا معًا وكان لديهم بالفعل مؤتمر.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论那只是给钱，还是其实参与了很多……决策过程，比如说找一家合适的养老院。,"Ya fuera que solo se tratara de dar dinero o que realmente se tratara de participar mucho en la toma de decisiones, como encontrar un hogar de ancianos adecuado.","चाहे वो बस पैसे देना ही था या फिर वो सच में बहुत सारे फ़ैसला करने वाले कामों में हिस्सा ले रहा था, जैसे कि एक सही नर्सिंग होम ढूँढ़ना।","que ce soit juste donner de l’argent ou que ce soit, euh, en fait participer beaucoup, euh, à la prise de décision, comme trouver une maison de retraite appropriée.","Ob es nur darum ging, Geld zu geben, oder ob es tatsächlich darum ging, an einem großen Teil der Entscheidungsfindung teilzunehmen, wie zum Beispiel ein geeignetes Pflegeheim zu finden.","Che si trattasse solo di dare soldi o che si trattasse davvero di prendere parte a molte, delle decisioni, tipo trovare una casa di riposo adatta.","ať už šlo jen o to dávat peníze, nebo ať už šlo o to se fakt podílet na spoustě toho rozhodování, jako třeba najít správný domov pro seniory.",سواء كان الأمر مجرد إعطاء مال أو ما إذا كان في الواقع يشارك في الكثير، من اتخاذ القرارات مثل العثور على دار رعاية مناسبة للمسنّين.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所、所、那、我、我、我、我有点——我、我真的希望，如果那样的事情发生的话，我的孩子们也会为我做点类似那样的事。,"Entonces, entonces, yo, yo, yo, yo ha-, yo, yo de verdad deseo que si algo así llegara a pasar, que mis hijos hicieran algo así, eso, por mí.","तो, तो, यह, मैं, मैं, मैं, मैं ह-र-, मैं, मैं सच में चाहता/चाहती हूँ कि अगर कभी ऐसा कुछ हो जाए तो मेरे बच्चे मेरे लिए भी कुछ ऐसा ही करें।","Donc, donc, je, je, je, je bég-, je, je souhaite vraiment que si quelque chose comme ça devait arriver, mes enfants feraient quelque chose comme ça, ça, pour moi.","Also, also, ich, ich, ich, ich hab-, ich, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas tun würden, also, das für mich.","Quindi, quindi, io, io, io, io bal-, io, io desidero davvero che se dovesse succedere qualcosa del genere, i miei figli farebbero qualcosa del genere, questo per me.","Takže, takže, já, já, já, já jsem za-, já, já si opravdu přeju, že kdyby se něco takového mělo stát, že by moje děti udělaly něco jako, něco takového pro mě.",فـ، فـ، أنا، أنا، أنا، أنا تـ-، أنا، أنا أتمنى حقًا أنه إذا كان سيحدث شيء مثل ذلك، أن يفعل أطفالي شيئًا مثل، ذلك من أجلي.
