file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gpt52,ES_gpt52,HI_gpt52,FR_gpt52,DE_gpt52,IT_gpt52,CZ_gpt52,AR_gpt52
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",嗯，当然了，这大概是这个世界上你最不想做的最后几件事之一——除非这真的是，呃，呃，为了他们自己好。,"Bueno, por supuesto, es una de las últimas cosas en el mundo que querrías hacer jamás, a menos que sea realmente, eh, eh, por su propio bien.","खैर, बेशक, यह दुनिया में उन आख़िरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे—जब तक कि यह बस सच में, उह, उह, उनके अपने भले के लिए न हो।","Eh bien, bien sûr, c’est l’une des toutes dernières choses au monde que tu voudrais faire, à moins que ce soit juste vraiment, euh, euh, pour leur propre bien.","Nun, natürlich ist es eine der letzten Sachen auf der Welt, die man jemals tun wollen würde – es sei denn, es ist einfach wirklich, äh, äh, zu ihrem eigenen Besten.","Beh, certo, è una delle ultime cose al mondo che vorresti mai fare, a meno che non sia proprio, eh, eh per il loro bene.","No, samozřejmě, je to jedna z těch posledních pár věcí na světě, které bys kdy chtěl dělat, pokud to není prostě fakt, uh, uh pro jejich vlastní dobro.",حسنًا، بالطبع، إنها واحدة من آخر الأشياء القليلة في العالم التي قد ترغب يومًا في فعلها، إلا إذا كان الأمر فقط حقًا، آه، آه، لخيرهم هم أنفسهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地去，呃，核实他们。呃，我们，曾经 t-，把我母亲安置在一家养老院。她得过一次相当严重的中风，呃，大概，呃，八个月前。,"Yo sería muy, muy cuidadoso, eh, al revisarlos. Eh, nosotros, tuvimos que p-, poner a mi madre en un asilo de ancianos. Ella tuvo un derrame cerebral bastante masivo, eh, hace como, eh, ocho meses.","मैं उन्हें जाँचते समय बहुत बहुत सावधान रहूँगा, उह। उह, हमारी— ह- मेरी माँ को एक नर्सिंग होम में रखना पड़ा। उन्हें उह, काफ़ी बड़ा स्ट्रोक हुआ था, उह, लगभग उह, आठ महीने पहले।","Je ferais très très attention, euh, en les vérifiant. Euh, nous, on a d-, placé ma mère dans une maison de retraite. Elle a eu un AVC plutôt massif, euh, il y a, euh, environ huit mois.","Ich wäre sehr, sehr vorsichtig, äh, wenn ich sie überprüfe. Äh, unsere, hat t-, meine Mutter in ein Pflegeheim gebracht. Sie hatte einen ziemlich massiven Schlaganfall, äh, vor, äh, ungefähr acht Monaten.","Sarei molto molto prudente, uh, nel controllarli. Uh, noi, avevamo t-, messo mia madre in una casa di cura. Aveva avuto un ictus piuttosto massiccio, uh, circa uh, otto mesi fa.","Byl bych *velmi, velmi* opatrný, uh, když si je prověřujete. Uh, my jsme, měl t-, umístili moji matku do pečovatelského domu. Měla docela masivní mrtvici, uh, asi, uh, před osmi měsíci.",سأكون حذرًا جدًا جدًا، آه، في التحقّق منهم. آه، نحن، كان ل-، وضعنا أمي في دار رعاية للمسنين. لقد أصيبت بسكتة دماغية كبيرة نوعًا ما، آه، قبل، آه، حوالي ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当事情到了我们必须去做的时候，我在做这件事上其实是很自在的。但是呢，嗯，我有过一次经历，是为了我岳母——她摔倒了，已经不能再照顾自己了——就被安排在一家疗养院里住了一阵子，而那真的是一次不太好的经历。呃，这事必须得很匆忙地办。我们不像是有六个月的时间去把这些地方都考察一遍。而且那真的不怎么好，呃，怎么说呢，一桩事儿。,"Entonces, yo me sentía muy cómodo haciéndolo cuando llegó al punto en que tuvimos que hacerlo. Pero hay, bueno, tuve una ocasión con mi suegra que se había caído y ya no podía cuidarse sola, fue ingresada en un asilo por un tiempo y eso realmente no fue una muy buena experiencia. Eh, tuvo que hacerse a las apuradas. No teníamos como seis meses para revisar todos estos lugares. Y realmente no fue un muy buen, eh, trato.","तो, मैं इसे करने में बहुत सहज था जब वह उस बिंदु तक आ गया कि हमें इसे करना ही था। लेकिन है, उhm, मेरे पास अपनी सास के लिए एक मौका/स्थिति आई थी, जो गिर गई थीं और अब अपनी देखभाल खुद नहीं कर सकती थीं, तो उन्हें कुछ समय के लिए एक नर्सिंग होम में सीमित/रखना पड़ा, और वह सच में बहुत अच्छा अनुभव नहीं था। उह, यह सब जल्दी-जल्दी में करना पड़ा। हमारे पास, जैसे, इन सारी जगहों को देखने-परखने के लिए छह महीने नहीं थे। और यह सच में बहुत अच्छा, उह, सौदा/डील नहीं था।","Donc, j’étais très à l’aise pour le faire quand on en est arrivé au point où on devait le faire. Mais il y a, enfin, j’ai eu un cas avec ma belle-mère qui était tombée et ne pouvait plus s’occuper d’elle-même, elle a été placée dans une maison de retraite pendant un moment et ça n’a vraiment pas été une très bonne expérience. Euh, il fallait le faire dans l’urgence. On n’avait pas, genre, six mois pour aller vérifier tous ces endroits. Et ce n’était vraiment pas un très bon, euh, plan.","Also, ich fühlte mich sehr wohl dabei, es zu tun, als es an den Punkt kam, dass wir es tun mussten. Aber da ist, na ja, ich hatte einen Anlass mit meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte, und eine Zeit lang in ein Pflegeheim eingewiesen wurde, was wirklich keine sehr gute Erfahrung war. Äh, es musste in Eile gemacht werden. Wir hatten nicht so, äh, sechs Monate, um all diese Orte zu überprüfen. Und es war wirklich nicht sehr gut, äh, ähm, ja, eine Sache.","Quindi, mi sentivo molto a mio agio nel farlo quando si è arrivati al punto in cui dovevamo farlo. Però c’è, be’, ho avuto un’occasione con mia suocera che era caduta e non poteva più prendersi cura di sé, è stata confinata in una casa di cura per un po’, e quella è stata davvero non un’esperienza molto buona. Uh, doveva essere fatto di fretta. Non avevamo tipo sei mesi per controllare tutti questi posti. E davvero non è stato molto, uh, un buon affare.","Takže jsem s tím byl(a) úplně v pohodě, když to došlo do bodu, že jsme to museli udělat. Ale je, no, měl(a) jsem takovou situaci s mojí tchyní, která spadla a už se o sebe nemohla starat, byla na nějakou dobu umístěná do domova pro seniory, a to opravdu nebyla moc dobrá zkušenost. Uh, muselo se to udělat narychlo. My jsme neměli jako šest měsíců na to, abychom si všechna ta místa prošli a prověřili. A opravdu to nebyla moc dobrá, uh, věc.",لذا، كنتُ مرتاحًا جدًا في القيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا فيها أن نفعله. لكن هناك، حسنًا، كان لديّ موقف مع حماتي التي كانت قد سقطت ولم تعد تستطيع الاعتناء بنفسها بعد الآن، فتم حبسها، يعني، وضعها في دار رعاية لفترة، وكانت تلك حقًا ليست تجربة جيدة جدًا. آه، كان لا بد أن يتم ذلك على عَجَل. لم يكن لدينا، مثل، ستة أشهر لنتفقد كل هذه الأماكن. وكان الأمر حقًا غير جيد، آه، صفقة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",在把所有那些、呃、可能有空的地方都查一遍的时候，我们还能做点别的什么吗？当然也不是每个街角都有一个，尤其是在更小的地区、更小的城镇。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que, eh, podrían estar disponibles? Por supuesto, no hay uno en cada esquina, especialmente en zonas más pequeñas, pueblos más pequeños.","क्या कोई और चीज़ है जो हम कर सकते थे—सारे उन जगहों को चेक करने में जो, uh, शायद उपलब्ध हों। बेशक हर कोने पर एक नहीं होता, खासकर छोटे इलाकों में, छोटे कस्बों में।","Y a-t-il autre chose qu’on aurait pu faire en vérifiant tous les endroits qui, euh, pourraient être disponibles. Bien sûr, il n’y en a pas un à chaque coin de rue, surtout dans les petites zones, les petites villes.","Gibt es noch etwas anderes, das wir hätten tun können, um all die Orte abzuchecken, die, äh, vielleicht verfügbar sein könnten. Natürlich gibt es nicht an jeder Ecke einen, besonders in kleineren Gegenden, kleineren Städten.","C’è qualcos’altro che avremmo potuto fare nel controllare tutti i posti che, eh, potrebbero essere disponibili. Certo non ce n’è uno a ogni angolo, soprattutto nelle zone più piccole, nei paesi più piccoli.","Je ještě něco jiného, co jsme mohli udělat při prověřování všech těch míst, která, ehm, by mohla být k dispozici. Samozřejmě není jedno na každém rohu, zvlášť v menších oblastech, menších městech.",هل كان هناك شيءٌ آخر كان بإمكاننا أن نفعله في التحقّق من كلّ الأماكن التي، آه، قد تكون متاحة. بالطبع ليس هناك واحد في كل زاوية، خصوصًا في المناطق الأصغر، البلدات الأصغر.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",嗯哼。对。可能在我家里最难的一件事，呃，是我奶奶，她不得不被送进养老院，然后，嗯，她用助行器已经有挺长一段时间了，大概有六到九个月。然后，嗯，她摔了一跤，呃，最后，呃，她得了帕金森病，,"Ajá. Sí. Probablemente la cosa más difícil en mi familia, eh, mi abuela, ella tuvo que ser ingresada en un hogar de ancianos y, um, había estado usando el andador durante bastante tiempo, probablemente unos seis a nueve meses. Y, um, se cayó y, eh, finalmente, eh, tenía la enfermedad de Parkinson,","उह-हuh। हाँ। शायद मेरे परिवार में सबसे मुश्किल बात, उह, मेरी दादी, उन्हें एक नर्सिंग होम में रखना पड़ा और, उम, वह काफ़ी कुछ समय से वॉकर इस्तेमाल कर रही थीं, शायद लगभग छह से नौ महीने। और, उम, उन्हें एक बार गिरने की घटना हुई और, उह, आखिरकार, उह, उन्हें पार्किंसन की बीमारी थी,","Euh-huh. Ouais. Probablement la chose la plus difficile dans ma famille, euh, ma grand-mère, elle a dû être placée dans une maison de retraite et, euh, elle avait utilisé un déambulateur pendant pas mal de temps, probablement environ six à neuf mois. Et, euh, elle a fait une chute et, euh, finalement, euh, elle avait la maladie de Parkinson,","Mhm. Ja. Wahrscheinlich das Schwierigste in meiner Familie, äh, meine Großmutter, sie musste in ein Pflegeheim gebracht werden und, ähm, sie hatte schon seit ziemlich langer Zeit den Rollator benutzt, wahrscheinlich so ungefähr sechs bis neun Monate. Und, ähm, sie ist gestürzt und, äh, schließlich, äh, sie hatte Parkinson.","Uh-huh. Sì. Probabilmente la cosa più difficile nella mia famiglia, uh, mia nonna, lei ha dovuto essere messa in una casa di riposo e, um, lei aveva usato il deambulatore per parecchio tempo, probabilmente circa da sei a nove mesi. E, um, è caduta e, uh, finalmente, uh, lei aveva il morbo di Parkinson,","Uh-huh. Jo. Asi nejtěžší věc v mojí rodině, uh, moje babička, ona musela být umístěna do domova pro seniory a, um, používala chodítko už docela dlouhou dobu, asi tak šest až devět měsíců. A, um, spadla a, uh, nakonec, uh, měla Parkinsonovu chorobu,",أمم-هم. نعم. على الأرجح أصعب شيء في عائلتي، آه، جدّتي، كان لازم تنحطّ في دار رعاية، و، أم، كانت تستخدم المشّاية لفترة لا بأس بها، على الأرجح حوالي ستة إلى تسعة أشهر. و، أم، تعرّضت لوقعة، و، آه، وأخيرًا، آه، كان عندها مرض باركنسون،
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她在整个美国各地都有孩子。,"ella tenía hijos por todos, eh, a lo largo de los Estados Unidos","उसके बच्चे पूरे संयुक्त राज्य अमेरिका में, उह, हर जगह थे।",elle avait des enfants partout aux États-Unis,"Sie hatte Kinder, überall in den Vereinigten Staaten.",Lei aveva figli in tutti gli Stati Uniti.,Měla děti po celých Spojených státech.,كان عندها أطفال في، آه، في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",对。对一个人来说，她这一辈子里，呃，不只是仅仅有个农场，而且还，呃，有十个孩子，有个农场，操持着一切，因为她丈夫不在，去煤矿上了。,"Sí. para alguien que durante la mayor parte de su vida ha, eh, no solo simplemente tenido una granja sino que ha tenido diez hijos, ha tenido una granja, llevó todo porque su esposo estaba fuera en las minas de carbón.","हाँ। किसी ऐसे इंसान के लिए, जिसने अपनी ज़िंदगी के ज़्यादातर हिस्से में, uh, सिर्फ़ यूँ ही एक फ़ार्म रखा नहीं था बल्कि उसके दस बच्चे थे, एक फ़ार्म था, और सब कुछ चलाती थी क्योंकि उसका पति कोयले की खदानों में दूर था।","Ouais. Pour quelqu’un qui, pendant la majeure partie de sa vie, euh, n’a pas seulement eu une ferme, mais a eu dix enfants, a eu une ferme, a géré tout, parce que son mari était parti dans les mines de charbon.","Ja. Für jemanden, der die meiste Zeit seines Lebens, äh, nicht einfach nur einen Hof hatte, sondern zehn Kinder hatte, einen Hof hatte, alles geführt hat, weil ihr Mann weg in den Kohleminen war.","Sì. per qualcuno che per la maggior parte della sua vita ha, uh, non solo semplicemente avuto una fattoria ma ha avuto dieci figli ha avuto una fattoria, gestiva tutto perché suo marito era via nelle miniere di carbone.","Jo. Pro někoho, kdo po většinu svého života, eh, nejenom že prostě měl farmu, ale měl deset dětí, měl farmu, řídil všechno, protože její manžel byl pryč v uhelných dolech.",نعم. بالنسبة لشخصٍ قضى معظمَ حياته وقد، آه، لم يكن مجردَ أنه كان لديه مزرعة، بل كان لديه عشرة أطفال، كان لديه مزرعة، وكان يدير كلَّ شيء لأن زوجَها كان بعيدًا في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们有很多，嗯，所有的兄弟姐妹都聚在一起，而且他们实际上开了一个会议。,"Creo que tenían una gran cantidad de, um, todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.","मुझे लगता है कि उनके पास, उम, काफ़ी ज़्यादा था, सारे भाई-बहन साथ में इकट्ठा हुए और उन्होंने सच में एक सम्मेलन किया।","Je pense qu’ils ont eu beaucoup de, euh, tous les frères et sœurs se sont réunis et ils ont en fait eu une conférence.","Ich glaube, dass sie eine ganze Menge, ähm, alle Brüder und Schwestern sind zusammengekommen und sie hatten tatsächlich eine Konferenz.","Penso che avessero un bel po’ di, um, tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente fatto una conferenza.","Myslím, že měli opravdu hodně, ehm, všichni bratři a sestry se dali dohromady a oni vlastně měli konferenci.",أعتقد أنهم كان لديهم قدر كبير من، أم، كل الإخوة والأخوات اجتمعوا معًا وكان لديهم في الواقع مؤتمر.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",不管这只是给钱，还是其实有参与到很多、呃、决策过程里，比如说找一个合适的养老院。,"ya fuera simplemente dar dinero o ya fuera realmente participar mucho en, en la toma de decisiones, como encontrar un asilo de ancianos adecuado.","चाहे वो बस पैसे देना था या फिर वो सच में बहुत सारी, निर्णय लेने वाली चीज़ों में हिस्सा ले रहा था, जैसे कि एक ठीक-सा नर्सिंग होम ढूँढना।","Que ce soit, euh, juste donner de l’argent, ou que ce soit en fait participer beaucoup, euh, à la prise de décision, comme trouver une maison de retraite appropriée.","Ob es nur darum ging, Geld zu geben, oder ob es tatsächlich darum ging, bei vielen, äh, Entscheidungsprozessen mitzumachen, wie zum Beispiel ein geeignetes Pflegeheim zu finden.","Che fosse solo dare soldi o se fosse davvero prendere parte a, a molte delle decisioni, tipo trovare una casa di cura adatta.","ať už to bylo jenom dávání peněz, nebo jestli to bylo vlastně účastnění se hodně, toho rozhodování, jako třeba najít vhodný domov pro seniory.",سواء كان الأمر مجرّد إعطاء مال أو ما إذا كان في الواقع، يعني، المشاركة في كثير من، من اتخاذ القرار مثل إيجاد دار رعاية تمريضية مناسبة.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以，呃，我真的希望如果那样的事情真的发生的话，我的孩子们也会为我做点类似那样的事。,"Entonces, yo, de verdad desearía que si algo así llegara a pasar, que mis hijos hicieran algo como, eso por mí.","तो, ये, मैं सच में चाहता/चाहती हूँ कि अगर ऐसा कुछ हो जाए, तो मेरे बच्चे मेरे लिए भी कुछ ऐसा ही, ऐसा कुछ करें।","Donc, euh, je souhaite vraiment que si quelque chose comme ça devait arriver, mes enfants feraient quelque chose comme, ça pour moi.","Also, äh, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas wie das für mich tun würden.","Quindi, ehm, io davvero vorrei che, se dovesse succedere una cosa del genere, i miei figli facessero qualcosa tipo, del genere per me.","Takže, já, já si opravdu přeju, že kdyby se něco takového mělo stát, že by moje děti udělaly něco jako, tohle pro mě.",لذا، أنا، أتمنى حقًا أنه إذا كان شيءٌ مثل ذلك سيحدث، أن أطفالي سيفعلون شيئًا مثل، ذلك من أجلي.
