file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gpt52,ES_gpt52,HI_gpt52,FR_gpt52,DE_gpt52,IT_gpt52,CZ_gpt52,AR_gpt52
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",嗯，当然了，这、这大概是你在这个世界上最不愿意做的最后几件事之一——除非这真的、呃，是为了他们、呃，为了他们自己好。,"Bueno, claro, es una de las últimas cosas en el mundo que uno querría hacer… a menos que sea realmente y, eh, por su… por su propio bien.","खैर, बेशक, यह दुनिया में उन आख़िरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे—जब तक कि यह सच में, और, उह, उनके—उह—उनके अपने भले के लिए न हो।","Eh bien, bien sûr, c’est l’une des toutes dernières choses au monde que tu voudrais faire, à moins que ce soit vraiment… euh… pour leur bien.","Nun ja, natürlich ist es eine der letzten Sachen auf der Welt, die man jemals tun wollen würde – es sei denn, es ist wirklich nötig und, äh, zu ihrem eigenen Wohl.","Beh, certo, è una delle ultime cose al mondo che vorresti mai fare, a meno che non sia davvero per il loro bene.","No, samozřejmě, je to jedna z posledních věcí na světě, které bys kdy chtěl udělat — ledaže by to bylo opravdu… a, ehm, pro jejich… pro jejich vlastní dobro.",حسنًا، بالطبع، إنه واحد من آخر الأشياء القليلة في العالم التي قد ترغب يومًا في فعلها، إلا إذا كان ذلك ضروريًا حقًا، و... من أجل مصلحتهم هم أنفسهم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地去了解、核实他们。呃，我们曾把我母亲送进一家养老院。她在大约八个月前，呃，发生了一次相当严重的中风。,"Yo tendría muchísimo cuidado y, eh, los revisaría bien. Eh, nosotros tuvimos que, eh, internar a mi madre en un asilo de ancianos. Tuvo un derrame cerebral bastante masivo hace, eh, hace unos ocho meses.","मैं बहुत, बहुत सावधानी बरतूँगा और, उह, उन्हें अच्छी तरह से जाँचूँगा। उह, हमने, उह— मेरी माँ को एक नर्सिंग होम में रखा था। उन्हें, उह, लगभग— लगभग आठ महीने पहले एक काफ़ी बड़ा स्ट्रोक हुआ था।","Je serais très, très prudent et, euh, je les examinerais attentivement. Euh, nous avons dû placer ma mère dans une maison de retraite. Elle a eu un AVC assez massif il y a environ, euh, environ, euh, huit mois.","Ich wäre da sehr, sehr vorsichtig und würde sie, äh, genau überprüfen. Äh, wir mussten meine Mutter in ein Pflegeheim bringen. Sie hatte vor ungefähr, äh, vor etwa, äh, acht Monaten einen ziemlich schweren Schlaganfall.","Sarei molto, molto prudente e, eh, li controllerei. Eh, noi abbiamo dovuto mettere mia madre in una casa di cura. Ha avuto un ictus piuttosto grave circa, eh, circa otto mesi fa.","Byl bych velmi, velmi opatrný a, ehm, pořádně si je prověřil. Ehm, my jsme, ehm, museli umístit moji matku do domova pro seniory. Před asi, ehm, asi osmi měsíci prodělala poměrně masivní mrtvici.",سأكون حذرًا جدًا جدًا، وأتحقّق منها. لقد اضطررنا إلى وضع والدتي في دار رعاية للمسنّين. لقد تعرّضت لسكتة دماغية شديدة قبل نحو ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，等到真的到了必须去做的时候，我做起来其实很从容。不过呢，我有一次是因为我岳母摔倒了，之后就再也没办法照顾自己了，只能在疗养院住了一段时间，而那段经历真的不太好。呃，当时一切都得很匆忙地办，我们也没有像六个月那样的时间去把这些地方都一一考察。结果确实不怎么样，呃，总之那不是一件很好的事。,"Entonces, me sentía muy cómodo haciéndolo cuando llegó el momento de que tuviéramos que hacerlo. Pero, bueno, hubo una ocasión con mi suegra, que se había caído y ya no podía cuidarse sola; la internaron en un asilo de ancianos por un tiempo, y la verdad es que no fue una muy buena experiencia. Eh, hubo que hacerlo a toda prisa. No teníamos, digamos, seis meses para revisar todos esos lugares. Y realmente no fue, no fue un asunto muy bueno.","तो, जब वो समय आया कि हमें यह करना था, तो मैं इसे करने में काफ़ी सहज था। लेकिन, खैर, मेरे साथ एक वाकया हुआ—मेरी सास गिर गई थीं और उन्हें देखभाल की ज़रूरत पड़ गई थी, वे अब अपना ख़याल खुद नहीं रख सकती थीं। उन्हें कुछ समय के लिए नर्सिंग होम में रखा गया, और वह अनुभव वाकई बहुत अच्छा नहीं था। यह सब जल्दबाज़ी में करना पड़ा। हमारे पास ऐसा नहीं था कि छह महीने लेकर हम इन सभी जगहों को जाकर देख-परख सकें। और सच कहूँ तो यह सौदा/व्यवस्था बिल्कुल भी अच्छी नहीं रही।","Alors, j’étais très à l’aise à l’idée de le faire quand on en est arrivé au point où il fallait le faire. Mais il y a… enfin, j’ai eu un cas avec ma belle-mère, qui était tombée et qui avait besoin d’être prise en charge, elle ne pouvait plus s’occuper d’elle-même. Elle a été placée dans une maison de retraite pendant un certain temps, et ça n’a vraiment pas été une très bonne expérience. Euh, il a fallu faire ça dans l’urgence. On n’avait pas, disons, six mois pour aller voir et comparer tous ces établissements. Et ce n’était vraiment pas, pas une très bonne affaire, euh, situation.","Also, ich fühlte mich sehr wohl dabei, als es zu dem Punkt kam, dass wir es tun mussten. Aber dann gab es—nun, ich hatte den Fall meiner Schwiegermutter, die gestürzt war und sich nicht mehr selbst versorgen konnte und deshalb für eine Zeit in einem Pflegeheim untergebracht werden musste. Das war wirklich keine sehr gute Erfahrung. Es musste alles überstürzt passieren; wir hatten nicht etwa sechs Monate Zeit, um all diese Einrichtungen zu prüfen. Und es war wirklich kein gutes—kein sehr gutes—Arrangement.","Quindi, mi sentivo molto a mio agio nel farlo quando si è arrivati al punto in cui dovevamo farlo. Però, beh, ho avuto un caso con mia suocera, che era caduta e aveva bisogno di assistenza: non riusciva più a prendersi cura di sé, ed è stata ricoverata per un po’ in una casa di riposo. È stata davvero un’esperienza non molto positiva. Eh, bisognava farlo in fretta: non avevamo tipo sei mesi per valutare tutte queste strutture. E davvero non è stato un affare molto buono.","Takže jsem se s tím cítil(a) hodně v pohodě, když došlo na to, že to musíme udělat. Ale, no, měl(a) jsem zkušenost se svou tchyní, která upadla a už se o sebe nedokázala postarat, takže byla na nějakou dobu umístěná do pečovatelského domu, a to opravdu nebyla moc dobrá zkušenost. Muselo se to udělat narychlo. Neměli jsme třeba šest měsíců na to, abychom všechna ta zařízení prošli a prověřili. A opravdu to nebyla, nebyla to moc dobrá situace.",لذا كنت مرتاحًا جدًا للقيام بذلك عندما وصل الأمر إلى النقطة التي كان علينا فيها أن نقوم به. لكن، حسنًا، كانت لدي حالة تتعلق بحماتي التي سقطت ولم تعد قادرة على الاعتناء بنفسها، فاضطررنا لإيداعها في دار رعاية لفترة، وكانت تجربة غير جيدة حقًا. كان لا بد من القيام بذلك على عجل؛ لم يكن لدينا مثلًا ستة أشهر لنتفقد كل هذه الأماكن. وكان الأمر في الحقيقة ليس جيدًا، ليس صفقة جيدة.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",在查看所有可能提供服务的地方时，我们还能做些什么吗？当然，并不是每个街角都有这样的地方，尤其是在一些较小的地区、小城镇里。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que, eh, podrían estar disponibles? Claro que no hay uno en cada esquina, especialmente en áreas más pequeñas, pueblos más pequeños.","क्या हम उन सभी जगहों को जाँचते हुए कुछ और कर सकते थे जो, उह, उपलब्ध हो सकती थीं? बेशक, हर कोने पर एक नहीं होता, खासकर छोटे इलाकों में, छोटे कस्बों में।","Y a-t-il autre chose que nous aurions pu faire en vérifiant tous les endroits qui, euh, pourraient être disponibles ? Bien sûr, il n’y en a pas à chaque coin de rue, surtout dans les petites zones, les petites villes.","Gibt es noch etwas anderes, was wir hätten tun können, als all die Orte zu überprüfen, die möglicherweise verfügbar sind? Natürlich gibt es nicht an jeder Ecke einen – besonders nicht in kleineren Gegenden, kleineren Städten.","C’è qualcos’altro che avremmo potuto fare nel controllare tutti i posti che, eh, potrebbero essere disponibili. Certo, non ce n’è uno a ogni angolo, soprattutto nelle zone più piccole, nei paesi più piccoli.","Je ještě něco dalšího, co jsme mohli udělat při prověřování všech míst, která by, ehm, mohla být k dispozici? Samozřejmě není jedno na každém rohu, zvlášť v menších oblastech, menších městech.",هل كان هناك شيءٌ آخر كان بإمكاننا فعله أثناء التحقّق من جميع الأماكن التي، آه، قد تكون متاحة؟ بالطبع لا يوجد واحدٌ في كل زاوية، خاصةً في المناطق الأصغر والبلدات الصغيرة.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",嗯哼。对。可能在我家里最难的一件事是，我奶奶不得不被送进养老院。她用助行器已经有一段时间了，大概六到九个月。后来她摔了一跤，最后……她患有帕金森病。,"Ajá. Sí. Probablemente lo más difícil en mi familia fue que mi abuela tuvo que ser ingresada en un asilo de ancianos y, eh, había estado usando un andador durante bastante tiempo, probablemente entre seis y nueve meses. Y, eh, se cayó y, bueno, finalmente tenía la enfermedad de Parkinson.","हाँ-हाँ। हाँ। शायद मेरे परिवार में सबसे कठिन बात यह थी कि मेरी दादी को एक नर्सिंग होम में रखना पड़ा। और, उम, वह काफी समय से वॉकर का इस्तेमाल कर रही थीं—शायद करीब छह से नौ महीनों तक। और, उम, वह गिर गईं और, आखिरकार, उम, उन्हें पार्किंसन रोग था।","Euh-huh. Oui. Probablement la chose la plus difficile dans ma famille, euh, c’est que ma grand-mère a dû être placée dans une maison de retraite et, euh, elle utilisait un déambulateur depuis, depuis assez longtemps, probablement environ six à neuf mois. Et, euh, elle est tombée et, euh, finalement, euh, elle avait la maladie de Parkinson.","Ja. Mhm. Wahrscheinlich war das Schwierigste in meiner Familie, dass meine Großmutter in ein Pflegeheim gebracht werden musste. Sie hatte schon seit einiger Zeit einen Rollator benutzt, wahrscheinlich etwa sechs bis neun Monate. Und dann ist sie gestürzt, und schließlich hatte sie Parkinson.","Uh-huh. Sì. Probabilmente la cosa più difficile, nella mia famiglia… ehm, mia nonna ha dovuto essere ricoverata in una casa di riposo e, ehm, usava il deambulatore già da parecchio tempo, probabilmente da circa sei a nove mesi. E, ehm, è caduta e, eh, alla fine… ehm, aveva il morbo di Parkinson.","Jo, hm. Jo. Asi nejtěžší věc v mojí rodině byla, že moje babička musela být umístěna do domova pro seniory a už nějakou dobu používala chodítko, asi tak šest až devět měsíců. A pak upadla a nakonec měla Parkinsonovu chorobu.",أها. نعم. ربما كان أصعب شيء في عائلتي هو أن جدتي كان لا بد من إيداعها في دار رعاية. وكانت تستخدم المشّاية منذ فترة ليست بالقصيرة، ربما لمدة تتراوح بين ستة إلى تسعة أشهر. ثم تعرّضت لسقوط، وأخيرًا، كانت مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她——她有——她的孩子遍布美国各地。,"Ella tr-, ella tenía, ella tenía hijos por todo Estados Unidos.","वह— वह थी, उसके बच्चे पूरे संयुक्त राज्य अमेरिका में फैले हुए थे।",Elle avait des enfants partout aux États-Unis.,"Sie tr-, sie hatte, sie hatte Kinder in den gesamten Vereinigten Staaten.","Lei balbettò… lei aveva, lei aveva figli in tutti gli Stati Uniti.","Ona tr-, ona měla, ona měla děti po celých Spojených státech.",هي تـ... كان لديها، كان لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",对一个人来说，她这一辈子大部分时间里，不只是有个农场而已——她有十个孩子，还有一个农场，要把一切都打理好，因为她丈夫去煤矿工作，不在家。,"Sí. Para alguien que, durante la mayor parte de su vida, no solo tuvo una granja, sino que tuvo diez hijos, tenía una granja y se encargaba de todo porque su marido estaba fuera en las minas de carbón.","हाँ। किसी ऐसे व्यक्ति के लिए, जिसने अपनी ज़िंदगी के ज़्यादातर हिस्से में—सिर्फ़ एक खेत ही नहीं रखा, बल्कि दस बच्चों को पाला—खेत संभाला और सब कुछ चलाया, क्योंकि उसका पति कोयले की खदानों में दूर रहता था।","Oui. Pour quelqu’un qui, pendant la majeure partie de sa vie, a, a, euh… non seulement eu une ferme, mais a eu dix enfants, avait une ferme, gérait tout, parce que son mari était parti travailler dans les mines de charbon.","Ja. Für jemanden, der die meiste Zeit seines Lebens nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder hatte, einen Bauernhof führte und alles am Laufen hielt, weil ihr Mann in den Kohleminen war.","Sì. Per una persona che, per la maggior parte della sua vita, ha avuto—ehm—non semplicemente una fattoria, ma anche dieci figli; aveva una fattoria e mandava avanti tutto perché suo marito era via nelle miniere di carbone.","Jo. Pro někoho, kdo po většinu svého života — kdo měl, ehm, nejenom farmu, ale měl deset dětí — měl farmu a řídil úplně všechno, protože její manžel byl pryč v uhelných dolech.",نعم. بالنسبة لشخصٍ قضى معظم حياته، كان، كان، آه، ليس فقط لديه مزرعة فحسب، بل كان لديه عشرة أطفال ومزرعة، وكان يدير كل شيء لأن زوجها كان بعيدًا يعمل في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们，他们做了很多事情，嗯，所有的兄弟姐妹都聚在一起，实际上还开了一个会议。,"Creo que ellos, ellos tuvieron una gran reunión, eh, todos los hermanos y hermanas se reunieron y de hecho tuvieron una conferencia.","मुझे लगता है कि उन्होंने, उन्होंने काफ़ी हद तक, उह, सारे भाई-बहन एक साथ इकट्ठा हुए और उन्होंने वास्तव में एक सम्मेलन किया।",Je pense qu’ils avaient beaucoup de… euh… tous les frères et sœurs se sont réunis et ils ont même organisé une conférence.,"Ich glaube, dass sie, sie hatten eine ganze Menge, ähm, alle Brüder und Schwestern kamen zusammen, und sie hatten tatsächlich eine Konferenz.",Penso che loro avessero parecchio… ehm… tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente tenuto una conferenza.,"Myslím, že oni měli opravdu hodně… ehm… všichni bratři a sestry se sešli a skutečně uspořádali konferenci.",أعتقد أنهم كانوا يمتلكون قدرًا كبيرًا من، أم، لقد اجتمع جميع الإخوة والأخوات معًا، وعقدوا في الواقع مؤتمرًا.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",不管只是出钱，还是实际上参与了很多决策，比如帮忙找到一家合适的护理院。,"Ya fuera simplemente dar dinero o participar de verdad en muchas de las decisiones, como encontrar un hogar de ancianos adecuado.",चाहे वह सिर्फ पैसे देने तक सीमित था या फिर कई फैसले लेने में वास्तव में सक्रिय रूप से भाग लेना था—जैसे कि एक उपयुक्त नर्सिंग होम ढूँढना।,"Que ce soit simplement donner de l’argent ou bien participer réellement à de nombreuses décisions, comme trouver une maison de retraite adaptée.","Ob es nur darum ging, Geld zu geben, oder ob es tatsächlich darum ging, stark an vielen Entscheidungen beteiligt zu sein, zum Beispiel ein geeignetes Pflegeheim zu finden.","Che si trattasse semplicemente di dare dei soldi oppure di partecipare davvero molto al processo decisionale, per esempio trovare una casa di cura adatta.","Ať už šlo jen o poskytnutí peněz, nebo o skutečné zapojení do velké části rozhodování, například při hledání vhodného pečovatelského domu.",سواء كان الأمر مجرد تقديم المال، أو كان في الواقع المشاركة بشكل كبير في اتخاذ الكثير من القرارات، مثل العثور على دار رعاية مناسبة للمسنين.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以，所以，我，我，我，我本来想说——我，我真心希望，如果真的发生那样的事情，我的孩子们也会为我做类似的事。,"Entonces, entonces, yo, yo, yo, yo… yo real-… yo de verdad desearía que, si algo así llegara a pasar, mis hijos hicieran algo así por mí.","तो, तो, यह, मैं, मैं, मैं, मैं— मैं ह-…, मैं, मैं सचमुच चाहता/चाहती हूँ कि अगर कभी ऐसा कुछ हो जाए, तो मेरे बच्चे मेरे लिए भी कुछ ऐसा ही करें।","Alors, alors, je, je, je… je souhai­te vraiment que, si quelque chose comme ça devait arriver, mes enfants feraient quelque chose comme ça pour moi.","Also, also, ich, ich, ich, ich ha-, ich, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas für mich tun würden.","Quindi, quindi, io, io, io, io ba— io, io desidero davvero che, se dovesse succedere una cosa del genere, i miei figli facciano qualcosa del genere per me.","Takže, takže já, já, já, já, já bych si oprav-, já, já si opravdu přeju, že kdyby se něco takového stalo, tak by pro mě moje děti udělaly něco podobného.",إذًا، إذًا، أنا، أنا، أنا، أنا— أنا، أنا أتمنى حقًا أنه إذا حدث شيء كهذا، أن يفعل أطفالي شيئًا مثل ذلك من أجلي.
