file,speaker,turn,text_fluent,text_disfluent,keep,edited_count,intj_count,prn_count,edited_nodes_only,intj_only,prn_only,edited_intj,intj_prn,edited_prn,edited_prn_intj,ZH_gpt52,ES_gpt52,HI_gpt52,FR_gpt52,DE_gpt52,IT_gpt52,CZ_gpt52,AR_gpt52
sw2005,B,2,"of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, for their own good.","_Well_, of course, _it_ _'s_ _, _ _you_ _know_ _, _ it's one of the last few things in the world you'd ever want to do _, _ _you_ _know_ _. _ Unless it's just _, _ _you_ _know_ _, _ really _, _ _you_ _know_ _, _ _and_, _uh_, _for_ _their_ _, _ _uh_ _, _ _you_ _know_ _, _ for their own good.",True,3,3,5,", of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, for their, for their own good.","Well, of course, it's one of the last few things in the world you'd ever want to do Unless it's just really, uh, uh for their own good.",", of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, you know, for their own good.","Well, of course, it's, it's one of the last few things in the world you'd ever want to do Unless it's just really and, uh, for their, uh for their own good.","Well, of course, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, uh, uh, you know, for their own good.",", of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, for their, you know, for their own good.","Well, of course, it's, you know, it's one of the last few things in the world you'd ever want to do, you know. Unless it's just, you know, really, you know, and, uh, for their, uh, you know, for their own good.",嗯，当然，这是你在这个世界上最不愿意做的几件事之一——除非这真的，呃，呃，是为了他们自己好。,"Bueno, claro, es una de las últimas cosas en el mundo que uno querría hacer, a menos que sea, eh, eh, realmente por su propio bien.","खैर, बेशक, यह दुनिया में उन आख़िरी कुछ चीज़ों में से एक है जो आप कभी करना चाहेंगे—जब तक कि यह सच में, उह, उह, उनके अपने भले के लिए ही न हो।","Eh bien, bien sûr, c’est l’une des toutes dernières choses au monde que vous voudriez faire — à moins que ce ne soit vraiment, euh… euh… pour leur bien.","Nun, natürlich ist das eines der letzten Dinge auf der Welt, die man jemals tun möchte – es sei denn, es ist wirklich, äh, äh, zu ihrem eigenen Wohl.","Be’, certo, è una delle ultime cose al mondo che vorresti mai fare, a meno che non sia davvero, eh, eh, per il loro bene.","No, samozřejmě, je to jedna z posledních věcí na světě, které bys kdy chtěl udělat — ledaže by to bylo opravdu, ehm, ehm, pro jejich vlastní dobro.",حسنًا، بالطبع، هذا أحد آخر الأشياء القليلة في العالم التي قد ترغب يومًا في فعلها، إلا إذا كان ذلك فعلًا، آه، آه، من أجل مصلحتهم هم.
sw2005,B,4,"I'd be very very careful checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago.","I'd be very very careful _and_ _, _ _uh_ _, _ _you_ _know_ _, _ checking them out. _Uh_, our, had t-, place my mother in a nursing home. She had a rather massive stroke _about_ _, _ _uh_, about _uh_, eight months ago _I_ _guess_.",True,2,4,2,"I'd be very very careful and, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago.","I'd be very very careful uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago.","I'd be very very careful, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke, about, eight months ago I guess.","I'd be very very careful and, uh checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago.","I'd be very very careful uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke uh, about uh, eight months ago I guess.","I'd be very very careful and, you know, checking them out, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, about, eight months ago I guess.","I'd be very very careful and, uh, you know, checking them out. Uh, our, had t-, place my mother in a nursing home. She had a rather massive stroke about, uh, about uh, eight months ago I guess.",我会非常非常小心地去核实、了解他们。呃，我们曾经把我母亲安置在一家护理院。她在大约八个月前，呃，经历了一次相当严重的中风。,"Yo tendría mucho, mucho cuidado al investigarlos. Nosotros tuvimos que poner a mi madre en un hogar de ancianos. Ella sufrió un derrame cerebral bastante masivo hace unos ocho meses.","मैं उन्हें जाँचने में बहुत, बहुत सावधानी बरतूँगा। हम— हमने अपनी माँ को एक नर्सिंग होम में रखा था। उन्हें लगभग आठ महीने पहले काफ़ी बड़ा स्ट्रोक हुआ था।","Je serais très, très prudent en les examinant. Nous avons dû placer ma mère dans une maison de retraite. Elle a eu un AVC assez massif il y a environ huit mois.","Ich wäre sehr, sehr vorsichtig, wenn ich sie mir genauer ansehen würde. Äh, wir mussten meine Mutter in ein Pflegeheim bringen. Sie hatte vor etwa acht Monaten einen ziemlich schweren Schlaganfall.","Sarei molto, molto prudente nel valutarli. Noi abbiamo dovuto mettere mia madre in una casa di riposo. Ha avuto un ictus piuttosto grave, circa otto mesi fa.","Byl bych opravdu, opravdu opatrný při jejich prověřování. My jsme museli umístit mou matku do domova pro seniory. Asi před osmi měsíci prodělala poměrně masivní mrtvici.",سأكون حذرًا جدًا جدًا في التحقق منها. نحن اضطررنا إلى وضع والدتي في دار رعاية للمسنين. لقد أصيبت بسكتة دماغية كبيرة نوعًا ما قبل حوالي ثمانية أشهر.
sw2005,B,8,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable _, _ _you_ _know_ _, _ in doing it when it got to the point that we had to do it. But there's, _well_, I had an occasion for my mother-in-law who had fell and _needed_ _to_ _be_ _, _ _you_ _know_ _, _ could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. _Uh_, it had to be done in a hurry. _I_ _mean_ _, _ we didn't have _, _ _you_ _know_ _, _ _like_ six months to check all of these places out. And it was really _not_ _, _ not very good, _uh_, deal.",True,2,4,4,"So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. we didn't have six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not very good, deal.","So, I was very comfortable in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. we didn't have like six months to check all of these places out. And it was really not, not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not very good, uh, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience, it had to be done in a hurry. I mean, we didn't have, you know, six months to check all of these places out. And it was really not, not very good, deal.","So, I was very comfortable, you know, in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my mother-in-law who had fell and needed to be, you know, could not take care of herself anymore, was confined to a nursing home for a while that was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all of these places out. And it was really not, not very good, uh, deal.",所以，当事情发展到我们必须去做的时候，我做起来其实很从容。不过呢，我有一次是因为我岳母摔倒了，之后就再也没法照顾自己，于是被送到了一家养老院住了一段时间——那段经历真的不太好。呃，当时必须很匆忙地处理，我们没有那种六个月的时间去把这些地方都仔细考察一遍。结果真的不怎么样，呃，说到底这事儿处理得很不理想。,"Así que me sentía muy cómodo haciéndolo cuando llegó el momento en que tuvimos que hacerlo. Pero, bueno, tuve una situación con mi suegra, que se había caído y ya no podía cuidarse sola; la internaron en un hogar de ancianos por un tiempo y realmente no fue una experiencia muy buena. Eh, tuvo que hacerse con prisa. No teníamos, como, seis meses para investigar todos esos lugares. Y la verdad es que no fue un buen trato.","तो, जब बात यहाँ तक पहुँची कि हमें यह करना ही था, तो मैं इसे करने में बहुत सहज था। लेकिन, खैर, एक बार मेरी सास के साथ ऐसा हुआ कि वे गिर गईं और फिर अपनी देखभाल खुद नहीं कर पाईं। उन्हें कुछ समय के लिए एक नर्सिंग होम में रखना पड़ा, और वह अनुभव वाकई बहुत अच्छा नहीं था। यह सब जल्दी-जल्दी करना पड़ा। हमारे पास ऐसा नहीं था कि छह महीने लेकर इन सारी जगहों को अच्छे से देखकर चुनते। और सच में, वह कोई बहुत अच्छा सौदा/अनुभव नहीं था।","Donc, j’étais très à l’aise à l’idée de le faire quand le moment est venu où il a fallu le faire. Mais il y a… eh bien, j’ai eu une situation avec ma belle-mère : elle était tombée et ne pouvait plus s’occuper d’elle-même, et elle a été placée en maison de retraite pendant un certain temps, ce qui n’a vraiment pas été une très bonne expérience. Euh, il a fallu faire ça dans l’urgence. On n’avait pas, disons, six mois pour aller visiter et évaluer tous ces endroits. Et ça ne s’est vraiment pas très bien passé, euh, comme solution.","Also, ich fühlte mich eigentlich sehr wohl damit, als es so weit war, dass wir es tun mussten. Aber es gab da, na ja, einen Anlass: Meine Schwiegermutter war gestürzt und konnte sich nicht mehr selbst versorgen und war eine Zeit lang in einem Pflegeheim untergebracht – das war wirklich keine besonders gute Erfahrung. Äh, das musste alles sehr schnell gehen. Wir hatten nicht etwa sechs Monate Zeit, um uns all diese Einrichtungen anzusehen. Und es war wirklich keine besonders gute Sache.","Quindi mi sentivo molto a mio agio nel farlo quando è arrivato il momento in cui dovevamo farlo. Però c’è… beh, mi è capitata una situazione con mia suocera, che era caduta e non riusciva più a prendersi cura di sé; è stata ricoverata in una casa di riposo per un po’, ed è stata davvero un’esperienza non molto positiva. Eh, bisognava farlo in fretta: non avevamo tipo sei mesi per andare a vedere e valutare tutti questi posti. E davvero non è stata una gran cosa.","Takže jsem s tím byl docela smířený ve chvíli, kdy došlo na to, že to musíme udělat. Ale měl jsem zkušenost se svou tchyní, která upadla a už se o sebe nedokázala postarat, takže byla na nějakou dobu umístěna do domova pro seniory, a to opravdu nebyla moc dobrá zkušenost. Muselo se to zařídit narychlo. Neměli jsme třeba půl roku na to, abychom si všechna ta zařízení obešli a prověřili. A opravdu to nebyla moc dobrá situace.",لذا، كنت مرتاحًا جدًا للقيام بذلك عندما وصلنا إلى النقطة التي كان علينا فيها أن نفعله. لكن هناك... حسنًا، حدثت مناسبة لحماتي التي سقطت ولم تعد قادرة على الاعتناء بنفسها، فتم إيداعها في دار رعاية لفترة، وكانت تجربة غير جيدة حقًا. كان لا بد من القيام بذلك على عجل؛ لم يكن لدينا مثلًا ستة أشهر لنتفقد كل هذه الأماكن. وكان الأمر في الحقيقة صفقة غير جيدة إطلاقًا.
sw2005,B,14,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","_You_ _know_ _, _ is there something else we could have done _, _ _you_ _know_ _, _ in checking out all the places that, _uh_, might be available. Of course _, _ _you_ _know_ _, _ there's not one on every corner, especially _, _ _you_ _know_ _, _ smaller areas, smaller towns.",True,0,1,4,"is there something else we could have done in checking out all the places that, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","is there something else we could have done in checking out all the places that, uh, might be available. Of course there's not one on every corner, especially smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.","You know, is there something else we could have done, you know, in checking out all the places that, uh, might be available. Of course, you know, there's not one on every corner, especially, you know, smaller areas, smaller towns.",在查看所有那些可能可用的地点时，我们还能做些什么吗？当然，不是每个街角都有一个，尤其是在较小的地区、较小的城镇。,"¿Hay algo más que podríamos haber hecho al revisar todos los lugares que, eh, podrían estar disponibles? Por supuesto, no hay uno en cada esquina, especialmente en zonas más pequeñas, pueblos más pequeños.","क्या ऐसा कुछ और है जो हम कर सकते थे—यानी उन सभी जगहों की जाँच करते समय जो, अह, उपलब्ध हो सकती थीं? बेशक हर कोने पर एक नहीं होता, खासकर छोटे इलाकों में, छोटे कस्बों में।","Y avait-il autre chose que nous aurions pu faire en vérifiant tous les endroits qui, euh, pourraient être disponibles ? Bien sûr, il n’y en a pas à chaque coin de rue, surtout dans les zones plus petites, les petites villes.","Gibt es noch etwas anderes, das wir hätten tun können, als all die Orte zu überprüfen, die möglicherweise verfügbar sind? Natürlich gibt es nicht an jeder Ecke einen – vor allem in kleineren Gegenden, kleineren Städten.","C’è qualcos’altro che avremmo potuto fare, nel controllare tutti i posti che, eh, potrebbero essere disponibili. Certo, non ce n’è uno a ogni angolo, soprattutto nelle zone più piccole, nei paesi più piccoli.","Je ještě něco, co jsme mohli udělat při prohlížení všech míst, která by mohla být k dispozici? Samozřejmě není jedno na každém rohu, zvlášť v menších oblastech, menších městech.",هل كان هناك شيءٌ آخر كان بإمكاننا فعله أثناء التحقّق من جميع الأماكن التي، آه، قد تكون متاحة؟ بالطبع لا يوجد واحدٌ في كل زاوية، خصوصًا في المناطق الأصغر والبلدات الصغيرة.
sw2005,A,19,"Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","_Uh-huh_ _. _ _Yeah_ _. _ Probably the hardest thing _in_ _, _ in my family, _uh_, my grandmother, she had to be put in a nursing home and, _um_, she had used the walker _for_ _, _ for quite some time, probably about six to nine months. And, _um_, she had a fall and, _uh_, finally, _uh_, she had Parkinson's disease,",True,2,7,0,"Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,","Probably the hardest thing in, in my family, my grandmother, she had to be put in a nursing home and, she had used the walker for, for quite some time, probably about six to nine months. And, she had a fall and, finally, she had Parkinson's disease,","Uh-huh. Yeah. Probably the hardest thing in, in my family, uh, my grandmother, she had to be put in a nursing home and, um, she had used the walker for, for quite some time, probably about six to nine months. And, um, she had a fall and, uh, finally, uh, she had Parkinson's disease,",嗯哼。对。可能在我家里最难的一件事是，我祖母不得不被送进养老院，而且她用助行器已经有一段时间了，大概六到九个月。然后，她摔了一跤，最后她还患上了帕金森病。,"Ajá. Sí. Probablemente lo más difícil en mi familia fue que mi abuela tuvo que ser ingresada en una residencia de ancianos y, eh, había estado usando un andador durante bastante tiempo, probablemente entre seis y nueve meses. Y, eh, se cayó y, eh, finalmente, eh, tenía la enfermedad de Parkinson.","हाँ-हाँ। हाँ। शायद मेरे परिवार में सबसे मुश्किल बात यह थी कि मेरी दादी को नर्सिंग होम में रखना पड़ा और, उह, वह काफी समय से वॉकर इस्तेमाल कर रही थीं, शायद करीब छह से नौ महीने। और, उह, वह गिर गईं और, उह, आखिरकार, उह, उन्हें पार्किंसन रोग था।","Euh-huh. Oui. Probablement la chose la plus difficile dans ma famille, euh… ma grand-mère a dû être placée dans une maison de retraite et, euh… elle utilisait un déambulateur depuis assez longtemps, probablement depuis environ six à neuf mois. Et, euh… elle a fait une chute et, euh… finalement, euh… elle avait la maladie de Parkinson.","Ja. Mhm. Wahrscheinlich das Schwierigste in meiner Familie war, dass meine Großmutter in ein Pflegeheim gebracht werden musste. Sie hatte schon seit einiger Zeit einen Rollator benutzt, wahrscheinlich etwa sechs bis neun Monate. Und dann ist sie gestürzt, und schließlich hatte sie Parkinson.","Uh-huh. Sì. Probabilmente la cosa più difficile nella mia famiglia è stata che mia nonna ha dovuto essere trasferita in una casa di riposo e, ehm, usava il deambulatore già da parecchio tempo, probabilmente da circa sei a nove mesi. E, ehm, è caduta e, eh, alla fine, eh, aveva il morbo di Parkinson.","Uh-huh. Jo. Asi nejtěžší věc v mojí rodině byla, že moje babička musela být umístěna do domova pro seniory a, ehm, už nějakou dobu používala chodítko, asi tak šest až devět měsíců. A, ehm, upadla a, ehm, nakonec, ehm, měla Parkinsonovu chorobu.",آه-ها. نعم. ربما كان أصعب شيء في عائلتي هو أن جدّتي كان لا بدّ من إدخالها إلى دار رعاية، وكانت تستخدم المشّاية منذ فترة طويلة، ربما حوالي ستة إلى تسعة أشهر. ثم تعرّضت لسقوط، وأخيرًا كانت مصابة بمرض باركنسون.
sw2005,A,29,she had children all across the United States,"_I_ _mean_ _, _ _she_ _tr-_ _, _ _she_ _had_ _, _ she had children all across the United States",True,2,0,1,"she tr-, she had, she had children all across the United States",she had children all across the United States,"I mean, she had children all across the United States","she tr-, she had, she had children all across the United States","I mean, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States","I mean, she tr-, she had, she had children all across the United States",她在美国各地都有孩子。,Ella tenía hijos por todo Estados Unidos.,उसके बच्चे पूरे संयुक्त राज्य अमेरिका में फैले हुए थे।,Elle avait des enfants partout aux États-Unis.,Sie hatte Kinder überall in den Vereinigten Staaten.,Lei aveva figli in tutti gli Stati Uniti.,Měla děti po celých Spojených státech.,كان لديها أطفال في جميع أنحاء الولايات المتحدة.
sw2005,A,37,"for somebody who for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","_Yeah_ _. _ _I_ _mean_ _, _ for somebody who _is_ _, _ _you_ _know_ _, _ for most of their life _has_ _, _ has, _uh_, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",True,2,2,2,"for somebody who is, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who you know, for most of their life has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. for somebody who is, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who you know, for most of their life has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","I mean, for somebody who is, you know, for most of their life has, has, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.","Yeah. I mean, for somebody who is, you know, for most of their life has, has, uh, not just merely had a farm but had ten children had a farm, ran everything because her husband was away in the coal mines.",是的。对一个几乎一辈子都——呃——不只是单纯有个农场，而是养育了十个孩子、经营着一个农场、并且因为她丈夫在煤矿工作不在家而把一切都打理起来的人来说。,"Sí. Para alguien que durante la mayor parte de su vida, eh, no solo tuvo una granja, sino que tuvo diez hijos, tuvo una granja y se encargó de todo porque su marido estaba fuera trabajando en las minas de carbón.","हाँ। किसी ऐसे व्यक्ति के लिए, जिसने अपनी ज़िंदगी के ज़्यादातर हिस्से में, उह, सिर्फ़ एक खेत ही नहीं संभाला, बल्कि दस बच्चों के साथ खेत संभाला—सब कुछ चलाया, क्योंकि उसका पति कोयले की खदानों में दूर रहता था।","Oui. Pour quelqu’un qui, pendant la plus grande partie de sa vie, euh, n’a pas simplement eu une ferme, mais a eu dix enfants, avait une ferme, gérait tout parce que son mari était absent, à travailler dans les mines de charbon.","Ja. Für jemanden, der die meiste Zeit seines Lebens nicht nur einfach einen Bauernhof hatte, sondern zehn Kinder hatte und einen Bauernhof, und alles geleitet hat, weil ihr Mann in den Kohleminen weg war.","Sì. Per qualcuno che, per la maggior parte della sua vita, non si è limitato ad avere una fattoria, ma ha avuto dieci figli, ha mandato avanti una fattoria, ha gestito tutto perché suo marito era via nelle miniere di carbone.","Jo. Pro někoho, kdo po většinu svého života, ehm, nejenže měl farmu, ale měl deset dětí, měl farmu a řídil úplně všechno, protože její manžel byl pryč v uhelných dolech.",نعم. بالنسبة لشخص قضى معظم حياته، آه، لا يملك مجرد مزرعة فحسب، بل لديه عشرة أطفال أيضًا، وكانت تدير المزرعة وكل شيء لأن زوجها كان بعيدًا يعمل في مناجم الفحم.
sw2005,A,47,"I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that _they_ _, _ they had a great deal of, _um_, all the brothers and sisters got together and they actually had a conference.",True,1,1,0,"I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, all the brothers and sisters got together and they actually had a conference.","I think that they, they had a great deal of, um, all the brothers and sisters got together and they actually had a conference.",我觉得他们举办了一个规模很大的……嗯……所有兄弟姐妹都聚在一起，他们实际上还开了个会议。,"Creo que tenían mucho de, eh, todos los hermanos y hermanas se reunieron y en realidad tuvieron una conferencia.","मुझे लगता है कि उनके पास बहुत कुछ था, उह, सभी भाई-बहन साथ इकट्ठे हुए और उन्होंने वास्तव में एक सम्मेलन किया।",Je pense qu’ils avaient beaucoup de… euh… tous les frères et sœurs se sont réunis et ils ont en fait tenu une conférence.,"Ich denke, dass sie eine ganze Menge, ähm, hatten – alle Brüder und Schwestern kamen zusammen und sie hatten tatsächlich eine Konferenz.",Penso che abbiano avuto un bel po’ di… ehm… tutti i fratelli e le sorelle si sono riuniti e hanno effettivamente tenuto una conferenza.,"Myslím, že toho měli hodně… ehm… všichni bratři a sestry se sešli a skutečně měli konferenci.",أعتقد أنهم كانوا لديهم قدر كبير من، أم، أن جميع الإخوة والأخوات اجتمعوا معًا وقد عقدوا بالفعل مؤتمرًا.
sw2005,A,55,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","_You_ _know_ _, _ whether it was just _, _ _you_ _know_ _, _ giving money or whether it was actually taking part in a lot, of the decision making _, _ _you_ _know_ _, _ like finding a proper nursing home.",True,0,0,3,"whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","whether it was just giving money or whether it was actually taking part in a lot, of the decision making like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.","You know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like finding a proper nursing home.",无论只是出钱，还是实际上参与很多决策，比如寻找合适的养老院。,"Ya fuera simplemente dar dinero o participar realmente en gran parte de la toma de decisiones, como encontrar una residencia de ancianos adecuada.",चाहे वह सिर्फ़ पैसे देना था या वास्तव में बहुत-से फ़ैसलों में सक्रिय रूप से हिस्सा लेना था—जैसे कि एक उपयुक्त नर्सिंग होम ढूँढना।,"Que ce soit simplement donner de l’argent ou bien participer réellement à de nombreuses décisions, comme trouver une maison de retraite adaptée.","Ob es nur darum ging, Geld zu geben, oder ob man tatsächlich in viele Entscheidungsprozesse eingebunden war, zum Beispiel bei der Suche nach einem geeigneten Pflegeheim.","Che si trattasse semplicemente di dare dei soldi oppure di partecipare davvero molto al processo decisionale, come trovare una casa di riposo adatta.","Ať už šlo jen o poskytování peněz, nebo o to, že se skutečně výrazně podílel/a na rozhodování, například na hledání vhodného domova s pečovatelskou službou.",سواء كان الأمر مجرد تقديم المال أو كان في الواقع مشاركةً في الكثير من اتخاذ القرارات، مثل العثور على دار رعاية مناسبة لكبار السن.
sw2005,A,65,"so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","_So_ _, _ so, _I_ _mean_ _, _ it, _I_ _mean_ _, _ _I_ _, _ _I_ _, _ _I_ _, _ _I_ _har-_ _, _ _I_ _, _ I truly wish that if something like that were to happen that my children would do something like, that for me.",True,6,0,2,"So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, it, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, it, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","so, I mean, it, I mean, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.","So, so, I mean, it, I mean, I, I, I, I har-, I, I truly wish that if something like that were to happen that my children would do something like, that for me.",所以我真心希望，如果真的发生那样的事，我的孩子们也会为我做类似的事情。,"Así que, de verdad desearía que si algo así llegara a pasar, mis hijos hicieran algo así por mí.","तो, मैं सच में चाहता/चाहती हूँ कि अगर कभी ऐसा कुछ हो, तो मेरे बच्चे भी मेरे लिए कुछ ऐसा ही करें।","Alors, vraiment, je souhaite que si quelque chose comme ça devait arriver, mes enfants fassent quelque chose comme ça pour moi.","Also, ich wünsche mir wirklich, dass, wenn so etwas passieren würde, meine Kinder so etwas für mich tun würden.","Quindi, davvero spero che, se dovesse succedere una cosa del genere, i miei figli farebbero qualcosa del genere per me.","Takže opravdu si přeju, aby kdyby se něco takového stalo, moje děti pro mě udělaly něco podobného.",لذا، أتمنى حقًا أنه إذا حدث شيءٌ كهذا، أن يفعل أطفالي شيئًا مثل ذلك من أجلي.
