w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
but,NONE,but,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
guess,NONE,guess,0,0,0,1,0,0
as,NONE,as,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
become,NONE,become,0,0,0,1,0,0
more,NONE,more,0,0,0,1,0,0
industrialized,NONE,industrialized,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
more,EDITED,,1,1,1,0,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
less,NONE,less,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
rural,NONE,rural,0,0,0,1,0,0
situation,NONE,situation,0,0,0,1,0,0
we,EDITED,,1,1,1,0,0,0
we,EDITED,,1,1,1,0,0,0
do,EDITED,,1,1,1,0,0,0
n't,EDITED,,1,1,1,0,0,0
we,EDITED,,1,1,1,0,0,0
we,EDITED,,1,1,1,0,0,0
we,NONE,we,0,0,0,1,0,0
choose,NONE,choose,0,0,0,1,0,0
not,NONE,not,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
deal,NONE,deal,0,0,0,1,0,0
with,NONE,with,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
extended,NONE,extended,0,0,0,1,0,0
family,NONE,family,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
feel,NONE,feel,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
kind,NONE,kind,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
cumbersome,NONE,cumbersome,0,0,0,1,0,0
when,NONE,when,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
reality,NONE,reality,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
makes,NONE,makes,0,0,0,1,0,0
things,NONE,things,0,0,0,1,0,0
much,NONE,much,0,0,0,1,0,0
much,NONE,much,0,0,0,1,0,0
easier,NONE,,0,1,0,0,1,0
,,harder,*,*,*,*,*,*
