w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
is,NONE,is,0,0,0,1,0,0
there,NONE,there,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
else,NONE,else,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
could,NONE,could,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
done,NONE,done,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
in,NONE,in,0,0,0,1,0,0
checking,NONE,checking,0,0,0,1,0,0
out,NONE,out,0,0,0,1,0,0
all,NONE,all,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
places,NONE,places,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
might,NONE,might,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
available,NONE,available,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
course,NONE,course,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
there,NONE,there,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
not,NONE,not,0,0,0,1,0,0
one,NONE,one,0,0,0,1,0,0
on,NONE,on,0,0,0,1,0,0
every,NONE,every,0,0,0,1,0,0
corner,NONE,corner,0,0,0,1,0,0
especially,NONE,especially,0,0,0,1,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
,,in,*,*,*,*,*,*
smaller,NONE,smaller,0,0,0,1,0,0
areas,NONE,areas,0,0,0,1,0,0
smaller,NONE,,0,1,0,0,1,0
towns,NONE,,0,1,0,0,1,0
