w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
i,NONE,i,0,0,0,1,0,0
'd,NONE,'d,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
very,NONE,very,0,0,0,1,0,0
very,NONE,very,0,0,0,1,0,0
careful,NONE,careful,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
uh,INTJ,uh,1,0,0,0,0,1
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
,,in,*,*,*,*,*,*
checking,NONE,checking,0,0,0,1,0,0
them,NONE,them,0,0,0,1,0,0
out,NONE,out,0,0,0,1,0,0
uh,INTJ,uh,1,0,0,0,0,1
our,NONE,,0,1,0,0,1,0
,,i,*,*,*,*,*,*
had,NONE,had,0,0,0,1,0,0
t-,NONE,,0,1,0,0,1,0
,,to,*,*,*,*,*,*
place,NONE,place,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
mother,NONE,mother,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
nursing,NONE,nursing,0,0,0,1,0,0
home,NONE,home,0,0,0,1,0,0
she,NONE,she,0,0,0,1,0,0
had,NONE,had,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
rather,NONE,rather,0,0,0,1,0,0
massive,NONE,massive,0,0,0,1,0,0
stroke,NONE,stroke,0,0,0,1,0,0
about,EDITED,,1,1,1,0,0,0
uh,INTJ,,1,1,1,0,0,0
about,NONE,about,0,0,0,1,0,0
uh,INTJ,uh,1,0,0,0,0,1
,,uh,*,*,*,*,*,*
eight,NONE,eight,0,0,0,1,0,0
months,NONE,months,0,0,0,1,0,0
ago,NONE,ago,0,0,0,1,0,0
i,PRN,i,1,0,0,0,0,1
guess,PRN,guess,1,0,0,0,0,1
