w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
yeah,INTJ,yeah,1,0,0,0,0,1
yeah,INTJ,yeah,1,0,0,0,0,1
so,NONE,so,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
'm,NONE,,0,1,0,0,1,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
like,INTJ,like,1,0,0,0,0,1
right,NONE,right,0,0,0,1,0,0
now,NONE,now,0,0,0,1,0,0
today,NONE,today,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
the,NONE,,0,1,0,0,1,0
fifties,NONE,,0,1,0,0,1,0
