w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
well,INTJ,well,1,0,0,0,0,1
the,NONE,the,0,0,0,1,0,0
interesting,NONE,interesting,0,0,0,1,0,0
thing,NONE,thing,0,0,0,1,0,0
was,EDITED,was,1,0,0,0,0,1
is,NONE,is,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
had,NONE,,0,1,0,0,1,0
,,'d,*,*,*,*,*,*
heard,NONE,heard,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
i,EDITED,i,1,0,0,0,0,1
i,EDITED,i,1,0,0,0,0,1
i,NONE,i,0,0,0,1,0,0
tend,NONE,tend,0,0,0,1,0,0
to,NONE,,0,1,0,0,1,0
i,PRN,i,1,0,0,0,0,1
think,PRN,think,1,0,0,0,0,1
overreact,NONE,overreact,0,0,0,1,0,0
occasionally,NONE,occasionally,0,0,0,1,0,0
when,NONE,when,0,0,0,1,0,0
somebody,NONE,somebody,0,0,0,1,0,0
tells,NONE,tells,0,0,0,1,0,0
me,NONE,me,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
great,NONE,great,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
it,EDITED,it,1,0,0,0,0,1
was,EDITED,was,1,0,0,0,0,1
,,and,*,*,*,*,*,*
the,NONE,the,0,0,0,1,0,0
thing,NONE,thing,0,0,0,1,0,0
is,NONE,is,0,0,0,1,0,0
it,EDITED,,1,1,1,0,0,0
was,EDITED,,1,1,1,0,0,0
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
a,NONE,,0,1,0,0,1,0
good,NONE,,0,1,0,0,1,0
story,NONE,,0,1,0,0,1,0
,,it,*,*,*,*,*,*
,,was,*,*,*,*,*,*
