w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
it,EDITED,it,1,0,0,0,0,1
would,EDITED,would,1,0,0,0,0,1
it,NONE,it,0,0,0,1,0,0
would,NONE,would,0,0,0,1,0,0
be,NONE,be,0,0,0,1,0,0
pirated,NONE,pirated,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
they,NONE,they,0,0,0,1,0,0
would,NONE,would,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
bother,NONE,bother,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
check,NONE,check,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
carefully,NONE,carefully,0,0,0,1,0,0
anyway,NONE,anyway,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
someone,NONE,someone,0,0,0,1,0,0
who,NONE,who,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
offering,NONE,offering,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
full,NONE,full,0,0,0,1,0,0
cash,NONE,cash,0,0,0,1,0,0
price,NONE,price,0,0,0,1,0,0
for,NONE,,0,1,0,0,1,0
it,NONE,,0,1,0,0,1,0
