w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
uh-huh,INTJ,,1,1,1,0,0,0
uh-huh,INTJ,,1,1,1,0,0,0
yeah,INTJ,yeah,1,0,0,0,0,1
,,i,*,*,*,*,*,*
,,i,*,*,*,*,*,*
,,i,*,*,*,*,*,*
,,i,*,*,*,*,*,*
,,products,*,*,*,*,*,*
,,it,*,*,*,*,*,*
,,buy,*,*,*,*,*,*
,,them,*,*,*,*,*,*
,,or,*,*,*,*,*,*
,,or,*,*,*,*,*,*
,,have,*,*,*,*,*,*
,,have,*,*,*,*,*,*
,,have,*,*,*,*,*,*
,,would,*,*,*,*,*,*
,,would,*,*,*,*,*,*
,,would,*,*,*,*,*,*
,,far,*,*,*,*,*,*
,,mm-hmm,*,*,*,*,*,*
,,mm-hmm,*,*,*,*,*,*
,,religious,*,*,*,*,*,*
,,people,*,*,*,*,*,*
,,door-to-door,*,*,*,*,*,*
,,store,*,*,*,*,*,*
,,of,*,*,*,*,*,*
,,salesman,*,*,*,*,*,*
,,called,*,*,*,*,*,*
,,the,*,*,*,*,*,*
,,the,*,*,*,*,*,*
,,the,*,*,*,*,*,*
,,gone,*,*,*,*,*,*
,,some,*,*,*,*,*,*
,,their,*,*,*,*,*,*
,,stopped,*,*,*,*,*,*
,,wanted,*,*,*,*,*,*
,,as,*,*,*,*,*,*
,,as,*,*,*,*,*,*
,,if,*,*,*,*,*,*
,,product,*,*,*,*,*,*
,,for,*,*,*,*,*,*
,,at,*,*,*,*,*,*
,,out,*,*,*,*,*,*
,,to,*,*,*,*,*,*
,,to,*,*,*,*,*,*
,,to,*,*,*,*,*,*
,,either,*,*,*,*,*,*
,,either,*,*,*,*,*,*
,,come,*,*,*,*,*,*
,,selling,*,*,*,*,*,*
,,groups,*,*,*,*,*,*
that,NONE,that,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
true,NONE,true,0,0,0,1,0,0
living,NONE,living,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
an,NONE,an,0,0,0,1,0,0
apartment,NONE,apartment,0,0,0,1,0,0
complex,NONE,complex,0,0,0,1,0,0
though,NONE,though,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
you,EDITED,,1,1,1,0,0,0
ca,EDITED,,1,1,1,0,0,0
n't,EDITED,,1,1,1,0,0,0
um,INTJ,,1,1,1,0,0,0
you,NONE,you,0,0,0,1,0,0
ca,NONE,ca,0,0,0,1,0,0
