w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
uh,INTJ,,1,1,1,0,0,0
,,um,*,*,*,*,*,*
for,NONE,for,0,0,0,1,0,0
example,NONE,example,0,0,0,1,0,0
let,NONE,let,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
say,NONE,say,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
're,NONE,'re,0,0,0,1,0,0
taking,NONE,taking,0,0,0,1,0,0
like,INTJ,like,1,0,0,0,0,1
an,NONE,an,0,0,0,1,0,0
original,NONE,original,0,0,0,1,0,0
brazilian,NONE,brazilian,0,0,0,1,0,0
form,NONE,form,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
music,NONE,music,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
with,NONE,with,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
certain,NONE,certain,0,0,0,1,0,0
style,NONE,style,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
then,NONE,then,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
try,NONE,try,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
make,NONE,make,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
little,NONE,little,0,0,0,1,0,0
bit,NONE,bit,0,0,0,1,0,0
more,NONE,more,0,0,0,1,0,0
listenable,NONE,listenable,0,0,0,1,0,0
for,NONE,for,0,0,0,1,0,0
let,PRN,let,1,0,0,0,0,1
's,PRN,'s,1,0,0,0,0,1
say,PRN,say,1,0,0,0,0,1
another,NONE,another,0,0,0,1,0,0
audience,NONE,audience,0,0,0,1,0,0
let,PRN,let,1,0,0,0,0,1
's,PRN,'s,1,0,0,0,0,1
say,PRN,say,1,0,0,0,0,1
a,NONE,,0,1,0,0,1,0
north,NONE,north,0,0,0,1,0,0
american,NONE,,0,1,0,0,1,0
,,americans,*,*,*,*,*,*
