w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
so,NONE,so,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
nothing,NONE,nothing,0,0,0,1,0,0
happened,NONE,happened,0,0,0,1,0,0
during,NONE,during,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
seventies,NONE,,0,1,0,0,1,0
,,70s,*,*,*,*,*,*
everything,NONE,everything,0,0,0,1,0,0
happened,NONE,happened,0,0,0,1,0,0
during,NONE,during,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
sixties,NONE,,0,1,0,0,1,0
,,60s,*,*,*,*,*,*
the,NONE,the,0,0,0,1,0,0
seventies,NONE,,0,1,0,0,1,0
,,70s,*,*,*,*,*,*
i,NONE,i,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
know,NONE,know,0,0,0,1,0,0
what,NONE,what,0,0,0,1,0,0
they,NONE,they,0,0,0,1,0,0
're,NONE,'re,0,0,0,1,0,0
called,NONE,called,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
like,EDITED,,1,1,1,0,0,0
like,NONE,like,0,0,0,1,0,0
the,EDITED,,1,1,1,0,0,0
the,NONE,the,0,0,0,1,0,0
eighties,NONE,,0,1,0,0,1,0
,,80s,*,*,*,*,*,*
are,NONE,are,0,0,0,1,0,0
called,NONE,called,0,0,0,1,0,0
like,INTJ,like,1,0,0,0,0,1
the,NONE,the,0,0,0,1,0,0
progressive,NONE,progressive,0,0,0,1,0,0
years,NONE,years,0,0,0,1,0,0
or,EDITED,,1,1,1,0,0,0
the,EDITED,,1,1,1,0,0,0
or,NONE,or,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
like,INTJ,like,1,0,0,0,0,1
,,the,*,*,*,*,*,*
,,or,*,*,*,*,*,*
the,NONE,the,0,0,0,1,0,0
technology,NONE,technology,0,0,0,1,0,0
years,NONE,years,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
all,NONE,all,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
computers,NONE,computers,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
stuff,NONE,stuff,0,0,0,1,0,0
