language_code,language_name,form_uid,form_id,form_part,question_number,source_row_index,source_id
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,1,0,sw02005_B_2
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,2,1,sw02005_B_4
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,3,2,sw02005_B_8
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,4,3,sw02005_B_14
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,5,4,sw02005_A_19
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,6,5,sw02005_A_29
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,7,6,sw02005_A_37
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,8,7,sw02005_A_47
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,9,8,sw02005_A_55
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,10,9,sw02005_A_65
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,11,10,sw02005_A_81
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,12,11,sw02005_A_93
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,13,12,sw02005_A_99
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,14,13,sw02005_A_111
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,15,14,sw02005_A_121
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,16,15,sw02005_A_127
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,17,16,sw02005_A_147
ZH,Mandarin,ZH_T1,1X_TbyfthE3koMTn-nrIzKGpVV55gilyejek8YqM8Vj0,1,18,17,sw02005_A_149
