w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
i,EDITED,i,1,0,0,0,0,1
think,EDITED,,1,1,1,0,0,0
i,EDITED,,1,1,1,0,0,0
think,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
,,i,*,*,*,*,*,*
,,i,*,*,*,*,*,*
,,think,*,*,*,*,*,*
,,think,*,*,*,*,*,*
for,NONE,for,0,0,0,1,0,0
myself,NONE,myself,0,0,0,1,0,0
i,EDITED,i,1,0,0,0,0,1
i,NONE,i,0,0,0,1,0,0
see,NONE,see,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
as,NONE,as,0,0,0,1,0,0
probably,NONE,probably,0,0,0,1,0,0
the,EDITED,the,1,0,0,0,0,1
the,EDITED,the,1,0,0,0,0,1
what,NONE,what,0,0,0,1,0,0
everything,NONE,everything,0,0,0,1,0,0
would,NONE,,0,1,0,0,1,0
hinge,NONE,,0,1,0,0,1,0
upon,NONE,,0,1,0,0,1,0
