w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
yeah,INTJ,yeah,1,0,0,0,0,1
yeah,INTJ,yeah,1,0,0,0,0,1
well,INTJ,well,1,0,0,0,0,1
with,EDITED,with,1,0,0,0,0,1
my,EDITED,my,1,0,0,0,0,1
with,NONE,with,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
grandmother,NONE,grandmother,0,0,0,1,0,0
i,PRN,i,1,0,0,0,0,1
think,PRN,think,1,0,0,0,0,1
it,EDITED,it,1,0,0,0,0,1
was,EDITED,was,1,0,0,0,0,1
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
such,NONE,such,0,0,0,1,0,0
that,EDITED,that,1,0,0,0,0,1
uh,INTJ,,1,1,1,0,0,0
that,NONE,that,0,0,0,1,0,0
she,NONE,she,0,0,0,1,0,0
did,NONE,did,0,0,0,1,0,0
not,NONE,not,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
problem,NONE,problem,0,0,0,1,0,0
with,NONE,with,0,0,0,1,0,0
she,NONE,she,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
very,NONE,very,0,0,0,1,0,0
well,NONE,well,0,0,0,1,0,0
aware,NONE,aware,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
her,NONE,her,0,0,0,1,0,0
daughter,NONE,daughter,0,0,0,1,0,0
came,NONE,came,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
visited,NONE,visited,0,0,0,1,0,0
her,NONE,her,0,0,0,1,0,0
