w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
so,NONE,so,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
predominantly,NONE,predominantly,0,0,0,1,0,0
wear,NONE,wear,0,0,0,1,0,0
flat,NONE,flat,0,0,0,1,0,0
shoes,NONE,shoes,0,0,0,1,0,0
um,INTJ,,1,1,1,0,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
in,NONE,in,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
winter,NONE,winter,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
wear,NONE,wear,0,0,0,1,0,0
sweaters,NONE,sweaters,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
,,the,*,*,*,*,*,*
summer,NONE,summer,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
one,NONE,,0,1,0,0,1,0
piece,NONE,,0,1,0,0,1,0
,,one-piece,*,*,*,*,*,*
dresses,NONE,dresses,0,0,0,1,0,0
short,NONE,short,0,0,0,1,0,0
sleeves,NONE,sleeves,0,0,0,1,0,0
things,NONE,,0,1,0,0,1,0
like,NONE,,0,1,0,0,1,0
that,NONE,,0,1,0,0,1,0
