w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
but,NONE,but,0,0,0,1,0,0
then,NONE,then,0,0,0,1,0,0
if,NONE,if,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
turns,NONE,turns,0,0,0,1,0,0
out,NONE,out,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
generate,NONE,generate,0,0,0,1,0,0
incorrect,NONE,incorrect,0,0,0,1,0,0
things,NONE,things,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
even,NONE,even,0,0,0,1,0,0
worse,NONE,worse,0,0,0,1,0,0
so,EDITED,,1,1,1,0,0,0
or,NONE,or,0,0,0,1,0,0
if,NONE,if,0,0,0,1,0,0
my,NONE,my,0,0,0,1,0,0
call,NONE,call,0,0,0,1,0,0
rate,NONE,rate,0,0,0,1,0,0
of,EDITED,,1,1,1,0,0,0
of,NONE,of,0,0,0,1,0,0
eight,NONE,eight,0,0,0,1,0,0
t-,EDITED,,1,1,1,0,0,0
or,NONE,or,0,0,0,1,0,0
so,NONE,so,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
week,NONE,week,0,0,0,1,0,0
went,NONE,went,0,0,0,1,0,0
up,NONE,up,0,0,0,1,0,0
even,NONE,even,0,0,0,1,0,0
higher,NONE,higher,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
someone,NONE,someone,0,0,0,1,0,0
had,EDITED,,1,1,1,0,0,0
had,NONE,had,0,0,0,1,0,0
