w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
i,NONE,i,0,0,0,1,0,0
know,NONE,know,0,0,0,1,0,0
but,NONE,but,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
remember,NONE,remember,0,0,0,1,0,0
you,EDITED,you,1,0,0,0,0,1
you,NONE,you,0,0,0,1,0,0
talked,NONE,talked,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
started,NONE,started,0,0,0,1,0,0
off,NONE,off,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
,,you,*,*,*,*,*,*
said,NONE,said,0,0,0,1,0,0
well,INTJ,well,1,0,0,0,0,1
let,NONE,let,0,0,0,1,0,0
me,NONE,me,0,0,0,1,0,0
think,NONE,think,0,0,0,1,0,0
,,[,*,*,*,*,*,*
,,0m4s899ms,*,*,*,*,*,*
,,],*,*,*,*,*,*
you,NONE,you,0,0,0,1,0,0
talked,NONE,talked,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
,,[,*,*,*,*,*,*
,,0m6s599ms,*,*,*,*,*,*
,,],*,*,*,*,*,*
the,NONE,the,0,0,0,1,0,0
telephone,NONE,telephone,0,0,0,1,0,0
calls,NONE,calls,0,0,0,1,0,0
and,NONE,,0,1,0,0,1,0
,,[,*,*,*,*,*,*
,,],*,*,*,*,*,*
,,0m8s199ms,*,*,*,*,*,*
people,NONE,people,0,0,0,1,0,0
coming,NONE,coming,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
soliciting,NONE,soliciting,0,0,0,1,0,0
and,NONE,,0,1,0,0,1,0
selling,NONE,selling,0,0,0,1,0,0
things,NONE,things,0,0,0,1,0,0
at,NONE,at,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
door,NONE,door,0,0,0,1,0,0
,,[,*,*,*,*,*,*
,,0m10s999ms,*,*,*,*,*,*
,,],*,*,*,*,*,*
you,NONE,you,0,0,0,1,0,0
said,NONE,said,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
else,NONE,else,0,0,0,1,0,0
,,[,*,*,*,*,*,*
,,0m12s899ms,*,*,*,*,*,*
,,],*,*,*,*,*,*
,,and,*,*,*,*,*,*
i,NONE,i,0,0,0,1,0,0
ca,NONE,ca,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
remember,NONE,remember,0,0,0,1,0,0
what,NONE,what,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
was,NONE,was,0,0,0,1,0,0
,,[,*,*,*,*,*,*
,,0m17s699ms,*,*,*,*,*,*
,,],*,*,*,*,*,*
and,NONE,and,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
thought,NONE,thought,0,0,0,1,0,0
yeah,NONE,yeah,0,0,0,1,0,0
that,EDITED,that,1,0,0,0,0,1
that,NONE,that,0,0,0,1,0,0
kind,NONE,kind,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
touched,NONE,touched,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
nerve,NONE,nerve,0,0,0,1,0,0
right,NONE,right,0,0,0,1,0,0
there,NONE,there,0,0,0,1,0,0
but,NONE,but,0,0,0,1,0,0
we,EDITED,we,1,0,0,0,0,1
got,EDITED,got,1,0,0,0,0,1
uh,INTJ,uh,1,0,0,0,0,1
,,],*,*,*,*,*,*
,,0m21s99ms,*,*,*,*,*,*
,,[,*,*,*,*,*,*
we,NONE,we,0,0,0,1,0,0
got,NONE,got,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
talking,NONE,talking,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
uh,INTJ,uh,1,0,0,0,0,1
uh,INTJ,,1,1,1,0,0,0
,,um,*,*,*,*,*,*
people,NONE,people,0,0,0,1,0,0
coming,NONE,coming,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
you,NONE,,0,1,0,0,1,0
at,NONE,,0,1,0,0,1,0
the,NONE,the,0,0,0,1,0,0
front,NONE,front,0,0,0,1,0,0
door,NONE,door,0,0,0,1,0,0
,,[,*,*,*,*,*,*
,,0m25s699ms,*,*,*,*,*,*
,,],*,*,*,*,*,*
