w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
yeah,INTJ,yeah,1,0,0,0,0,1
yeah,INTJ,yeah,1,0,0,0,0,1
i,EDITED,,1,1,1,0,0,0
stay,EDITED,,1,1,1,0,0,0
wi-,EDITED,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
stay,NONE,stay,0,0,0,1,0,0
within,NONE,within,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
so,NONE,so,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
and,NONE,and,0,0,0,1,0,0
then,NONE,then,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
if,EDITED,if,1,0,0,0,0,1
you,EDITED,you,1,0,0,0,0,1
ca,EDITED,ca,1,0,0,0,0,1
n't,EDITED,n't,1,0,0,0,0,1
stay,EDITED,stay,1,0,0,0,0,1
if,NONE,if,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
comes,NONE,comes,0,0,0,1,0,0
up,NONE,up,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
ca,NONE,ca,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
stay,NONE,stay,0,0,0,1,0,0
within,NONE,within,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
then,NONE,then,0,0,0,1,0,0
we,NONE,we,0,0,0,1,0,0
have,NONE,have,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
you,PRN,,1,1,1,0,0,0
know,PRN,,1,1,1,0,0,0
a,NONE,a,0,0,0,1,0,0
budget,NONE,budget,0,0,0,1,0,0
for,NONE,for,0,0,0,1,0,0
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
like,INTJ,like,1,0,0,0,0,1
,,it,*,*,*,*,*,*
we,NONE,we,0,0,0,1,0,0
call,NONE,call,0,0,0,1,0,0
our,NONE,our,0,0,0,1,0,0
slush,NONE,slush,0,0,0,1,0,0
fund,NONE,fund,0,0,0,1,0,0
or,NONE,or,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
and,NONE,,0,1,0,0,1,0
some-,EDITED,,1,1,1,0,0,0
an,NONE,,0,1,0,0,1,0
,,something,*,*,*,*,*,*
,,if,*,*,*,*,*,*
unexpected,NONE,unexpected,0,0,0,1,0,0
comes,NONE,comes,0,0,0,1,0,0
up,NONE,up,0,0,0,1,0,0
then,NONE,,0,1,0,0,1,0
you,EDITED,you,1,0,0,0,0,1
're,EDITED,'re,1,0,0,0,0,1
not,EDITED,not,1,0,0,0,0,1
you,PRN,you,1,0,0,0,0,1
know,PRN,know,1,0,0,0,0,1
,,and,*,*,*,*,*,*
you,NONE,you,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
feel,NONE,feel,0,0,0,1,0,0
it,EDITED,,1,1,1,0,0,0
so,NONE,so,0,0,0,1,0,0
strapped,NONE,strapped,0,0,0,1,0,0
