w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
and,NONE,and,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
oh,INTJ,,1,1,1,0,0,0
i,NONE,i,0,0,0,1,0,0
guess,NONE,guess,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
variety,NONE,variety,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
things,NONE,things,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
lots,NONE,lots,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
fiction,NONE,fiction,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
type,NONE,type,0,0,0,1,0,0
books,NONE,books,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
right,NONE,right,0,0,0,1,0,0
now,NONE,now,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
'm,NONE,'m,0,0,0,1,0,0
occasionally,NONE,occasionally,0,0,0,1,0,0
reading,NONE,reading,0,0,0,1,0,0
on,NONE,on,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
book,NONE,book,0,0,0,1,0,0
about,NONE,about,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
the,NONE,the,0,0,0,1,0,0
mardi,NONE,mardi,0,0,0,1,0,0
gras,NONE,gras,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
new,NONE,new,0,0,0,1,0,0
orleans,NONE,orleans,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
its,NONE,,0,1,0,0,1,0
history,NONE,,0,1,0,0,1,0
,,it,*,*,*,*,*,*
,,'s,*,*,*,*,*,*
