w_d,w_t,w_g,gt_mask,pred_mask,tp_mask,tn_mask,fp_mask,fn_mask
oh,INTJ,oh,1,0,0,0,0,1
yeah,INTJ,yeah,1,0,0,0,0,1
it,EDITED,,1,1,1,0,0,0
's,EDITED,,1,1,1,0,0,0
it,EDITED,,1,1,1,0,0,0
's,EDITED,,1,1,1,0,0,0
uh,INTJ,,1,1,1,0,0,0
absolutely,NONE,,0,1,0,0,1,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
,,absolutely,*,*,*,*,*,*
great,NONE,great,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
way,NONE,way,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
broken,NONE,broken,0,0,0,1,0,0
out,NONE,out,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
you,NONE,you,0,0,0,1,0,0
can,NONE,can,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
set,NONE,set,0,0,0,1,0,0
up,NONE,up,0,0,0,1,0,0
little,NONE,little,0,0,0,1,0,0
trips,NONE,trips,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
day,NONE,day,0,0,0,1,0,0
trips,NONE,trips,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
things,NONE,things,0,0,0,1,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
pretty,EDITED,,1,1,1,0,0,0
pretty,NONE,pretty,0,0,0,1,0,0
neat,NONE,neat,0,0,0,1,0,0
um,INTJ,,1,1,1,0,0,0
oh,INTJ,oh,1,0,0,0,0,1
i,NONE,i,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
photography,NONE,photography,0,0,0,1,0,0
um,INTJ,,1,1,1,0,0,0
magazines,NONE,magazines,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
n't,NONE,n't,0,0,0,1,0,0
take,NONE,take,0,0,0,1,0,0
a,NONE,a,0,0,0,1,0,0
subscription,NONE,subscription,0,0,0,1,0,0
or,NONE,or,0,0,0,1,0,0
anything,NONE,anything,0,0,0,1,0,0
like,NONE,like,0,0,0,1,0,0
that,NONE,that,0,0,0,1,0,0
um,INTJ,,1,1,1,0,0,0
things,NONE,things,0,0,0,1,0,0
oh,INTJ,oh,1,0,0,0,0,1
being,NONE,being,0,0,0,1,0,0
an,NONE,an,0,0,0,1,0,0
engineer,NONE,engineer,0,0,0,1,0,0
in,NONE,in,0,0,0,1,0,0
facilities,NONE,facilities,0,0,0,1,0,0
i,NONE,i,0,0,0,1,0,0
do,NONE,do,0,0,0,1,0,0
read,NONE,read,0,0,0,1,0,0
a,EDITED,,1,1,1,0,0,0
lot,EDITED,,1,1,1,0,0,0
of,EDITED,,1,1,1,0,0,0
a,NONE,a,0,0,0,1,0,0
lot,NONE,lot,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
building,NONE,building,0,0,0,1,0,0
magazines,NONE,magazines,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
plant,NONE,plant,0,0,0,1,0,0
engineering,NONE,engineering,0,0,0,1,0,0
magazines,NONE,magazines,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
read,NONE,read,0,0,0,1,0,0
up,NONE,,0,1,0,0,1,0
on,NONE,,0,1,0,0,1,0
,,about,*,*,*,*,*,*
different,NONE,different,0,0,0,1,0,0
ways,NONE,ways,0,0,0,1,0,0
to,NONE,,0,1,0,0,1,0
do,NONE,,0,1,0,0,1,0
,,of,*,*,*,*,*,*
,,doing,*,*,*,*,*,*
things,NONE,things,0,0,0,1,0,0
and,NONE,and,0,0,0,1,0,0
energy,NONE,energy,0,0,0,1,0,0
management,NONE,management,0,0,0,1,0,0
type,NONE,type,0,0,0,1,0,0
of,NONE,,0,1,0,0,1,0
magazines,NONE,magazines,0,0,0,1,0,0
and,EDITED,,1,1,1,0,0,0
and,NONE,and,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
kind,NONE,kind,0,0,0,1,0,0
of,NONE,of,0,0,0,1,0,0
strange,NONE,strange,0,0,0,1,0,0
because,NONE,because,0,0,0,1,0,0
i,EDITED,,1,1,1,0,0,0
it,NONE,it,0,0,0,1,0,0
's,NONE,'s,0,0,0,1,0,0
not,NONE,not,0,0,0,1,0,0
unusual,NONE,unusual,0,0,0,1,0,0
to,NONE,to,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
see,NONE,see,0,0,0,1,0,0
uh,INTJ,,1,1,1,0,0,0
an,NONE,an,0,0,0,1,0,0
engineering,NONE,engineering,0,0,0,1,0,0
manual,NONE,manual,0,0,0,1,0,0
or,NONE,or,0,0,0,1,0,0
something,NONE,something,0,0,0,1,0,0
laying,NONE,laying,0,0,0,1,0,0
around,NONE,around,0,0,0,1,0,0
the,NONE,the,0,0,0,1,0,0
house,NONE,house,0,0,0,1,0,0
