filename,speaker,turn,generated-text
sw2005.mrg,A,111,"I I think I think I think, you know, for myself, I I see that as probably the the what everything"
sw2005.mrg,A,121,"Yeah. You know, it's it's interesting that that a lot of the population in the United States is changing because, you know, now that so many more minorities where they have had extended families for such a long"
sw2005.mrg,A,127,"But I guess as we become more industrialized and more, you know, less in a rural situation, we we don't we we we choose not to deal with the extended family because we feel it's kind of cumbersome. When in reality, it makes things much"
sw2005.mrg,A,147,"Yeah. But uh I I I think that, you know, I mean, we always uh I mean, I've I've had a a lot of good experiences with a with many, many people, especially where they've had extended family. And I and and I I kind of see that that, you know, perhaps, you know, we may need to like get close to the family environment and and get down to the values of, you know, I mean,
Yeah. But uh I I I think that, you know, I mean, we always uh I mean, I've I've had a a lot of good experiences with a with many, many people, especially where they've had extended family. And I and and I I kind of see that that, you know, perhaps, you know, we may need to like get close to the family environment and and get down to the values of, you know, I mean,"
sw2005.mrg,A,149,"I mean, uh, it's money seems to be too big of an issue with with with with with with what's going on."
sw2005.mrg,A,155,"and I I think I think that we may not, you know, that may be, you know, perhaps if we put money on the back burner, that may that may choose to alleviate a lot of the problem."
sw2005.mrg,A,19,"Mhm. Yeah, probably the hardest thing in in my family, uh my grandmother, she had to be put in a nursing home and um she had used a walker for for quite some time, probably about six to nine months. And um she had a fall and uh finally uh she had uh Parkinson's disease."
sw2005.mrg,A,29,"I mean, she she had she had children all across the United States."
sw2005.mrg,A,37,"Yeah, I mean, for somebody who is, you know, for most of their life has has not just merely had a farm, but had 10 children, had a farm, ran everything because her husband was away in the coal mine."
sw2005.mrg,A,47,I think that they they had a great deal of um all the brothers and sisters got together and they actually had a conference.
sw2005.mrg,A,55,"you know, whether it was just, you know, giving money or whether it was actually taking part in in a lot of the decision making, you know, like finding a a proper nursing home."
sw2005.mrg,A,65,"So, so I mean it I mean I I've I I har I I truly wish that if something like that were to happen that my children would do something like that for me."
sw2005.mrg,A,81,"Yeah. Yeah, well, with my with my grandmother, I think it was it was such that uh that she did not have the problem with she was very well aware and her daughter came and visited her."
sw2005.mrg,A,93,"and, um, I mean, but she was truly, she was truly aware. I mean, I I I don't know how I would how I would deal if if one of my parents came with with Alzheimer's or something like that, which is which is far more devastating."
sw2005.mrg,A,99,"and um, I I I think that what one thing that that they were really concerned with probably was the fact it wasn't necessarily, you know, like the quantity of care, but the quality"
sw2005.mrg,B,14,"you know, there's something else we could have done, you know, and checking out all the places that uh might be available. Of course, as you know, there's not one on every corner, especially in, you know, smaller area, smaller"
sw2005.mrg,B,2,"Well, of course, it's, you know, it's the one of the last few things in the world you'd ever want to do. You know, unless it's just, you know, really, you know, for and for their uh, you know, for their own good."
sw2005.mrg,B,4,"I'd be very, very careful in uh, you know, checking them out. Uh, I had to place my mother in a nursing home. She had a rather massive stroke about uh, uh, eight months ago, I guess."
sw2005.mrg,B,8,"So I was very comfortable, you know, in in doing it when it got to the point that we had to do it. But there's, well, I had an occasion for my uh mother-in-law who had fell and needed to be, you know, could not take care of herself anymore and was confined to a nursing home for a while. That was really not a very good experience. Uh, it had to be done in a hurry. I mean, we didn't have, you know, like six months to check all these places out. And it was really not not a very good uh deal."
sw2008.mrg,A,19,"I've recently um tried to update my wardrobe, trying to put suits together that I can interchange the jackets and the blouses."
sw2008.mrg,A,75,"This is pretty un- unseasonal, but um, at least you, you know, it it's it feels good. It gets uh everybody's doesn't have cabin fever today. It's nice to get"
sw2008.mrg,B,18,"So I I predominantly wear flat shoes, um, you know, in the winter I wear sweaters, in the summer I, you know, I like one-piece dresses, short sleeves, things"
sw2008.mrg,B,2,"Um, let's see, what did I wear to work today? Um, actually, I wore corduroy shorts with a white blouse, um, and flat shoes."
sw2008.mrg,B,48,"In fact, I just bought, uh, I just got a new outfit as a gift that, um, it's one of those skorts, you know, the- it's shorts but it looks like a"
sw2008.mrg,B,6,"um, I do vary. Um, you know, I wear suits, I wear skirts and sweaters. On occasion, I can wear jeans. Um,"
sw2008.mrg,B,62,"Yeah, yeah, so I, you know, like right now, today was in about, you know,"
sw2010.mrg,A,23,"Well, the interesting thing was is I'd heard that and I I I tend I think overreact occasionally when somebody tells me it's that great and and it was the thing is it was it was"
sw2010.mrg,B,22,"True, I agree with that. Um, I I noticed yesterday in the paper something said that it I think it's been nominated for 12 awards and and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going to be a dud. So it it has surprised everybody."
sw2010.mrg,B,38,"It's suspenseful. I don't think it's very I mean, there's not really any uh blood and guts in it or anything like that. It's it's more suspense. Um the other one, Silence of the Lambs is kind of a a gory movie if if somebody's not into that kind of stuff. It's it's pretty graphic at points, but uh I think they're both excellent movies."
sw2010.mrg,B,50,"I think that I think he really his heart was in it, but I I don't think he really knew it was going to be as big as it was. I think it was something that he really wanted to do. He wanted to direct it, he wanted to to star in it. You know, he he enjoyed the story line and I think he just really he really wanted it whether it whether it won all kinds of awards or whether it just was okay at the box office, I think he would have been happy because I think that I think he did a good job and and the self-satisfaction he got out of it is much greater than any awards that they can give him."
sw2012.mrg,A,101,"because I any anyone, any friend, anyone I give my number to is welcome to call me, but no one is just welcome to come by my house. So that is more of a"
sw2012.mrg,A,15,"I think they prey on people's um inherent politeness on the phone, even with a machine. I find people being kind of polite and waiting for it to finish what it has to say, and then they feel an obligation to respond, even though there's not even"
sw2012.mrg,A,25,"Well, presumably those who find out such information, if they are doing it, I would prefer to not to be known and I mean, you know, the classic, oh, I don't know, CIA conspiracy theories or whatever would have uh such parties trying to do it without your knowledge. So, there's things that invade that second type of privacy where you do know about them and possibly things that invade that second type of privacy without you knowing about it. And I can't talk about the second one other than to to to generate paranoia. Yeah, just surmise. I I'd like to think that it's quite low."
sw2012.mrg,A,61,"Yeah. And uh one of the problems with the Lotus database was uh that it was uncontrolled access to who would have that information. I mean, they said they would give it out to only select companies, but um, you know, just like software is only given out to customers. I mean, you can't believe"
sw2012.mrg,A,63,"it would it would be pirated and they wouldn't bother to check that carefully anyway to someone who's offering, you know, full cash price."
sw2012.mrg,A,65,"for it. I mean, you know, you can't tell what what a company really has to do with it. And there's something rather ominous about having virtually anyone, any hacker being able to know what your income is, what your spending habits are, and you know, and and that hacker just has to get into in touch with a sneak thief and suddenly and then what started as an invasion of privacy could be, you know, an invasion"
sw2012.mrg,A,71,"Mhm. I also thought about it because I was waiting to talk to you that another thing that occurred to me is there's not so much invasion of my privacy because I know how to behave such that there isn't. But I realized I have to behave in a certain way in order to not have people invade my privacy. If I deviate from social norms of behavior, if I run up and down the street yelling or something, someone's going to invade my privacy."
sw2012.mrg,A,87,"alone. Whereas in this country where everyone respects the closed doors very much, if you go out and act like a lunatic, you you violate the uh the norms of social of um public behavior, um people start paying attention to you very much and they start asking questions and in a sense are invi- inva- invading your privacy. Although, if you know what the social norms are, you know, quote unquote, you asked for it. But it does mean that you have yet another reason to follow a set of"
